dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
22/01/15 23:36;24.16 Mbit/s;35.91 Mbit/s;1.37 ms;6.31 ms;22.15 Mbit/s;31.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/01/15 22:36;-;-;-;-;-;-;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/01/15 21:36;26.04 Mbit/s;32.83 Mbit/s;3.31 ms;2.52 ms;26.79 Mbit/s;32.79 Mbit/s;11.11 %;11.11 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/01/15 20:36;22.95 Mbit/s;35.87 Mbit/s;2.04 ms;8.42 ms;24.42 Mbit/s;35.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/01/15 19:36;16.15 Mbit/s;26.08 Mbit/s;1.92 ms;4.97 ms;17.77 Mbit/s;28.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/01/15 18:36;24.77 Mbit/s;27.5 Mbit/s;< 1 ms;< 1 ms;27.85 Mbit/s;26.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/01/15 17:36;21.25 Mbit/s;29.43 Mbit/s;1.9 ms;2.44 ms;23.25 Mbit/s;29.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/01/15 16:36;3.13 Mbit/s;8.66 Mbit/s;< 1 ms;3.57 ms;3.43 Mbit/s;8.4 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/01/15 15:36;3.41 Mbit/s;3.68 Mbit/s;30.8 ms;2.98 ms;3.37 Mbit/s;3.92 Mbit/s;1.37 %;1.37 %;PTT Metro de Goiania;;;;;
22/01/15 14:36;6.44 Mbit/s;9.4 Mbit/s;5.82 ms;2.45 ms;6.12 Mbit/s;8.39 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/01/15 13:36;4.92 Mbit/s;8.79 Mbit/s;< 1 ms;1.64 ms;4.97 Mbit/s;8.32 Mbit/s;1.68 %;1.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/01/15 11:36;2.74 Mbit/s;6.79 Mbit/s;14.31 ms;2.25 ms;3.01 Mbit/s;7.14 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/01/15 10:36;6.1 Mbit/s;9.25 Mbit/s;5.26 ms;2.98 ms;6.05 Mbit/s;8.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/01/15 09:36;14.68 Mbit/s;35.97 Mbit/s;1.06 ms;< 1 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/01/15 08:36;22.14 Mbit/s;36.93 Mbit/s;< 1 ms;1.43 ms;24.8 Mbit/s;35.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/01/15 07:36;30.31 Mbit/s;35.35 Mbit/s;< 1 ms;< 1 ms;33.07 Mbit/s;35.39 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/01/15 06:36;18.35 Mbit/s;35.43 Mbit/s;6.67 ms;1.92 ms;20.87 Mbit/s;35.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/01/15 04:36;36.61 Mbit/s;37.58 Mbit/s;< 1 ms;4.71 ms;37.7 Mbit/s;35.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/01/15 03:36;37.79 Mbit/s;36.87 Mbit/s;< 1 ms;1.43 ms;38.49 Mbit/s;34.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/01/15 02:36;25.56 Mbit/s;34.74 Mbit/s;1.37 ms;1.71 ms;28.91 Mbit/s;35.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 23:36;35.76 Mbit/s;37.87 Mbit/s;< 1 ms;1.52 ms;37.72 Mbit/s;35.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 22:36;29.27 Mbit/s;32.32 Mbit/s;< 1 ms;3.26 ms;29.0 Mbit/s;30.59 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
21/01/15 21:36;34.44 Mbit/s;30.2 Mbit/s;< 1 ms;1.16 ms;37.08 Mbit/s;31.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 19:36;17.51 Mbit/s;37.1 Mbit/s;< 1 ms;< 1 ms;19.6 Mbit/s;34.72 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 18:36;27.21 Mbit/s;33.9 Mbit/s;1.46 ms;4.68 ms;31.16 Mbit/s;35.82 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 17:36;14.59 Mbit/s;36.38 Mbit/s;< 1 ms;1.7 ms;10.08 Mbit/s;31.63 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 15:36;26.62 Mbit/s;32.69 Mbit/s;1.09 ms;1.22 ms;31.27 Mbit/s;33.18 Mbit/s;2.9 %;2.9 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
21/01/15 14:36;29.95 Mbit/s;37.38 Mbit/s;< 1 ms;1.19 ms;8.04 Mbit/s;33.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 13:36;29.49 Mbit/s;21.01 Mbit/s;20.41 ms;4.98 ms;28.51 Mbit/s;21.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 12:37;25.19 Mbit/s;35.29 Mbit/s;< 1 ms;1.3 ms;28.68 Mbit/s;35.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 11:36;31.01 Mbit/s;24.57 Mbit/s;< 1 ms;2.77 ms;34.49 Mbit/s;25.38 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 10:36;25.73 Mbit/s;34.41 Mbit/s;8.91 ms;5.93 ms;29.76 Mbit/s;31.4 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/01/15 09:36;-;-;-;8.72 ms;-;-;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
21/01/15 07:36;3.72 Mbit/s;27.1 Mbit/s;< 1 ms;60.98 ms;3.87 Mbit/s;26.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
21/01/15 06:36;21.47 Mbit/s;34.52 Mbit/s;< 1 ms;< 1 ms;23.9 Mbit/s;34.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
21/01/15 05:36;15.57 Mbit/s;33.94 Mbit/s;< 1 ms;< 1 ms;17.44 Mbit/s;35.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
