dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:36;34.38 Mbit/s;37.19 Mbit/s;1.48 ms;2.46 ms;36.46 Mbit/s;35.5 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:36;37.47 Mbit/s;36.92 Mbit/s;< 1 ms;< 1 ms;37.74 Mbit/s;35.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 05:36;31.66 Mbit/s;36.52 Mbit/s;< 1 ms;< 1 ms;34.73 Mbit/s;35.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 04:36;35.66 Mbit/s;36.61 Mbit/s;< 1 ms;< 1 ms;37.03 Mbit/s;35.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:36;35.88 Mbit/s;35.32 Mbit/s;< 1 ms;< 1 ms;37.27 Mbit/s;35.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:36;36.56 Mbit/s;37.28 Mbit/s;< 1 ms;< 1 ms;36.9 Mbit/s;34.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:36;37.31 Mbit/s;37.19 Mbit/s;< 1 ms;< 1 ms;37.42 Mbit/s;33.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 00:36;34.11 Mbit/s;36.6 Mbit/s;17.53 ms;13.95 ms;35.97 Mbit/s;35.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
22/12/14 23:36;28.94 Mbit/s;34.04 Mbit/s;4.59 ms;3.83 ms;32.89 Mbit/s;32.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 22:36;4.64 Mbit/s;33.95 Mbit/s;5.39 ms;< 1 ms;5.42 Mbit/s;25.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 21:36;31.82 Mbit/s;28.74 Mbit/s;< 1 ms;8.7 ms;35.05 Mbit/s;30.28 Mbit/s;4.29 %;4.29 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:36;25.25 Mbit/s;28.79 Mbit/s;< 1 ms;1.22 ms;27.52 Mbit/s;27.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 19:36;25.81 Mbit/s;23.5 Mbit/s;< 1 ms;1.26 ms;29.33 Mbit/s;25.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
22/12/14 18:36;27.33 Mbit/s;34.7 Mbit/s;4.57 ms;3.1 ms;29.45 Mbit/s;35.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 17:36;31.04 Mbit/s;32.11 Mbit/s;< 1 ms;1.43 ms;33.63 Mbit/s;33.84 Mbit/s;12.03 %;12.03 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 16:36;33.06 Mbit/s;31.56 Mbit/s;6.67 ms;1.12 ms;36.41 Mbit/s;23.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 15:36;19.39 Mbit/s;36.86 Mbit/s;5.26 ms;< 1 ms;21.43 Mbit/s;32.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 14:38;17.27 Mbit/s;37.18 Mbit/s;< 1 ms;1.59 ms;18.7 Mbit/s;33.0 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 13:36;30.0 Mbit/s;25.09 Mbit/s;< 1 ms;< 1 ms;34.46 Mbit/s;26.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 12:36;13.77 Mbit/s;35.02 Mbit/s;< 1 ms;33.43 ms;15.39 Mbit/s;35.49 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 11:36;26.29 Mbit/s;33.03 Mbit/s;< 1 ms;10.61 ms;6.06 Mbit/s;28.76 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 10:36;28.86 Mbit/s;31.19 Mbit/s;< 1 ms;< 1 ms;32.36 Mbit/s;33.95 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:36;22.45 Mbit/s;29.9 Mbit/s;4.67 ms;4.0 ms;5.19 Mbit/s;29.45 Mbit/s;5.65 %;5.65 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 08:36;25.72 Mbit/s;33.47 Mbit/s;< 1 ms;< 1 ms;24.81 Mbit/s;33.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;23/12/14 07:50;3.34 ms;null;false;
;;;;;;;;;;23/12/14 06:50;2.99 ms;null;false;
;;;;;;;;;;23/12/14 05:50;5.71 ms;null;false;
;;;;;;;;;;23/12/14 04:50;3.77 ms;null;false;
;;;;;;;;;;23/12/14 03:50;3.64 ms;null;false;
;;;;;;;;;;23/12/14 02:50;4.99 ms;null;false;
;;;;;;;;;;23/12/14 01:50;14.0 ms;null;false;
;;;;;;;;;;23/12/14 00:50;56.95 ms;null;false;
;;;;;;;;;;22/12/14 23:50;3.92 ms;null;false;
;;;;;;;;;;22/12/14 22:50;3.59 ms;null;false;
;;;;;;;;;;22/12/14 21:50;5.72 ms;null;false;
;;;;;;;;;;22/12/14 20:50;24.09 ms;null;false;
;;;;;;;;;;22/12/14 19:50;13.38 ms;null;false;
;;;;;;;;;;22/12/14 18:50;7.66 ms;null;false;
;;;;;;;;;;22/12/14 17:50;3.34 ms;null;false;
;;;;;;;;;;22/12/14 16:50;5.52 ms;null;false;
;;;;;;;;;;22/12/14 15:50;3.17 ms;null;false;
;;;;;;;;;;22/12/14 14:50;41.56 ms;null;false;
;;;;;;;;;;22/12/14 13:50;157.1 ms;null;false;
;;;;;;;;;;22/12/14 12:50;2.81 ms;null;false;
;;;;;;;;;;22/12/14 11:50;3.92 ms;null;false;
