dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
24/12/14 23:58;9.97 Mbit/s;29.11 Mbit/s;28.68 ms;24.23 ms;8.22 Mbit/s;30.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/12/14 22:58;19.97 Mbit/s;28.54 Mbit/s;4.29 ms;1.53 ms;21.99 Mbit/s;30.1 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
24/12/14 21:58;24.07 Mbit/s;27.09 Mbit/s;< 1 ms;< 1 ms;24.98 Mbit/s;28.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 20:58;18.65 Mbit/s;22.46 Mbit/s;6.88 ms;8.14 ms;19.17 Mbit/s;23.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/12/14 19:58;21.37 Mbit/s;23.57 Mbit/s;1.14 ms;1.04 ms;18.93 Mbit/s;24.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/12/14 18:58;22.81 Mbit/s;21.31 Mbit/s;3.11 ms;< 1 ms;22.61 Mbit/s;21.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/12/14 17:58;19.73 Mbit/s;26.51 Mbit/s;2.81 ms;14.68 ms;21.48 Mbit/s;22.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 16:58;11.09 Mbit/s;15.81 Mbit/s;2.7 ms;< 1 ms;12.1 Mbit/s;15.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 15:58;22.9 Mbit/s;19.32 Mbit/s;7.05 ms;5.04 ms;20.5 Mbit/s;20.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 14:58;1.37 Mbit/s;2.96 Mbit/s;1.47 ms;7.19 ms;1.54 Mbit/s;3.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
