dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:58;22.48 Mbit/s;14.75 Mbit/s;44.55 ms;27.79 ms;23.94 Mbit/s;15.49 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 05:58;20.38 Mbit/s;32.12 Mbit/s;< 1 ms;2.51 ms;19.72 Mbit/s;30.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 04:58;21.31 Mbit/s;30.01 Mbit/s;< 1 ms;< 1 ms;22.45 Mbit/s;31.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:58;22.9 Mbit/s;32.0 Mbit/s;< 1 ms;< 1 ms;23.64 Mbit/s;33.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 02:58;18.91 Mbit/s;30.1 Mbit/s;1.0 ms;< 1 ms;20.33 Mbit/s;31.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 01:58;22.03 Mbit/s;30.3 Mbit/s;< 1 ms;< 1 ms;22.51 Mbit/s;32.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 00:58;21.55 Mbit/s;30.65 Mbit/s;< 1 ms;< 1 ms;22.39 Mbit/s;31.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:58;21.34 Mbit/s;31.22 Mbit/s;< 1 ms;< 1 ms;13.02 Mbit/s;31.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 22:58;21.39 Mbit/s;28.3 Mbit/s;< 1 ms;< 1 ms;19.5 Mbit/s;29.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 20:58;15.74 Mbit/s;20.37 Mbit/s;1.65 ms;26.08 ms;10.61 Mbit/s;21.37 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:58;2.32 Mbit/s;13.03 Mbit/s;30.42 ms;17.2 ms;1.28 Mbit/s;13.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 18:58;13.03 Mbit/s;19.27 Mbit/s;4.29 ms;11.67 ms;7.95 Mbit/s;18.89 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 17:58;12.31 Mbit/s;16.16 Mbit/s;25.1 ms;14.41 ms;9.29 Mbit/s;16.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 16:58;7.37 kbit/s;20.27 Mbit/s;3.38 ms;21.71 ms;12.2 Mbit/s;21.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 15:58;15.3 Mbit/s;23.68 Mbit/s;4.5 ms;9.16 ms;12.63 Mbit/s;14.69 Mbit/s;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 14:58;13.92 Mbit/s;20.42 Mbit/s;8.8 ms;17.74 ms;7.33 Mbit/s;16.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 13:58;17.73 Mbit/s;22.8 Mbit/s;21.28 ms;3.97 ms;15.34 Mbit/s;22.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 12:58;6.7 Mbit/s;5.36 Mbit/s;5.27 ms;12.18 ms;2.2 Mbit/s;5.7 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 11:58;12.09 Mbit/s;16.29 Mbit/s;1.75 ms;30.44 ms;3.37 Mbit/s;17.41 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 10:58;12.07 Mbit/s;14.83 Mbit/s;6.71 ms;26.99 ms;7.43 Mbit/s;16.04 Mbit/s;2.8 %;2.8 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 09:58;6.28 Mbit/s;12.0 Mbit/s;30.24 ms;4.89 ms;2.94 Mbit/s;8.75 Mbit/s;1.36 %;1.36 %;PTT Metro de Curitiba;;;;;
22/12/14 07:58;13.3 Mbit/s;19.59 Mbit/s;18.07 ms;1.89 ms;8.2 Mbit/s;20.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 07:12;1.1 ms;null;false;
;;;;;;;;;;23/12/14 06:12;1.8 ms;null;false;
;;;;;;;;;;23/12/14 05:12;1.77 ms;null;false;
;;;;;;;;;;23/12/14 04:12;2.5 ms;null;false;
;;;;;;;;;;23/12/14 03:12;1.85 ms;null;false;
;;;;;;;;;;23/12/14 02:12;74.85 ms;null;false;
;;;;;;;;;;23/12/14 01:12;1.33 ms;null;false;
;;;;;;;;;;23/12/14 00:12;1.13 ms;null;false;
;;;;;;;;;;22/12/14 23:12;1.16 ms;null;false;
;;;;;;;;;;22/12/14 21:12;20.53 ms;null;false;
;;;;;;;;;;22/12/14 20:12;138.54 ms;null;false;
;;;;;;;;;;22/12/14 19:12;132.83 ms;null;false;
;;;;;;;;;;22/12/14 18:12;286.11 ms;null;false;
;;;;;;;;;;22/12/14 17:12;125.35 ms;null;false;
;;;;;;;;;;22/12/14 16:12;80.04 ms;null;false;
;;;;;;;;;;22/12/14 15:12;639.94 ms;null;false;
;;;;;;;;;;22/12/14 14:12;40.25 ms;null;false;
;;;;;;;;;;22/12/14 13:12;29.36 ms;null;false;
;;;;;;;;;;22/12/14 12:12;1.19 ms;null;false;
;;;;;;;;;;22/12/14 11:12;2.6 ms;null;false;
;;;;;;;;;;22/12/14 10:12;24.71 ms;null;false;
;;;;;;;;;;22/12/14 08:12;1.16 ms;null;false;
