dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
07/01/15 23:35;9.6 Mbit/s;23.28 Mbit/s;1.44 ms;6.14 ms;10.79 Mbit/s;24.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 22:36;6.93 Mbit/s;17.67 Mbit/s;< 1 ms;3.94 ms;3.41 Mbit/s;18.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 21:35;7.22 Mbit/s;16.57 Mbit/s;4.47 ms;3.62 ms;8.08 Mbit/s;17.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 20:35;-;-;-;15.83 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 19:36;8.79 Mbit/s;13.63 Mbit/s;1.73 ms;5.53 ms;10.42 Mbit/s;13.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/01/15 14:35;7.73 Mbit/s;11.31 Mbit/s;1.88 ms;13.44 ms;5.74 Mbit/s;6.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 13:35;6.22 Mbit/s;13.9 Mbit/s;6.33 ms;10.16 ms;7.45 Mbit/s;14.51 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
07/01/15 12:35;7.4 Mbit/s;3.26 Mbit/s;4.59 ms;6.89 ms;8.76 Mbit/s;3.46 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 11:35;9.31 Mbit/s;10.63 Mbit/s;12.3 ms;21.46 ms;6.95 Mbit/s;11.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
07/01/15 10:39;9.83 Mbit/s;7.4 Mbit/s;1.61 ms;3.19 ms;11.4 Mbit/s;5.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 08:39;9.91 Mbit/s;7.75 Mbit/s;1.18 ms;30.17 ms;11.45 Mbit/s;2.79 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
07/01/15 07:40;13.77 Mbit/s;19.52 Mbit/s;1.1 ms;1.37 ms;15.86 Mbit/s;20.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/01/15 06:40;10.37 Mbit/s;19.2 Mbit/s;< 1 ms;7.8 ms;11.81 Mbit/s;20.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 05:39;14.76 Mbit/s;21.98 Mbit/s;12.12 ms;2.03 ms;17.05 Mbit/s;23.6 Mbit/s;6.98 %;6.98 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 04:39;15.46 Mbit/s;24.58 Mbit/s;3.24 ms;2.78 ms;17.59 Mbit/s;26.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 03:39;15.08 Mbit/s;25.12 Mbit/s;< 1 ms;< 1 ms;17.08 Mbit/s;26.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 01:39;16.45 Mbit/s;25.21 Mbit/s;< 1 ms;< 1 ms;18.22 Mbit/s;26.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 23:39;15.53 Mbit/s;20.2 Mbit/s;3.53 ms;< 1 ms;18.16 Mbit/s;21.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 22:39;16.45 Mbit/s;14.06 Mbit/s;< 1 ms;8.73 ms;17.11 Mbit/s;14.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 21:39;13.57 Mbit/s;17.79 Mbit/s;14.1 ms;8.95 ms;-;18.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 19:39;9.12 Mbit/s;5.17 Mbit/s;6.15 ms;1.03 ms;10.23 Mbit/s;5.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 16:39;8.28 Mbit/s;8.44 Mbit/s;1.82 ms;19.55 ms;9.43 Mbit/s;8.99 Mbit/s;2.27 %;2.27 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 14:40;6.61 Mbit/s;9.61 Mbit/s;2.91 ms;18.08 ms;7.77 Mbit/s;10.27 Mbit/s;0.67 %;0.67 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 13:36;12.32 Mbit/s;15.59 Mbit/s;1.51 ms;3.93 ms;13.41 Mbit/s;15.92 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 12:36;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 11:36;12.61 Mbit/s;8.89 Mbit/s;< 1 ms;4.85 ms;12.32 Mbit/s;9.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 09:35;9.28 Mbit/s;18.17 Mbit/s;2.35 ms;3.62 ms;8.75 Mbit/s;19.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 08:36;13.77 Mbit/s;21.12 Mbit/s;1.79 ms;3.77 ms;10.48 Mbit/s;22.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 07:35;14.74 Mbit/s;7.68 Mbit/s;55.28 ms;6.83 ms;16.55 Mbit/s;7.98 Mbit/s;2.05 %;2.05 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 06:35;12.42 Mbit/s;15.53 Mbit/s;< 1 ms;12.52 ms;12.79 Mbit/s;16.69 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/01/15 05:35;15.71 Mbit/s;23.65 Mbit/s;3.68 ms;3.47 ms;17.76 Mbit/s;24.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 04:35;21.12 Mbit/s;23.7 Mbit/s;< 1 ms;< 1 ms;20.88 Mbit/s;24.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 03:35;9.25 Mbit/s;20.48 Mbit/s;< 1 ms;11.2 ms;10.05 Mbit/s;21.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 02:35;21.88 Mbit/s;23.97 Mbit/s;< 1 ms;< 1 ms;3.51 Mbit/s;25.76 Mbit/s;4.96 %;4.96 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 01:35;14.51 Mbit/s;23.97 Mbit/s;< 1 ms;7.66 ms;16.68 Mbit/s;25.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
;;;;;;;;;;07/01/15 23:49;3.99 ms;null;false;
;;;;;;;;;;07/01/15 22:49;3.65 ms;null;false;
;;;;;;;;;;07/01/15 21:49;3.0 ms;null;false;
;;;;;;;;;;07/01/15 19:49;4.08 ms;null;false;
;;;;;;;;;;07/01/15 18:49;69.0 ms;null;false;
;;;;;;;;;;07/01/15 16:49;3.45 ms;null;false;
;;;;;;;;;;07/01/15 14:49;36.85 ms;null;false;
;;;;;;;;;;07/01/15 11:49;4.0 ms;null;false;
;;;;;;;;;;07/01/15 08:49;22.53 ms;null;false;
;;;;;;;;;;07/01/15 07:49;2.96 ms;null;false;
;;;;;;;;;;07/01/15 06:49;4.34 ms;null;false;
;;;;;;;;;;07/01/15 05:49;4.17 ms;null;false;
;;;;;;;;;;07/01/15 04:49;4.2 ms;null;false;
;;;;;;;;;;07/01/15 03:49;2.68 ms;null;false;
