dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 23:38;30.86 Mbit/s;21.35 Mbit/s;1.33 ms;1.05 ms;35.55 Mbit/s;22.81 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 22:38;26.67 Mbit/s;22.17 Mbit/s;1.14 ms;2.75 ms;30.64 Mbit/s;24.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 21:38;29.91 Mbit/s;23.12 Mbit/s;1.59 ms;1.03 ms;32.65 Mbit/s;24.08 Mbit/s;0.68 %;0.68 %;PTT Metro de Campinas;;;;;
23/12/14 20:38;30.73 Mbit/s;23.28 Mbit/s;< 1 ms;11.77 ms;35.15 Mbit/s;24.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 19:38;24.97 Mbit/s;23.34 Mbit/s;1.35 ms;1.21 ms;29.68 Mbit/s;13.64 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 18:38;30.67 Mbit/s;24.04 Mbit/s;< 1 ms;1.61 ms;25.12 Mbit/s;24.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 17:38;11.82 Mbit/s;23.05 Mbit/s;< 1 ms;1.97 ms;13.06 Mbit/s;24.27 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 16:38;31.37 Mbit/s;24.88 Mbit/s;< 1 ms;4.59 ms;35.24 Mbit/s;25.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 15:38;25.38 Mbit/s;21.33 Mbit/s;1.37 ms;1.77 ms;28.63 Mbit/s;21.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 14:39;30.54 Mbit/s;27.4 Mbit/s;< 1 ms;1.49 ms;33.86 Mbit/s;27.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 13:38;14.09 Mbit/s;23.79 Mbit/s;< 1 ms;1.29 ms;15.78 Mbit/s;24.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 12:38;32.09 Mbit/s;25.11 Mbit/s;< 1 ms;2.62 ms;21.9 Mbit/s;26.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 11:39;15.8 Mbit/s;19.1 Mbit/s;1.84 ms;1.18 ms;17.54 Mbit/s;20.47 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 10:38;31.07 Mbit/s;25.56 Mbit/s;< 1 ms;< 1 ms;34.82 Mbit/s;26.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 09:38;34.88 Mbit/s;28.2 Mbit/s;< 1 ms;2.25 ms;39.15 Mbit/s;29.1 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 08:38;10.58 Mbit/s;14.8 Mbit/s;1.42 ms;2.64 ms;11.78 Mbit/s;15.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 07:38;16.46 Mbit/s;22.39 Mbit/s;< 1 ms;1.31 ms;17.78 Mbit/s;23.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 06:38;17.92 Mbit/s;26.31 Mbit/s;< 1 ms;1.5 ms;18.07 Mbit/s;27.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 05:38;30.17 Mbit/s;27.87 Mbit/s;< 1 ms;< 1 ms;32.53 Mbit/s;23.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 04:38;13.03 Mbit/s;23.74 Mbit/s;3.42 ms;7.47 ms;14.86 Mbit/s;25.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:38;7.58 Mbit/s;3.59 Mbit/s;< 1 ms;5.9 ms;4.72 Mbit/s;3.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 02:38;5.75 Mbit/s;2.2 Mbit/s;3.62 ms;9.66 ms;7.2 Mbit/s;2.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
23/12/14 01:38;6.57 Mbit/s;4.04 Mbit/s;5.86 ms;8.76 ms;12.09 Mbit/s;3.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:39;3.07 Mbit/s;1.92 Mbit/s;3.38 ms;8.56 ms;3.9 Mbit/s;1.83 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 23:39;5.68 Mbit/s;2.37 Mbit/s;3.37 ms;6.01 ms;7.92 Mbit/s;2.52 Mbit/s;3.55 %;3.55 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
