dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
08/01/15 00:00;11.92 Mbit/s;11.61 Mbit/s;< 1 ms;1.37 ms;11.98 Mbit/s;12.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 15:00;8.23 Mbit/s;7.63 Mbit/s;21.39 ms;4.19 ms;8.54 Mbit/s;7.42 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 12:00;10.38 Mbit/s;10.44 Mbit/s;< 1 ms;1.26 ms;10.82 Mbit/s;10.53 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
07/01/15 09:00;9.79 Mbit/s;10.77 Mbit/s;7.48 ms;1.07 ms;9.93 Mbit/s;9.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/01/15 06:00;12.35 Mbit/s;11.95 Mbit/s;17.64 ms;4.55 ms;12.3 Mbit/s;12.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 03:00;12.56 Mbit/s;12.53 Mbit/s;1.34 ms;< 1 ms;12.28 Mbit/s;12.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 00:00;11.87 Mbit/s;12.42 Mbit/s;< 1 ms;2.93 ms;12.05 Mbit/s;11.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/01/15 21:00;11.93 Mbit/s;10.84 Mbit/s;10.8 ms;< 1 ms;11.51 Mbit/s;11.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 18:00;7.91 Mbit/s;8.82 Mbit/s;1.98 ms;< 1 ms;7.99 Mbit/s;6.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 15:00;10.96 Mbit/s;8.63 Mbit/s;< 1 ms;9.3 ms;11.34 Mbit/s;9.24 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/01/15 12:00;11.77 Mbit/s;10.6 Mbit/s;32.95 ms;1.11 ms;11.69 Mbit/s;10.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/01/15 09:00;11.69 Mbit/s;10.42 Mbit/s;6.99 ms;< 1 ms;11.2 Mbit/s;10.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 06:00;10.34 Mbit/s;9.4 Mbit/s;1.38 ms;2.01 ms;10.99 Mbit/s;9.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/01/15 03:00;12.62 Mbit/s;10.52 Mbit/s;6.26 ms;3.38 ms;12.82 Mbit/s;11.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;07/01/15 23:14;3.65 ms;null;false;
;;;;;;;;;;07/01/15 22:14;1.11 ms;null;false;
;;;;;;;;;;07/01/15 17:14;1.1 ms;null;false;
;;;;;;;;;;07/01/15 16:14;196.19 ms;null;false;
;;;;;;;;;;07/01/15 15:14;1.28 ms;null;false;
;;;;;;;;;;07/01/15 14:14;55.27 ms;null;false;
;;;;;;;;;;07/01/15 13:14;9.91 ms;null;false;
;;;;;;;;;;07/01/15 12:14;1.8 ms;null;false;
