dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:00;11.98 Mbit/s;11.72 Mbit/s;< 1 ms;< 1 ms;11.75 Mbit/s;11.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:00;10.65 Mbit/s;11.15 Mbit/s;< 1 ms;3.27 ms;10.99 Mbit/s;9.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:00;11.63 Mbit/s;11.57 Mbit/s;1.0 ms;2.81 ms;11.42 Mbit/s;10.81 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:00;10.56 Mbit/s;10.08 Mbit/s;1.13 ms;6.84 ms;10.74 Mbit/s;9.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 18:00;10.55 Mbit/s;10.19 Mbit/s;< 1 ms;1.89 ms;10.75 Mbit/s;10.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 15:00;9.38 Mbit/s;9.45 Mbit/s;1.24 ms;2.45 ms;9.72 Mbit/s;7.82 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:00;9.15 Mbit/s;9.91 Mbit/s;< 1 ms;4.91 ms;9.66 Mbit/s;9.31 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 09:00;11.72 Mbit/s;11.8 Mbit/s;< 1 ms;19.35 ms;12.77 Mbit/s;11.85 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;23/12/14 07:14;2.57 ms;null;false;
;;;;;;;;;;23/12/14 06:14;40.03 ms;null;false;
;;;;;;;;;;23/12/14 05:14;2.14 ms;null;false;
;;;;;;;;;;23/12/14 04:14;10.97 ms;null;false;
;;;;;;;;;;23/12/14 03:14;3.02 ms;null;false;
;;;;;;;;;;23/12/14 02:14;1.3 ms;null;false;
;;;;;;;;;;23/12/14 01:14;2.88 ms;null;false;
;;;;;;;;;;23/12/14 00:14;1.1 ms;null;false;
;;;;;;;;;;22/12/14 23:14;2.28 ms;null;false;
;;;;;;;;;;22/12/14 22:14;1.28 ms;null;false;
;;;;;;;;;;22/12/14 21:14;120.3 ms;null;false;
;;;;;;;;;;22/12/14 20:14;2.41 ms;null;false;
;;;;;;;;;;22/12/14 19:14;1.14 ms;null;false;
;;;;;;;;;;22/12/14 18:14;2.6 ms;null;false;
;;;;;;;;;;22/12/14 17:14;1.11 ms;null;false;
;;;;;;;;;;22/12/14 16:14;141.75 ms;null;false;
;;;;;;;;;;22/12/14 15:14;6.01 ms;null;false;
;;;;;;;;;;22/12/14 14:14;7.08 ms;null;false;
;;;;;;;;;;22/12/14 13:14;1.48 ms;null;false;
;;;;;;;;;;22/12/14 12:14;1.61 ms;null;false;
;;;;;;;;;;22/12/14 11:14;1.12 ms;null;false;
;;;;;;;;;;22/12/14 10:14;1.11 ms;null;false;
;;;;;;;;;;22/12/14 09:14;1.14 ms;null;false;
;;;;;;;;;;22/12/14 08:14;1.15 ms;null;false;
