dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
19/01/15 00:07;-;1.59 Mbit/s;11.4 ms;23.02 ms;-;-;5.07 %;5.07 %;PTT Metro de Curitiba;;;;;
18/01/15 23:07;1.0 Mbit/s;5.5 Mbit/s;17.22 ms;11.78 ms;1.11 Mbit/s;5.36 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/01/15 21:08;183.24 kbit/s;2.45 Mbit/s;45.53 ms;20.88 ms;74.18 kbit/s;2.31 Mbit/s;20.72 %;20.72 %;PTT Metro de Curitiba;;;;;
18/01/15 20:07;8.72 Mbit/s;3.52 Mbit/s;20.59 ms;17.93 ms;5.1 Mbit/s;3.7 Mbit/s;10.24 %;10.24 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 19:07;2.01 Mbit/s;5.47 Mbit/s;13.32 ms;11.11 ms;2.17 Mbit/s;5.4 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 18:07;1.36 Mbit/s;6.79 Mbit/s;2.56 ms;22.45 ms;1.41 Mbit/s;6.94 Mbit/s;22.81 %;22.81 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 17:07;4.46 Mbit/s;8.95 Mbit/s;9.58 ms;7.35 ms;4.7 Mbit/s;6.11 Mbit/s;37.25 %;37.25 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 16:07;1.46 Mbit/s;989.3 kbit/s;6.44 ms;12.09 ms;447.71 kbit/s;571.82 kbit/s;4.23 %;4.23 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 15:09;-;-;-;-;-;-;6.67 %;6.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
18/01/15 14:07;18.2 Mbit/s;15.98 Mbit/s;1.78 ms;< 1 ms;19.64 Mbit/s;5.46 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 13:07;13.55 Mbit/s;11.05 Mbit/s;< 1 ms;4.19 ms;14.44 Mbit/s;11.3 Mbit/s;10.69 %;10.69 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 12:07;11.44 Mbit/s;10.11 Mbit/s;15.27 ms;28.05 ms;-;9.36 Mbit/s;23.01 %;23.01 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 10:08;21.83 Mbit/s;24.39 Mbit/s;< 1 ms;1.2 ms;21.44 Mbit/s;24.2 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 09:07;-;-;-;-;-;-;193.55 %;193.55 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/01/15 08:07;11.46 Mbit/s;22.4 Mbit/s;< 1 ms;1.93 ms;12.58 Mbit/s;21.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/01/15 07:07;25.76 Mbit/s;6.56 Mbit/s;< 1 ms;1.63 ms;28.12 Mbit/s;4.5 Mbit/s;4.35 %;4.35 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 06:07;24.07 Mbit/s;28.55 Mbit/s;1.22 ms;1.03 ms;26.3 Mbit/s;29.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 05:07;25.37 Mbit/s;26.66 Mbit/s;< 1 ms;1.13 ms;27.8 Mbit/s;24.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 04:07;22.62 Mbit/s;29.47 Mbit/s;< 1 ms;< 1 ms;24.82 Mbit/s;28.12 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/01/15 03:07;23.34 Mbit/s;24.46 Mbit/s;< 1 ms;1.07 ms;25.26 Mbit/s;24.69 Mbit/s;2.76 %;2.76 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/01/15 02:07;22.99 Mbit/s;23.87 Mbit/s;28.85 ms;14.12 ms;23.12 Mbit/s;20.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/01/15 01:07;19.56 Mbit/s;20.92 Mbit/s;4.14 ms;5.07 ms;21.18 Mbit/s;17.83 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/01/15 00:07;14.9 Mbit/s;9.87 Mbit/s;1.06 ms;2.23 ms;14.9 Mbit/s;9.98 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
17/01/15 23:07;335.94 kbit/s;3.86 Mbit/s;43.93 ms;6.12 ms;330.76 kbit/s;3.84 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/01/15 22:07;3.97 Mbit/s;3.1 Mbit/s;18.14 ms;2.83 ms;4.3 Mbit/s;3.33 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/01/15 21:07;10.54 Mbit/s;11.29 Mbit/s;21.5 ms;26.02 ms;11.12 Mbit/s;11.28 Mbit/s;3.52 %;3.52 %;PTT Metro de Curitiba;;;;;
17/01/15 20:07;21.49 Mbit/s;15.31 Mbit/s;< 1 ms;5.17 ms;7.61 Mbit/s;11.79 Mbit/s;9.3 %;9.3 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
