dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:07;17.6 Mbit/s;27.96 Mbit/s;1.08 ms;< 1 ms;19.31 Mbit/s;28.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:07;19.97 Mbit/s;28.06 Mbit/s;1.21 ms;1.22 ms;21.9 Mbit/s;29.15 Mbit/s;3.55 %;3.55 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:07;16.51 Mbit/s;29.6 Mbit/s;1.05 ms;1.14 ms;18.11 Mbit/s;29.53 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 04:07;26.56 Mbit/s;26.29 Mbit/s;1.15 ms;< 1 ms;29.15 Mbit/s;27.34 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 03:07;25.47 Mbit/s;30.71 Mbit/s;< 1 ms;< 1 ms;27.76 Mbit/s;30.96 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 02:07;15.86 Mbit/s;22.55 Mbit/s;< 1 ms;< 1 ms;16.87 Mbit/s;22.5 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 01:07;35.41 Mbit/s;28.26 Mbit/s;2.03 ms;< 1 ms;11.99 Mbit/s;29.47 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:07;21.26 Mbit/s;32.37 Mbit/s;1.29 ms;< 1 ms;23.32 Mbit/s;33.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:07;18.02 Mbit/s;24.39 Mbit/s;2.62 ms;< 1 ms;13.7 Mbit/s;24.29 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:07;6.65 Mbit/s;12.09 Mbit/s;1.59 ms;< 1 ms;6.21 Mbit/s;12.88 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 21:07;27.63 Mbit/s;7.8 Mbit/s;1.63 ms;< 1 ms;30.23 Mbit/s;8.28 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:07;18.48 Mbit/s;10.3 Mbit/s;9.91 ms;3.62 ms;19.92 Mbit/s;10.58 Mbit/s;0.68 %;0.68 %;PTT Metro de Curitiba;;;;;
22/12/14 19:07;5.84 Mbit/s;10.76 Mbit/s;5.22 ms;< 1 ms;4.31 Mbit/s;11.15 Mbit/s;3.55 %;3.55 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 18:07;22.37 Mbit/s;21.93 Mbit/s;9.35 ms;< 1 ms;18.5 Mbit/s;21.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 17:08;14.97 Mbit/s;9.24 Mbit/s;< 1 ms;3.5 ms;15.64 Mbit/s;5.24 Mbit/s;41.3 %;41.3 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 16:07;20.2 Mbit/s;19.84 Mbit/s;4.08 ms;< 1 ms;21.92 Mbit/s;15.97 Mbit/s;18.7 %;18.7 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 15:07;4.46 Mbit/s;5.74 Mbit/s;1.03 ms;< 1 ms;4.83 Mbit/s;1.24 Mbit/s;46.24 %;46.24 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
;;;;;;;;;;23/12/14 07:21;1.35 ms;null;false;
;;;;;;;;;;23/12/14 06:21;2.48 ms;null;false;
;;;;;;;;;;23/12/14 05:21;1.4 ms;null;false;
;;;;;;;;;;23/12/14 04:21;1.11 ms;null;false;
;;;;;;;;;;23/12/14 03:21;1.75 ms;null;false;
;;;;;;;;;;23/12/14 02:21;1.43 ms;null;false;
;;;;;;;;;;23/12/14 01:21;1.29 ms;null;false;
;;;;;;;;;;23/12/14 00:21;4.74 ms;null;false;
;;;;;;;;;;22/12/14 23:21;1.56 ms;null;false;
;;;;;;;;;;22/12/14 22:21;1.23 ms;null;false;
;;;;;;;;;;22/12/14 21:21;1.26 ms;null;false;
;;;;;;;;;;22/12/14 20:21;1.87 ms;null;false;
;;;;;;;;;;22/12/14 19:21;40.81 ms;null;false;
;;;;;;;;;;22/12/14 18:21;69.28 ms;null;false;
;;;;;;;;;;22/12/14 17:21;2.61 ms;null;false;
;;;;;;;;;;22/12/14 16:21;1.29 ms;null;false;
;;;;;;;;;;22/12/14 15:21;1.45 ms;null;false;
;;;;;;;;;;22/12/14 14:21;1.18 ms;null;false;
