dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 23:01;24.2 Mbit/s;32.98 Mbit/s;< 1 ms;2.29 ms;25.71 Mbit/s;34.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 20:01;24.88 Mbit/s;32.82 Mbit/s;< 1 ms;< 1 ms;26.89 Mbit/s;33.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 17:01;18.68 Mbit/s;32.98 Mbit/s;< 1 ms;1.2 ms;20.55 Mbit/s;34.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 14:01;23.44 Mbit/s;33.54 Mbit/s;< 1 ms;1.0 ms;24.58 Mbit/s;32.41 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 11:01;22.45 Mbit/s;33.05 Mbit/s;< 1 ms;< 1 ms;23.88 Mbit/s;34.11 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 08:01;24.04 Mbit/s;32.49 Mbit/s;< 1 ms;< 1 ms;26.11 Mbit/s;34.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 05:01;24.29 Mbit/s;32.5 Mbit/s;< 1 ms;< 1 ms;26.67 Mbit/s;34.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 02:01;24.97 Mbit/s;32.86 Mbit/s;< 1 ms;< 1 ms;27.19 Mbit/s;34.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 23:01;23.36 Mbit/s;32.21 Mbit/s;< 1 ms;< 1 ms;25.11 Mbit/s;33.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:01;23.79 Mbit/s;31.19 Mbit/s;< 1 ms;< 1 ms;25.31 Mbit/s;33.11 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 17:01;19.94 Mbit/s;30.86 Mbit/s;1.36 ms;< 1 ms;20.9 Mbit/s;32.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
