dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
26/12/14 23:51;14.11 Mbit/s;12.03 Mbit/s;< 1 ms;3.35 ms;14.82 Mbit/s;12.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 22:51;13.16 Mbit/s;9.19 Mbit/s;< 1 ms;< 1 ms;12.95 Mbit/s;9.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/12/14 21:51;12.61 Mbit/s;13.34 Mbit/s;< 1 ms;< 1 ms;13.85 Mbit/s;10.92 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 20:51;16.73 Mbit/s;9.84 Mbit/s;1.07 ms;1.15 ms;14.11 Mbit/s;10.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 19:51;8.35 Mbit/s;9.67 Mbit/s;7.53 ms;15.1 ms;8.75 Mbit/s;1.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 18:51;4.03 Mbit/s;5.48 Mbit/s;8.14 ms;2.63 ms;4.28 Mbit/s;5.55 Mbit/s;2.07 %;2.07 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 17:51;14.75 Mbit/s;3.68 Mbit/s;18.01 ms;10.97 ms;12.19 Mbit/s;3.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 16:51;2.95 Mbit/s;8.85 Mbit/s;10.45 ms;12.6 ms;2.45 Mbit/s;5.74 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 15:51;5.25 Mbit/s;6.63 Mbit/s;43.37 ms;5.74 ms;5.76 Mbit/s;7.06 Mbit/s;1.37 %;1.37 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 14:51;11.48 Mbit/s;13.26 Mbit/s;9.65 ms;7.19 ms;11.37 Mbit/s;12.13 Mbit/s;0.67 %;0.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 13:51;2.08 Mbit/s;1.47 Mbit/s;3.86 ms;28.11 ms;2.23 Mbit/s;1.44 Mbit/s;0.67 %;0.67 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/12/14 12:51;15.26 Mbit/s;12.95 Mbit/s;1.13 ms;4.46 ms;15.37 Mbit/s;9.24 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 11:51;3.77 Mbit/s;1.11 Mbit/s;427.23 ms;9.52 ms;107.82 kbit/s;833.34 kbit/s;0.7 %;0.7 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 10:51;9.65 Mbit/s;1.52 Mbit/s;16.18 ms;16.56 ms;4.0 Mbit/s;1.6 Mbit/s;4.26 %;4.26 %;PTT Metro de Curitiba;;;;;
26/12/14 09:51;1.03 Mbit/s;2.94 Mbit/s;13.91 ms;11.55 ms;935.56 kbit/s;2.82 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 08:51;5.55 Mbit/s;3.85 Mbit/s;8.8 ms;13.51 ms;178.04 kbit/s;3.21 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 07:51;14.46 Mbit/s;15.13 Mbit/s;< 1 ms;< 1 ms;14.94 Mbit/s;8.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/12/14 06:51;18.47 Mbit/s;12.27 Mbit/s;< 1 ms;< 1 ms;15.72 Mbit/s;13.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 05:51;12.73 Mbit/s;12.04 Mbit/s;< 1 ms;< 1 ms;10.58 Mbit/s;12.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/12/14 04:51;5.53 Mbit/s;6.05 Mbit/s;11.04 ms;3.35 ms;5.9 Mbit/s;6.26 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/12/14 03:51;12.88 Mbit/s;13.92 Mbit/s;< 1 ms;< 1 ms;14.18 Mbit/s;12.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/12/14 02:51;13.52 Mbit/s;12.62 Mbit/s;< 1 ms;< 1 ms;14.43 Mbit/s;11.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/12/14 01:51;11.98 Mbit/s;10.99 Mbit/s;2.9 ms;26.93 ms;13.19 Mbit/s;11.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/12/14 00:51;12.63 Mbit/s;13.31 Mbit/s;< 1 ms;< 1 ms;13.91 Mbit/s;9.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/12/14 23:51;16.99 Mbit/s;5.47 Mbit/s;4.84 ms;39.39 ms;16.42 Mbit/s;5.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/12/14 22:51;5.44 Mbit/s;8.83 Mbit/s;< 1 ms;< 1 ms;5.97 Mbit/s;9.38 Mbit/s;11.45 %;11.45 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/12/14 21:51;12.74 Mbit/s;15.2 Mbit/s;< 1 ms;< 1 ms;13.83 Mbit/s;10.97 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/12/14 20:51;9.24 Mbit/s;16.54 Mbit/s;< 1 ms;3.88 ms;9.87 Mbit/s;14.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/12/14 19:51;12.9 Mbit/s;13.63 Mbit/s;< 1 ms;1.12 ms;9.89 Mbit/s;14.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/12/14 18:51;10.81 Mbit/s;15.79 Mbit/s;4.28 ms;1.67 ms;12.04 Mbit/s;12.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/12/14 17:51;4.8 Mbit/s;8.85 Mbit/s;1.02 ms;1.2 ms;4.73 Mbit/s;8.01 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
