dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:33;24.17 Mbit/s;25.03 Mbit/s;< 1 ms;< 1 ms;24.51 Mbit/s;22.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 06:33;5.58 Mbit/s;24.9 Mbit/s;< 1 ms;1.12 ms;6.09 Mbit/s;22.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 05:33;25.59 Mbit/s;25.15 Mbit/s;< 1 ms;< 1 ms;24.89 Mbit/s;22.98 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 04:33;25.13 Mbit/s;24.39 Mbit/s;1.19 ms;< 1 ms;25.93 Mbit/s;17.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 03:33;24.31 Mbit/s;24.67 Mbit/s;< 1 ms;4.3 ms;25.26 Mbit/s;19.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:33;24.88 Mbit/s;25.23 Mbit/s;6.06 ms;3.26 ms;22.4 Mbit/s;18.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:33;24.27 Mbit/s;24.89 Mbit/s;< 1 ms;1.22 ms;25.33 Mbit/s;23.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 00:33;23.98 Mbit/s;25.11 Mbit/s;< 1 ms;< 1 ms;25.25 Mbit/s;23.09 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:33;25.22 Mbit/s;24.46 Mbit/s;< 1 ms;< 1 ms;25.61 Mbit/s;22.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:33;24.65 Mbit/s;24.85 Mbit/s;3.26 ms;< 1 ms;25.68 Mbit/s;23.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 21:33;23.81 Mbit/s;24.29 Mbit/s;< 1 ms;< 1 ms;25.56 Mbit/s;20.72 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:33;22.19 Mbit/s;24.0 Mbit/s;15.97 ms;4.5 ms;21.55 Mbit/s;19.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:33;5.35 Mbit/s;20.61 Mbit/s;< 1 ms;3.58 ms;3.0 Mbit/s;12.43 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 18:33;19.93 Mbit/s;20.8 Mbit/s;5.47 ms;7.88 ms;23.21 Mbit/s;17.72 Mbit/s;5.11 %;5.11 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 17:33;16.27 Mbit/s;23.11 Mbit/s;2.93 ms;11.7 ms;18.38 Mbit/s;21.2 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 16:33;22.54 Mbit/s;22.78 Mbit/s;< 1 ms;1.5 ms;23.17 Mbit/s;18.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
