dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
08/01/15 23:57;19.18 Mbit/s;28.26 Mbit/s;< 1 ms;< 1 ms;20.23 Mbit/s;30.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/01/15 22:57;20.06 Mbit/s;27.49 Mbit/s;< 1 ms;< 1 ms;15.87 Mbit/s;28.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/01/15 21:57;14.17 Mbit/s;18.86 Mbit/s;< 1 ms;< 1 ms;13.8 Mbit/s;19.93 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/01/15 20:57;4.3 Mbit/s;13.15 Mbit/s;2.69 ms;1.22 ms;4.16 Mbit/s;13.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/01/15 19:57;13.65 Mbit/s;24.33 Mbit/s;< 1 ms;4.68 ms;14.39 Mbit/s;25.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/01/15 17:57;18.03 Mbit/s;20.58 Mbit/s;1.46 ms;< 1 ms;18.9 Mbit/s;21.27 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/01/15 16:57;18.52 Mbit/s;21.34 Mbit/s;2.63 ms;< 1 ms;20.27 Mbit/s;22.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
08/01/15 15:57;14.79 Mbit/s;16.51 Mbit/s;1.44 ms;5.71 ms;15.97 Mbit/s;17.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
08/01/15 14:57;13.81 Mbit/s;19.82 Mbit/s;< 1 ms;3.37 ms;14.94 Mbit/s;20.82 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
08/01/15 13:57;15.97 Mbit/s;17.76 Mbit/s;4.35 ms;3.06 ms;14.17 Mbit/s;18.36 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
08/01/15 12:57;15.05 Mbit/s;14.41 Mbit/s;1.0 ms;< 1 ms;16.23 Mbit/s;14.64 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/01/15 11:57;17.71 Mbit/s;10.82 Mbit/s;< 1 ms;< 1 ms;16.1 Mbit/s;10.75 Mbit/s;3.57 %;3.57 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
08/01/15 10:57;16.83 Mbit/s;24.48 Mbit/s;5.14 ms;< 1 ms;18.25 Mbit/s;24.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/01/15 09:57;20.7 Mbit/s;23.04 Mbit/s;4.95 ms;< 1 ms;20.73 Mbit/s;22.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/01/15 08:57;14.09 Mbit/s;19.47 Mbit/s;3.46 ms;3.19 ms;13.88 Mbit/s;19.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
08/01/15 07:57;19.69 Mbit/s;18.8 Mbit/s;< 1 ms;1.29 ms;18.51 Mbit/s;20.03 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/01/15 06:57;26.31 Mbit/s;24.98 Mbit/s;< 1 ms;< 1 ms;28.98 Mbit/s;25.84 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/01/15 05:57;26.76 Mbit/s;27.68 Mbit/s;2.54 ms;< 1 ms;28.67 Mbit/s;28.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/01/15 04:57;20.36 Mbit/s;27.34 Mbit/s;< 1 ms;1.51 ms;21.42 Mbit/s;28.61 Mbit/s;4.96 %;4.96 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/01/15 03:57;20.7 Mbit/s;26.74 Mbit/s;2.47 ms;< 1 ms;22.25 Mbit/s;26.88 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/01/15 02:57;20.41 Mbit/s;27.48 Mbit/s;8.7 ms;< 1 ms;21.93 Mbit/s;29.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
