dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:57;29.54 Mbit/s;33.94 Mbit/s;< 1 ms;< 1 ms;32.37 Mbit/s;35.53 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 05:57;22.98 Mbit/s;32.1 Mbit/s;< 1 ms;< 1 ms;25.25 Mbit/s;33.92 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 04:57;23.49 Mbit/s;35.72 Mbit/s;< 1 ms;< 1 ms;25.75 Mbit/s;37.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:57;27.25 Mbit/s;38.45 Mbit/s;< 1 ms;< 1 ms;29.79 Mbit/s;40.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:57;30.45 Mbit/s;38.69 Mbit/s;< 1 ms;1.66 ms;33.47 Mbit/s;41.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:57;27.8 Mbit/s;38.98 Mbit/s;< 1 ms;< 1 ms;30.3 Mbit/s;39.89 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 00:57;27.2 Mbit/s;37.82 Mbit/s;1.81 ms;< 1 ms;28.38 Mbit/s;31.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 23:57;22.98 Mbit/s;37.54 Mbit/s;< 1 ms;< 1 ms;22.25 Mbit/s;36.66 Mbit/s;17.46 %;17.46 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 22:57;12.25 Mbit/s;32.94 Mbit/s;< 1 ms;< 1 ms;13.3 Mbit/s;34.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 21:57;26.13 Mbit/s;29.74 Mbit/s;< 1 ms;< 1 ms;24.52 Mbit/s;28.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
