dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
07/01/15 23:10;20.08 Mbit/s;10.05 Mbit/s;1.68 ms;1.39 ms;21.11 Mbit/s;6.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 22:10;14.24 Mbit/s;15.64 Mbit/s;35.64 ms;37.14 ms;12.13 Mbit/s;11.6 Mbit/s;3.62 %;3.62 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
07/01/15 21:10;18.98 Mbit/s;13.82 Mbit/s;24.17 ms;< 1 ms;16.07 Mbit/s;13.68 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 20:10;8.88 Mbit/s;13.04 Mbit/s;8.29 ms;3.34 ms;5.41 Mbit/s;13.81 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 19:10;897.23 kbit/s;15.23 Mbit/s;< 1 ms;5.5 ms;998.4 kbit/s;16.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 18:10;5.8 Mbit/s;13.05 Mbit/s;13.27 ms;15.67 ms;5.99 Mbit/s;12.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 17:10;18.0 Mbit/s;16.22 Mbit/s;15.56 ms;1.21 ms;17.73 Mbit/s;15.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 16:10;15.44 Mbit/s;15.48 Mbit/s;1.82 ms;2.58 ms;16.64 Mbit/s;13.52 Mbit/s;0.69 %;0.69 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 15:10;10.13 Mbit/s;15.44 Mbit/s;27.34 ms;< 1 ms;11.57 Mbit/s;5.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 14:10;12.65 Mbit/s;973.0 kbit/s;3.23 ms;29.33 ms;13.95 Mbit/s;1.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 13:10;14.71 Mbit/s;11.38 Mbit/s;6.5 ms;2.96 ms;15.64 Mbit/s;8.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/01/15 12:10;13.07 Mbit/s;5.63 Mbit/s;1.35 ms;3.54 ms;12.5 Mbit/s;5.95 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 11:10;18.7 Mbit/s;16.92 Mbit/s;< 1 ms;< 1 ms;19.43 Mbit/s;16.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/01/15 10:10;19.76 Mbit/s;16.03 Mbit/s;8.56 ms;2.28 ms;20.18 Mbit/s;16.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/01/15 09:10;19.45 Mbit/s;16.96 Mbit/s;< 1 ms;15.34 ms;16.21 Mbit/s;17.88 Mbit/s;0.0 %;0.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
07/01/15 08:10;21.4 Mbit/s;19.96 Mbit/s;1.11 ms;1.12 ms;22.3 Mbit/s;21.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
07/01/15 07:10;17.1 Mbit/s;18.21 Mbit/s;< 1 ms;19.5 ms;18.32 Mbit/s;18.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 06:10;22.07 Mbit/s;16.19 Mbit/s;< 1 ms;2.97 ms;22.46 Mbit/s;17.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 05:10;21.82 Mbit/s;16.55 Mbit/s;< 1 ms;< 1 ms;23.25 Mbit/s;17.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 04:10;19.24 Mbit/s;15.52 Mbit/s;< 1 ms;< 1 ms;21.05 Mbit/s;16.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/01/15 03:10;23.04 Mbit/s;16.49 Mbit/s;< 1 ms;< 1 ms;22.66 Mbit/s;17.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 02:10;22.14 Mbit/s;16.26 Mbit/s;< 1 ms;< 1 ms;23.01 Mbit/s;17.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
07/01/15 01:10;19.47 Mbit/s;18.37 Mbit/s;< 1 ms;5.15 ms;15.61 Mbit/s;15.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/01/15 00:10;21.45 Mbit/s;16.71 Mbit/s;< 1 ms;< 1 ms;22.69 Mbit/s;17.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 23:10;20.75 Mbit/s;16.63 Mbit/s;1.75 ms;3.06 ms;19.45 Mbit/s;17.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/01/15 22:10;10.62 Mbit/s;7.02 Mbit/s;< 1 ms;4.6 ms;11.98 Mbit/s;6.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 21:10;19.08 Mbit/s;18.9 Mbit/s;< 1 ms;< 1 ms;15.35 Mbit/s;17.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
06/01/15 20:10;19.72 Mbit/s;17.42 Mbit/s;< 1 ms;1.02 ms;17.06 Mbit/s;16.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
