dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
24/12/14 23:36;6.21 Mbit/s;30.99 Mbit/s;< 1 ms;< 1 ms;6.77 Mbit/s;34.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/12/14 22:36;5.47 Mbit/s;30.03 Mbit/s;< 1 ms;< 1 ms;5.95 Mbit/s;32.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 21:36;5.15 Mbit/s;33.28 Mbit/s;< 1 ms;< 1 ms;5.67 Mbit/s;35.8 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/12/14 20:36;5.32 Mbit/s;32.55 Mbit/s;< 1 ms;< 1 ms;4.03 Mbit/s;33.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/12/14 19:36;10.5 Mbit/s;30.81 Mbit/s;< 1 ms;< 1 ms;6.85 Mbit/s;33.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/12/14 18:36;4.52 Mbit/s;29.56 Mbit/s;< 1 ms;< 1 ms;4.94 Mbit/s;31.42 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 17:36;5.28 Mbit/s;35.47 Mbit/s;< 1 ms;< 1 ms;5.77 Mbit/s;37.81 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/12/14 16:36;4.84 Mbit/s;29.57 Mbit/s;< 1 ms;< 1 ms;3.7 Mbit/s;30.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/12/14 15:36;9.05 Mbit/s;34.67 Mbit/s;< 1 ms;< 1 ms;7.72 Mbit/s;37.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/12/14 14:36;9.41 Mbit/s;35.29 Mbit/s;< 1 ms;< 1 ms;9.76 Mbit/s;31.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 13:36;3.81 Mbit/s;23.56 Mbit/s;< 1 ms;< 1 ms;2.82 Mbit/s;25.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/12/14 12:36;4.52 Mbit/s;25.55 Mbit/s;< 1 ms;1.21 ms;4.76 Mbit/s;27.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/12/14 11:36;5.53 Mbit/s;26.29 Mbit/s;3.42 ms;< 1 ms;5.6 Mbit/s;28.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/12/14 10:36;3.9 Mbit/s;24.98 Mbit/s;< 1 ms;< 1 ms;4.27 Mbit/s;26.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/12/14 09:36;4.23 Mbit/s;15.53 Mbit/s;< 1 ms;3.0 ms;3.85 Mbit/s;16.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/12/14 08:36;7.05 Mbit/s;24.7 Mbit/s;< 1 ms;8.49 ms;5.9 Mbit/s;25.72 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/12/14 07:36;6.62 Mbit/s;29.92 Mbit/s;< 1 ms;< 1 ms;4.55 Mbit/s;31.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/12/14 06:36;4.75 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;2.39 Mbit/s;27.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
