dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 07:36;9.34 Mbit/s;38.43 Mbit/s;< 1 ms;< 1 ms;8.84 Mbit/s;40.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:36;5.75 Mbit/s;32.36 Mbit/s;< 1 ms;< 1 ms;6.3 Mbit/s;34.57 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 05:36;6.07 Mbit/s;28.77 Mbit/s;< 1 ms;1.33 ms;5.62 Mbit/s;30.77 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 04:36;5.67 Mbit/s;26.61 Mbit/s;< 1 ms;3.31 ms;6.21 Mbit/s;28.54 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 03:36;14.01 Mbit/s;36.15 Mbit/s;< 1 ms;< 1 ms;3.87 Mbit/s;39.17 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 02:36;12.8 Mbit/s;41.26 Mbit/s;< 1 ms;1.06 ms;12.85 Mbit/s;43.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/12/14 01:36;4.73 Mbit/s;27.08 Mbit/s;< 1 ms;< 1 ms;5.21 Mbit/s;29.04 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 00:36;6.84 Mbit/s;28.86 Mbit/s;< 1 ms;< 1 ms;7.22 Mbit/s;31.18 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 23:36;7.6 Mbit/s;27.75 Mbit/s;< 1 ms;< 1 ms;7.25 Mbit/s;28.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 22:36;4.1 Mbit/s;25.22 Mbit/s;< 1 ms;< 1 ms;3.85 Mbit/s;27.67 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 21:36;8.61 Mbit/s;28.99 Mbit/s;< 1 ms;< 1 ms;6.76 Mbit/s;31.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 20:36;3.49 Mbit/s;21.33 Mbit/s;< 1 ms;1.21 ms;2.03 Mbit/s;22.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 19:36;4.55 Mbit/s;22.81 Mbit/s;< 1 ms;< 1 ms;4.92 Mbit/s;24.3 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 18:36;3.56 Mbit/s;22.3 Mbit/s;< 1 ms;< 1 ms;3.85 Mbit/s;23.87 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 17:36;3.75 Mbit/s;14.83 Mbit/s;< 1 ms;< 1 ms;3.3 Mbit/s;15.92 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 16:36;11.91 Mbit/s;33.2 Mbit/s;< 1 ms;< 1 ms;12.96 Mbit/s;34.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 15:36;1.29 Mbit/s;4.22 Mbit/s;2.23 ms;6.27 ms;1.42 Mbit/s;3.53 Mbit/s;1.36 %;1.36 %;PTT Metro de Belo Horizonte;;;;;
22/12/14 14:38;7.36 Mbit/s;18.78 Mbit/s;3.62 ms;8.55 ms;8.08 Mbit/s;19.66 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 13:36;3.34 Mbit/s;6.07 Mbit/s;1.62 ms;3.8 ms;1.74 Mbit/s;6.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 12:36;9.75 Mbit/s;16.23 Mbit/s;2.54 ms;7.56 ms;5.1 Mbit/s;17.03 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 11:36;6.82 Mbit/s;14.88 Mbit/s;< 1 ms;< 1 ms;7.11 Mbit/s;6.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 10:36;6.22 Mbit/s;29.53 Mbit/s;8.62 ms;1.65 ms;6.27 Mbit/s;31.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 09:36;6.34 Mbit/s;27.77 Mbit/s;< 1 ms;< 1 ms;6.44 Mbit/s;26.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 08:36;5.88 Mbit/s;26.14 Mbit/s;3.81 ms;7.18 ms;6.08 Mbit/s;27.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
;;;;;;;;;;23/12/14 07:50;3.56 ms;null;false;
;;;;;;;;;;23/12/14 06:50;2.96 ms;null;false;
;;;;;;;;;;23/12/14 05:50;3.13 ms;null;false;
;;;;;;;;;;23/12/14 04:50;3.48 ms;null;false;
;;;;;;;;;;23/12/14 03:50;3.25 ms;null;false;
;;;;;;;;;;23/12/14 02:50;3.42 ms;null;false;
;;;;;;;;;;23/12/14 01:50;3.44 ms;null;false;
;;;;;;;;;;23/12/14 00:50;3.46 ms;null;false;
;;;;;;;;;;22/12/14 23:50;5.57 ms;null;false;
;;;;;;;;;;22/12/14 22:50;3.85 ms;null;false;
