dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 12:39;32.07 Mbit/s;37.25 Mbit/s;< 1 ms;2.82 ms;32.88 Mbit/s;35.74 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 09:39;34.25 Mbit/s;35.42 Mbit/s;< 1 ms;< 1 ms;35.15 Mbit/s;36.12 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:39;38.03 Mbit/s;37.69 Mbit/s;< 1 ms;< 1 ms;36.6 Mbit/s;36.76 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 03:39;27.5 Mbit/s;35.91 Mbit/s;< 1 ms;1.14 ms;29.91 Mbit/s;36.14 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:39;35.13 Mbit/s;37.63 Mbit/s;< 1 ms;< 1 ms;35.48 Mbit/s;36.56 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 21:39;36.64 Mbit/s;35.5 Mbit/s;< 1 ms;< 1 ms;35.54 Mbit/s;36.15 Mbit/s;0.0 %;5.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:39;37.62 Mbit/s;36.49 Mbit/s;< 1 ms;< 1 ms;36.53 Mbit/s;36.96 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 15:39;37.68 Mbit/s;37.77 Mbit/s;< 1 ms;< 1 ms;35.93 Mbit/s;37.19 Mbit/s;0.0 %;5.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:39;37.39 Mbit/s;36.15 Mbit/s;< 1 ms;< 1 ms;36.7 Mbit/s;36.72 Mbit/s;0.0 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 09:39;35.81 Mbit/s;37.57 Mbit/s;< 1 ms;< 1 ms;36.37 Mbit/s;36.03 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 06:39;37.11 Mbit/s;37.68 Mbit/s;< 1 ms;< 1 ms;36.78 Mbit/s;37.17 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:40;37.16 Mbit/s;37.84 Mbit/s;< 1 ms;< 1 ms;36.88 Mbit/s;37.17 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 00:39;34.55 Mbit/s;37.64 Mbit/s;< 1 ms;< 1 ms;34.04 Mbit/s;36.55 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 21:39;35.32 Mbit/s;36.83 Mbit/s;< 1 ms;< 1 ms;35.81 Mbit/s;36.24 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 18:39;35.43 Mbit/s;32.86 Mbit/s;4.57 ms;1.51 ms;34.32 Mbit/s;34.23 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 15:39;37.92 Mbit/s;37.04 Mbit/s;< 1 ms;< 1 ms;36.81 Mbit/s;37.0 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 12:40;37.63 Mbit/s;37.72 Mbit/s;< 1 ms;< 1 ms;36.93 Mbit/s;36.57 Mbit/s;0.0 %;4.12 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
