dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:08;58.48 Mbit/s;46.24 Mbit/s;< 1 ms;< 1 ms;61.76 Mbit/s;49.22 Mbit/s;0.0 %;3.24 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:08;66.32 Mbit/s;47.17 Mbit/s;< 1 ms;< 1 ms;65.99 Mbit/s;50.12 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:08;67.13 Mbit/s;42.12 Mbit/s;< 1 ms;< 1 ms;66.29 Mbit/s;44.78 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:08;66.32 Mbit/s;46.19 Mbit/s;< 1 ms;< 1 ms;65.54 Mbit/s;48.93 Mbit/s;0.0 %;2.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:08;66.82 Mbit/s;49.24 Mbit/s;1.86 ms;< 1 ms;65.99 Mbit/s;52.38 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:08;67.41 Mbit/s;45.48 Mbit/s;< 1 ms;< 1 ms;66.28 Mbit/s;48.52 Mbit/s;0.0 %;2.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 08:08;65.77 Mbit/s;47.08 Mbit/s;< 1 ms;4.33 ms;65.16 Mbit/s;50.17 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:08;66.1 Mbit/s;47.23 Mbit/s;< 1 ms;< 1 ms;64.58 Mbit/s;50.21 Mbit/s;0.0 %;2.06 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:08;66.77 Mbit/s;46.45 Mbit/s;< 1 ms;< 1 ms;64.92 Mbit/s;49.72 Mbit/s;0.0 %;2.59 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:08;66.1 Mbit/s;47.2 Mbit/s;< 1 ms;< 1 ms;65.24 Mbit/s;49.95 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:08;66.58 Mbit/s;47.35 Mbit/s;< 1 ms;< 1 ms;66.3 Mbit/s;50.25 Mbit/s;0.0 %;2.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:08;66.06 Mbit/s;46.39 Mbit/s;< 1 ms;< 1 ms;65.97 Mbit/s;49.31 Mbit/s;0.0 %;2.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:08;67.13 Mbit/s;44.87 Mbit/s;< 1 ms;< 1 ms;65.94 Mbit/s;47.72 Mbit/s;0.0 %;2.62 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
