dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:18;37.82 Mbit/s;50.27 Mbit/s;< 1 ms;< 1 ms;41.62 Mbit/s;51.9 Mbit/s;0.0 %;6.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:18;35.16 Mbit/s;34.77 Mbit/s;5.46 ms;< 1 ms;37.76 Mbit/s;37.37 Mbit/s;0.0 %;6.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:18;34.7 Mbit/s;48.88 Mbit/s;1.84 ms;1.88 ms;35.04 Mbit/s;48.44 Mbit/s;0.69 %;202.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:18;35.33 Mbit/s;46.53 Mbit/s;< 1 ms;3.63 ms;37.26 Mbit/s;49.45 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 10:18;34.83 Mbit/s;48.71 Mbit/s;5.61 ms;1.11 ms;38.12 Mbit/s;50.79 Mbit/s;0.0 %;6.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:18;-;22.76 Mbit/s;1.5 ms;10.75 ms;-;-;0.67 %;4.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:18;39.0 Mbit/s;42.2 Mbit/s;< 1 ms;< 1 ms;40.77 Mbit/s;45.07 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:18;34.49 Mbit/s;47.23 Mbit/s;4.87 ms;< 1 ms;37.92 Mbit/s;49.7 Mbit/s;0.0 %;6.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:18;45.39 Mbit/s;51.16 Mbit/s;< 1 ms;< 1 ms;50.07 Mbit/s;52.91 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:18;44.37 Mbit/s;53.15 Mbit/s;< 1 ms;< 1 ms;48.51 Mbit/s;55.28 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:18;42.75 Mbit/s;49.45 Mbit/s;< 1 ms;< 1 ms;47.18 Mbit/s;49.98 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:18;45.1 Mbit/s;57.57 Mbit/s;< 1 ms;< 1 ms;49.35 Mbit/s;60.54 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:18;44.25 Mbit/s;52.33 Mbit/s;< 1 ms;< 1 ms;48.87 Mbit/s;54.18 Mbit/s;0.0 %;4.19 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:18;38.95 Mbit/s;49.44 Mbit/s;< 1 ms;< 1 ms;42.72 Mbit/s;46.42 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:18;46.21 Mbit/s;55.97 Mbit/s;< 1 ms;< 1 ms;50.81 Mbit/s;56.39 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:18;43.53 Mbit/s;60.0 Mbit/s;< 1 ms;< 1 ms;47.6 Mbit/s;63.66 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:18;41.95 Mbit/s;49.96 Mbit/s;< 1 ms;< 1 ms;45.79 Mbit/s;52.4 Mbit/s;0.0 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:18;29.68 Mbit/s;51.55 Mbit/s;< 1 ms;< 1 ms;32.17 Mbit/s;54.22 Mbit/s;0.0 %;11.6 ms;PTT Metro de Campinas;;;;;
02/11/15 20:18;30.53 Mbit/s;49.61 Mbit/s;< 1 ms;< 1 ms;33.58 Mbit/s;51.18 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 19:18;-;-;-;-;-;-;0.0 %;4.21 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 18:18;38.54 Mbit/s;51.16 Mbit/s;< 1 ms;< 1 ms;41.6 Mbit/s;51.57 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 17:18;18.63 Mbit/s;43.5 Mbit/s;3.91 ms;< 1 ms;20.27 Mbit/s;46.23 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:18;35.19 Mbit/s;47.99 Mbit/s;< 1 ms;< 1 ms;-;-;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:18;37.79 Mbit/s;42.77 Mbit/s;< 1 ms;< 1 ms;39.4 Mbit/s;45.68 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:18;42.77 Mbit/s;57.63 Mbit/s;< 1 ms;6.3 ms;46.85 Mbit/s;58.64 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 13:18;36.53 Mbit/s;41.9 Mbit/s;< 1 ms;< 1 ms;40.17 Mbit/s;44.48 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 12:18;43.09 Mbit/s;58.75 Mbit/s;< 1 ms;< 1 ms;47.34 Mbit/s;62.16 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 11:18;37.99 Mbit/s;49.5 Mbit/s;< 1 ms;< 1 ms;40.69 Mbit/s;52.7 Mbit/s;0.0 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 10:18;41.81 Mbit/s;54.55 Mbit/s;< 1 ms;< 1 ms;46.07 Mbit/s;56.54 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 09:18;44.52 Mbit/s;56.01 Mbit/s;< 1 ms;< 1 ms;48.9 Mbit/s;59.53 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 08:18;44.45 Mbit/s;58.96 Mbit/s;< 1 ms;< 1 ms;48.66 Mbit/s;61.05 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:18;45.18 Mbit/s;55.67 Mbit/s;< 1 ms;< 1 ms;48.84 Mbit/s;12.64 Mbit/s;0.0 %;6.52 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 06:18;46.25 Mbit/s;57.18 Mbit/s;< 1 ms;< 1 ms;50.66 Mbit/s;60.96 Mbit/s;0.0 %;4.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:18;44.79 Mbit/s;57.55 Mbit/s;< 1 ms;< 1 ms;49.3 Mbit/s;60.25 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:18;42.89 Mbit/s;60.52 Mbit/s;< 1 ms;< 1 ms;47.01 Mbit/s;56.15 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 03:18;41.24 Mbit/s;59.49 Mbit/s;< 1 ms;< 1 ms;45.23 Mbit/s;56.86 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:18;47.55 Mbit/s;56.76 Mbit/s;< 1 ms;< 1 ms;52.48 Mbit/s;60.1 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 01:18;45.41 Mbit/s;57.89 Mbit/s;< 1 ms;< 1 ms;47.13 Mbit/s;61.57 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 00:18;39.13 Mbit/s;46.48 Mbit/s;< 1 ms;< 1 ms;43.08 Mbit/s;49.19 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 23:18;18.0 Mbit/s;51.13 Mbit/s;< 1 ms;4.98 ms;19.97 Mbit/s;50.43 Mbit/s;0.68 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 22:19;36.13 Mbit/s;52.76 Mbit/s;< 1 ms;< 1 ms;38.96 Mbit/s;53.68 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:18;43.61 Mbit/s;49.71 Mbit/s;< 1 ms;< 1 ms;47.87 Mbit/s;52.33 Mbit/s;0.0 %;5.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:18;46.63 Mbit/s;53.68 Mbit/s;< 1 ms;< 1 ms;51.13 Mbit/s;55.82 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 19:18;46.73 Mbit/s;59.11 Mbit/s;< 1 ms;< 1 ms;50.03 Mbit/s;58.94 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
