dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
25/10/15 15:31;34.93 Mbit/s;24.34 Mbit/s;5.66 ms;1.07 ms;29.19 Mbit/s;24.77 Mbit/s;0.0 %;6.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/10/15 14:31;34.44 Mbit/s;18.7 Mbit/s;5.61 ms;< 1 ms;32.48 Mbit/s;19.98 Mbit/s;0.0 %;7.03 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/10/15 13:31;34.49 Mbit/s;24.82 Mbit/s;< 1 ms;2.33 ms;35.22 Mbit/s;25.17 Mbit/s;0.67 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/10/15 12:31;37.75 Mbit/s;22.89 Mbit/s;< 1 ms;< 1 ms;38.62 Mbit/s;23.9 Mbit/s;0.0 %;3.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/10/15 11:31;36.01 Mbit/s;25.91 Mbit/s;< 1 ms;8.56 ms;39.26 Mbit/s;26.82 Mbit/s;0.0 %;3.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/10/15 10:31;38.19 Mbit/s;25.41 Mbit/s;< 1 ms;< 1 ms;39.89 Mbit/s;25.86 Mbit/s;1.35 %;4.01 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/10/15 09:31;37.99 Mbit/s;19.35 Mbit/s;< 1 ms;< 1 ms;41.4 Mbit/s;19.36 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/10/15 08:31;37.1 Mbit/s;19.15 Mbit/s;< 1 ms;< 1 ms;36.55 Mbit/s;20.47 Mbit/s;0.0 %;3.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 07:31;33.77 Mbit/s;21.73 Mbit/s;< 1 ms;< 1 ms;36.21 Mbit/s;23.18 Mbit/s;0.0 %;3.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/10/15 06:31;34.08 Mbit/s;20.68 Mbit/s;< 1 ms;< 1 ms;36.27 Mbit/s;20.54 Mbit/s;0.0 %;3.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/10/15 05:31;38.27 Mbit/s;20.44 Mbit/s;< 1 ms;< 1 ms;40.85 Mbit/s;21.82 Mbit/s;0.0 %;3.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/10/15 04:31;31.31 Mbit/s;23.72 Mbit/s;< 1 ms;< 1 ms;32.67 Mbit/s;21.91 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/10/15 03:31;32.54 Mbit/s;22.64 Mbit/s;< 1 ms;< 1 ms;35.47 Mbit/s;21.04 Mbit/s;0.0 %;3.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/10/15 02:31;35.94 Mbit/s;23.89 Mbit/s;< 1 ms;< 1 ms;39.38 Mbit/s;25.38 Mbit/s;2.04 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/10/15 01:31;36.45 Mbit/s;20.03 Mbit/s;< 1 ms;1.07 ms;40.17 Mbit/s;21.47 Mbit/s;0.0 %;3.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/10/15 00:31;33.25 Mbit/s;20.69 Mbit/s;< 1 ms;< 1 ms;36.36 Mbit/s;22.26 Mbit/s;0.0 %;3.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 23:31;36.12 Mbit/s;23.39 Mbit/s;< 1 ms;< 1 ms;39.44 Mbit/s;24.71 Mbit/s;0.0 %;3.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 22:31;34.63 Mbit/s;22.69 Mbit/s;< 1 ms;< 1 ms;36.91 Mbit/s;23.66 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/10/15 21:31;38.28 Mbit/s;21.62 Mbit/s;< 1 ms;< 1 ms;40.98 Mbit/s;23.13 Mbit/s;0.67 %;3.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/10/15 20:31;38.74 Mbit/s;25.84 Mbit/s;< 1 ms;< 1 ms;41.77 Mbit/s;25.37 Mbit/s;0.0 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 19:31;36.4 Mbit/s;24.53 Mbit/s;< 1 ms;< 1 ms;38.05 Mbit/s;25.06 Mbit/s;2.04 %;4.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/10/15 18:31;38.4 Mbit/s;25.28 Mbit/s;1.5 ms;< 1 ms;38.7 Mbit/s;25.95 Mbit/s;0.0 %;3.39 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 09:31;29.38 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;31.55 Mbit/s;21.61 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
