dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
02/11/15 06:53;45.06 Mbit/s;21.73 Mbit/s;< 1 ms;< 1 ms;49.27 Mbit/s;21.08 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:53;43.0 Mbit/s;23.81 Mbit/s;< 1 ms;< 1 ms;46.68 Mbit/s;24.2 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:53;39.88 Mbit/s;21.56 Mbit/s;< 1 ms;< 1 ms;43.76 Mbit/s;21.8 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:53;39.68 Mbit/s;19.64 Mbit/s;< 1 ms;< 1 ms;43.42 Mbit/s;19.31 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:53;40.55 Mbit/s;21.75 Mbit/s;< 1 ms;< 1 ms;43.61 Mbit/s;20.42 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 01:53;38.21 Mbit/s;20.49 Mbit/s;< 1 ms;< 1 ms;41.5 Mbit/s;20.37 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 00:53;40.89 Mbit/s;21.77 Mbit/s;< 1 ms;< 1 ms;44.95 Mbit/s;22.55 Mbit/s;0.0 %;4.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 23:53;35.91 Mbit/s;17.71 Mbit/s;< 1 ms;< 1 ms;39.28 Mbit/s;17.96 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 22:53;37.62 Mbit/s;19.54 Mbit/s;< 1 ms;< 1 ms;41.4 Mbit/s;18.46 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 20:53;30.38 Mbit/s;14.27 Mbit/s;5.32 ms;18.01 ms;33.22 Mbit/s;15.14 Mbit/s;0.0 %;7.22 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 19:53;30.35 Mbit/s;18.59 Mbit/s;8.1 ms;< 1 ms;32.5 Mbit/s;17.99 Mbit/s;0.0 %;6.95 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
