dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:54;25.45 Mbit/s;25.38 Mbit/s;< 1 ms;< 1 ms;25.06 Mbit/s;25.38 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:54;21.47 Mbit/s;25.43 Mbit/s;< 1 ms;1.42 ms;22.69 Mbit/s;23.38 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:54;24.96 Mbit/s;23.29 Mbit/s;< 1 ms;< 1 ms;23.03 Mbit/s;24.4 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:54;25.44 Mbit/s;24.78 Mbit/s;< 1 ms;< 1 ms;24.91 Mbit/s;25.22 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:54;25.29 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;25.03 Mbit/s;25.06 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:54;25.08 Mbit/s;24.0 Mbit/s;< 1 ms;< 1 ms;24.86 Mbit/s;24.8 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:54;25.84 Mbit/s;24.67 Mbit/s;< 1 ms;1.87 ms;25.19 Mbit/s;25.15 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:54;25.96 Mbit/s;24.46 Mbit/s;< 1 ms;< 1 ms;24.98 Mbit/s;25.08 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 05:54;25.27 Mbit/s;25.5 Mbit/s;< 1 ms;< 1 ms;25.07 Mbit/s;25.39 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:54;26.06 Mbit/s;25.41 Mbit/s;< 1 ms;< 1 ms;25.31 Mbit/s;25.34 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
