dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:56;5.01 Mbit/s;12.81 Mbit/s;< 1 ms;< 1 ms;3.2 Mbit/s;13.65 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:56;13.01 Mbit/s;29.41 Mbit/s;< 1 ms;< 1 ms;14.32 Mbit/s;31.8 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:56;13.46 Mbit/s;24.48 Mbit/s;< 1 ms;2.95 ms;8.98 Mbit/s;25.96 Mbit/s;0.0 %;7.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:56;10.18 Mbit/s;10.75 Mbit/s;< 1 ms;< 1 ms;5.61 Mbit/s;11.46 Mbit/s;0.0 %;3.23 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 09:56;16.96 Mbit/s;36.58 Mbit/s;4.96 ms;4.34 ms;18.61 Mbit/s;38.72 Mbit/s;0.0 %;4.04 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:56;45.08 Mbit/s;41.29 Mbit/s;< 1 ms;< 1 ms;45.43 Mbit/s;43.51 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:56;2.35 Mbit/s;19.23 Mbit/s;< 1 ms;< 1 ms;2.58 Mbit/s;20.54 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:56;28.17 Mbit/s;35.43 Mbit/s;2.52 ms;< 1 ms;16.58 Mbit/s;37.77 Mbit/s;0.0 %;5.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:56;44.04 Mbit/s;42.97 Mbit/s;< 1 ms;< 1 ms;35.03 Mbit/s;45.64 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:56;50.99 Mbit/s;45.95 Mbit/s;< 1 ms;< 1 ms;49.8 Mbit/s;48.04 Mbit/s;0.0 %;3.05 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:57;50.89 Mbit/s;43.67 Mbit/s;< 1 ms;< 1 ms;49.8 Mbit/s;46.57 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:56;50.66 Mbit/s;46.45 Mbit/s;< 1 ms;< 1 ms;49.74 Mbit/s;47.8 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:56;50.79 Mbit/s;45.74 Mbit/s;< 1 ms;< 1 ms;49.79 Mbit/s;47.61 Mbit/s;0.0 %;3.04 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 00:56;47.93 Mbit/s;32.9 Mbit/s;< 1 ms;< 1 ms;48.67 Mbit/s;35.04 Mbit/s;0.0 %;3.06 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 23:56;27.0 Mbit/s;35.1 Mbit/s;< 1 ms;< 1 ms;29.29 Mbit/s;37.74 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:56;48.03 Mbit/s;47.24 Mbit/s;< 1 ms;< 1 ms;45.97 Mbit/s;47.61 Mbit/s;0.0 %;2.39 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:56;-;-;-;< 1 ms;-;-;0.0 %;3.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 20:56;-;14.17 Mbit/s;< 1 ms;< 1 ms;-;-;0.0 %;3.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 19:56;6.69 Mbit/s;13.46 Mbit/s;< 1 ms;9.72 ms;7.35 Mbit/s;14.49 Mbit/s;0.0 %;3.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 18:56;3.92 Mbit/s;33.73 Mbit/s;< 1 ms;< 1 ms;2.14 Mbit/s;32.22 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 17:56;7.12 Mbit/s;28.9 Mbit/s;< 1 ms;< 1 ms;6.59 Mbit/s;23.58 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:56;-;16.51 Mbit/s;2.16 ms;5.25 ms;-;-;0.0 %;16.15 ms;PTT Metro de Goiania;;;;;
02/11/15 15:56;1.74 Mbit/s;25.63 Mbit/s;< 1 ms;1.21 ms;1.91 Mbit/s;26.78 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:56;34.29 Mbit/s;37.67 Mbit/s;< 1 ms;< 1 ms;28.89 Mbit/s;39.29 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 13:56;4.14 Mbit/s;16.64 Mbit/s;< 1 ms;1.13 ms;3.24 Mbit/s;17.76 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 12:56;14.59 Mbit/s;39.54 Mbit/s;2.66 ms;1.87 ms;7.43 Mbit/s;42.02 Mbit/s;0.0 %;6.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 11:56;9.68 Mbit/s;21.7 Mbit/s;< 1 ms;< 1 ms;10.1 Mbit/s;23.26 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 10:56;8.28 Mbit/s;34.05 Mbit/s;< 1 ms;< 1 ms;9.11 Mbit/s;36.32 Mbit/s;0.0 %;3.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 09:56;46.05 Mbit/s;47.1 Mbit/s;< 1 ms;< 1 ms;36.98 Mbit/s;48.43 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 08:56;39.82 Mbit/s;45.01 Mbit/s;< 1 ms;< 1 ms;43.63 Mbit/s;47.33 Mbit/s;0.0 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 07:56;43.77 Mbit/s;38.31 Mbit/s;< 1 ms;< 1 ms;45.08 Mbit/s;40.43 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 06:56;2.78 Mbit/s;28.62 Mbit/s;< 1 ms;< 1 ms;3.04 Mbit/s;30.47 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 05:56;38.46 Mbit/s;31.37 Mbit/s;< 1 ms;< 1 ms;384.0 kbit/s;25.16 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 04:56;33.2 Mbit/s;26.84 Mbit/s;< 1 ms;< 1 ms;31.24 Mbit/s;28.8 Mbit/s;0.0 %;2.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 03:56;37.33 Mbit/s;12.73 Mbit/s;< 1 ms;< 1 ms;20.76 Mbit/s;13.62 Mbit/s;0.0 %;2.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 02:56;33.49 Mbit/s;18.9 Mbit/s;< 1 ms;< 1 ms;8.48 Mbit/s;20.09 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
