dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:48;16.72 Mbit/s;17.06 Mbit/s;< 1 ms;1.58 ms;18.14 Mbit/s;17.98 Mbit/s;0.0 %;9.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:48;22.79 Mbit/s;18.07 Mbit/s;2.23 ms;1.89 ms;20.48 Mbit/s;19.28 Mbit/s;0.0 %;13.27 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:48;20.93 Mbit/s;19.11 Mbit/s;1.1 ms;2.31 ms;22.26 Mbit/s;20.18 Mbit/s;0.0 %;10.52 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:48;20.93 Mbit/s;20.04 Mbit/s;1.85 ms;1.06 ms;22.14 Mbit/s;21.17 Mbit/s;0.0 %;10.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:48;19.04 Mbit/s;19.35 Mbit/s;< 1 ms;1.23 ms;20.57 Mbit/s;20.55 Mbit/s;0.0 %;11.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:48;21.16 Mbit/s;16.95 Mbit/s;< 1 ms;1.99 ms;22.63 Mbit/s;18.13 Mbit/s;0.0 %;10.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:48;18.49 Mbit/s;17.41 Mbit/s;1.27 ms;1.72 ms;20.22 Mbit/s;18.67 Mbit/s;0.0 %;10.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:48;19.28 Mbit/s;18.55 Mbit/s;1.32 ms;1.45 ms;21.16 Mbit/s;17.73 Mbit/s;0.0 %;13.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:48;22.32 Mbit/s;18.72 Mbit/s;< 1 ms;1.1 ms;23.33 Mbit/s;20.06 Mbit/s;0.0 %;8.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:48;17.6 Mbit/s;18.81 Mbit/s;< 1 ms;1.72 ms;19.17 Mbit/s;20.25 Mbit/s;0.0 %;8.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:48;19.72 Mbit/s;15.97 Mbit/s;< 1 ms;< 1 ms;21.55 Mbit/s;17.13 Mbit/s;0.0 %;8.85 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:48;13.56 Mbit/s;20.58 Mbit/s;< 1 ms;1.1 ms;14.89 Mbit/s;22.04 Mbit/s;0.0 %;9.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:48;19.65 Mbit/s;19.8 Mbit/s;< 1 ms;< 1 ms;21.5 Mbit/s;21.26 Mbit/s;0.0 %;9.52 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:48;20.12 Mbit/s;19.7 Mbit/s;1.08 ms;1.13 ms;21.89 Mbit/s;20.91 Mbit/s;0.0 %;9.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:48;21.63 Mbit/s;19.52 Mbit/s;1.84 ms;1.28 ms;22.97 Mbit/s;20.91 Mbit/s;0.0 %;9.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:48;20.04 Mbit/s;19.54 Mbit/s;1.04 ms;< 1 ms;21.7 Mbit/s;21.02 Mbit/s;0.0 %;8.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
