dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:39;23.57 Mbit/s;24.42 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.79 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:39;26.01 Mbit/s;25.71 Mbit/s;< 1 ms;< 1 ms;25.06 Mbit/s;25.45 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 11:39;22.5 Mbit/s;23.37 Mbit/s;< 1 ms;< 1 ms;21.75 Mbit/s;24.24 Mbit/s;0.0 %;6.47 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:39;25.1 Mbit/s;25.74 Mbit/s;< 1 ms;< 1 ms;25.05 Mbit/s;25.42 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:39;25.99 Mbit/s;25.55 Mbit/s;1.03 ms;< 1 ms;25.3 Mbit/s;25.11 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:39;26.02 Mbit/s;25.69 Mbit/s;< 1 ms;< 1 ms;25.19 Mbit/s;25.43 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:39;25.1 Mbit/s;25.75 Mbit/s;< 1 ms;< 1 ms;25.14 Mbit/s;25.44 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:39;25.19 Mbit/s;25.74 Mbit/s;< 1 ms;< 1 ms;24.93 Mbit/s;25.43 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:39;26.03 Mbit/s;25.61 Mbit/s;< 1 ms;< 1 ms;25.33 Mbit/s;25.42 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 04:39;26.01 Mbit/s;25.7 Mbit/s;< 1 ms;< 1 ms;25.16 Mbit/s;25.44 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:39;26.03 Mbit/s;25.78 Mbit/s;< 1 ms;< 1 ms;25.26 Mbit/s;25.44 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:39;25.99 Mbit/s;25.77 Mbit/s;< 1 ms;< 1 ms;25.34 Mbit/s;25.44 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:39;25.98 Mbit/s;25.76 Mbit/s;< 1 ms;< 1 ms;25.35 Mbit/s;25.45 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
