dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:20;58.15 Mbit/s;46.3 Mbit/s;< 1 ms;1.72 ms;63.91 Mbit/s;48.18 Mbit/s;0.0 %;6.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:20;60.01 Mbit/s;44.51 Mbit/s;< 1 ms;1.69 ms;65.67 Mbit/s;47.18 Mbit/s;0.0 %;5.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:20;62.83 Mbit/s;45.13 Mbit/s;< 1 ms;1.22 ms;68.71 Mbit/s;47.46 Mbit/s;0.0 %;6.06 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:20;57.47 Mbit/s;47.78 Mbit/s;< 1 ms;1.36 ms;62.74 Mbit/s;50.54 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:20;60.56 Mbit/s;44.06 Mbit/s;< 1 ms;1.53 ms;65.56 Mbit/s;45.56 Mbit/s;0.0 %;5.9 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 08:20;58.33 Mbit/s;45.0 Mbit/s;< 1 ms;1.47 ms;63.22 Mbit/s;46.07 Mbit/s;0.0 %;5.19 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:20;61.86 Mbit/s;44.81 Mbit/s;< 1 ms;< 1 ms;68.1 Mbit/s;47.45 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:20;64.42 Mbit/s;46.44 Mbit/s;< 1 ms;1.25 ms;70.7 Mbit/s;49.46 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:20;63.4 Mbit/s;44.33 Mbit/s;< 1 ms;1.02 ms;69.26 Mbit/s;46.88 Mbit/s;0.0 %;3.77 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:21;63.55 Mbit/s;47.02 Mbit/s;< 1 ms;< 1 ms;69.83 Mbit/s;50.09 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:20;63.48 Mbit/s;46.45 Mbit/s;< 1 ms;1.31 ms;69.71 Mbit/s;48.65 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
