dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:57;17.99 Mbit/s;18.85 Mbit/s;< 1 ms;4.58 ms;19.81 Mbit/s;18.7 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:57;20.72 Mbit/s;18.65 Mbit/s;< 1 ms;< 1 ms;20.84 Mbit/s;19.17 Mbit/s;0.0 %;6.69 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:57;19.96 Mbit/s;17.68 Mbit/s;< 1 ms;< 1 ms;21.59 Mbit/s;18.58 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:57;17.43 Mbit/s;14.63 Mbit/s;< 1 ms;< 1 ms;16.37 Mbit/s;14.02 Mbit/s;0.0 %;3.69 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:57;16.76 Mbit/s;16.85 Mbit/s;< 1 ms;1.03 ms;17.9 Mbit/s;16.52 Mbit/s;0.67 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:57;18.72 Mbit/s;13.98 Mbit/s;< 1 ms;< 1 ms;13.22 Mbit/s;10.85 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:57;25.41 Mbit/s;18.35 Mbit/s;< 1 ms;< 1 ms;23.94 Mbit/s;19.35 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:57;18.99 Mbit/s;17.05 Mbit/s;< 1 ms;< 1 ms;20.07 Mbit/s;17.6 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:57;19.37 Mbit/s;15.99 Mbit/s;< 1 ms;< 1 ms;21.08 Mbit/s;16.98 Mbit/s;0.0 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:57;18.16 Mbit/s;17.11 Mbit/s;< 1 ms;< 1 ms;19.58 Mbit/s;17.9 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:58;19.07 Mbit/s;15.38 Mbit/s;< 1 ms;< 1 ms;18.9 Mbit/s;12.1 Mbit/s;0.0 %;3.77 ms;NIC.br nodo 2;;;;;
03/11/15 02:57;18.12 Mbit/s;16.63 Mbit/s;< 1 ms;< 1 ms;19.48 Mbit/s;17.23 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:57;17.84 Mbit/s;17.93 Mbit/s;< 1 ms;< 1 ms;19.72 Mbit/s;18.75 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:57;18.2 Mbit/s;18.08 Mbit/s;< 1 ms;< 1 ms;19.84 Mbit/s;18.99 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:57;20.64 Mbit/s;19.04 Mbit/s;< 1 ms;2.11 ms;22.27 Mbit/s;17.71 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:57;16.81 Mbit/s;18.02 Mbit/s;< 1 ms;< 1 ms;18.57 Mbit/s;18.68 Mbit/s;0.0 %;3.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:57;18.62 Mbit/s;18.13 Mbit/s;< 1 ms;< 1 ms;19.67 Mbit/s;18.89 Mbit/s;0.67 %;4.23 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 20:57;10.28 Mbit/s;9.14 Mbit/s;< 1 ms;< 1 ms;11.57 Mbit/s;9.75 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:57;20.41 Mbit/s;17.5 Mbit/s;< 1 ms;< 1 ms;22.04 Mbit/s;18.58 Mbit/s;0.0 %;3.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:57;18.37 Mbit/s;18.34 Mbit/s;< 1 ms;< 1 ms;3.13 Mbit/s;19.25 Mbit/s;0.0 %;3.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:57;24.16 Mbit/s;18.17 Mbit/s;< 1 ms;< 1 ms;22.3 Mbit/s;19.17 Mbit/s;0.0 %;3.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:57;18.95 Mbit/s;18.01 Mbit/s;6.3 ms;27.77 ms;20.02 Mbit/s;18.68 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
