dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
30/10/15 17:40;19.07 Mbit/s;19.09 Mbit/s;2.27 ms;1.51 ms;21.0 Mbit/s;19.03 Mbit/s;0.0 %;10.08 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 16:40;20.4 Mbit/s;17.03 Mbit/s;1.28 ms;6.53 ms;21.71 Mbit/s;18.05 Mbit/s;0.0 %;11.88 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 15:40;18.25 Mbit/s;18.41 Mbit/s;1.1 ms;3.89 ms;19.91 Mbit/s;19.64 Mbit/s;0.0 %;9.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 14:40;16.6 Mbit/s;7.78 Mbit/s;2.4 ms;2.76 ms;18.01 Mbit/s;8.26 Mbit/s;0.67 %;11.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 13:40;6.94 Mbit/s;8.64 Mbit/s;4.09 ms;12.84 ms;7.22 Mbit/s;6.68 Mbit/s;0.67 %;19.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 12:40;15.68 Mbit/s;13.64 Mbit/s;3.65 ms;9.2 ms;16.02 Mbit/s;14.02 Mbit/s;0.0 %;11.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 11:40;15.29 Mbit/s;13.12 Mbit/s;1.25 ms;2.66 ms;16.41 Mbit/s;13.43 Mbit/s;0.0 %;13.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/10/15 10:40;18.54 Mbit/s;11.06 Mbit/s;1.32 ms;1.67 ms;19.93 Mbit/s;11.72 Mbit/s;0.67 %;10.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 09:40;19.88 Mbit/s;16.25 Mbit/s;1.22 ms;2.51 ms;21.67 Mbit/s;16.89 Mbit/s;0.0 %;11.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/10/15 17:40;18.94 Mbit/s;17.29 Mbit/s;2.22 ms;2.07 ms;20.65 Mbit/s;18.22 Mbit/s;0.0 %;10.67 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 16:40;20.82 Mbit/s;18.32 Mbit/s;3.19 ms;5.34 ms;22.51 Mbit/s;18.5 Mbit/s;0.0 %;12.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 15:40;21.48 Mbit/s;18.41 Mbit/s;< 1 ms;1.8 ms;22.88 Mbit/s;19.27 Mbit/s;0.0 %;8.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/10/15 17:40;17.82 Mbit/s;18.21 Mbit/s;1.1 ms;2.67 ms;19.46 Mbit/s;19.43 Mbit/s;0.0 %;11.81 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/10/15 16:41;20.17 Mbit/s;15.39 Mbit/s;1.58 ms;2.57 ms;21.94 Mbit/s;15.8 Mbit/s;0.0 %;9.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/10/15 15:41;19.21 Mbit/s;16.09 Mbit/s;1.55 ms;1.41 ms;20.93 Mbit/s;16.44 Mbit/s;0.0 %;11.05 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/10/15 14:40;16.93 Mbit/s;13.89 Mbit/s;1.08 ms;5.95 ms;18.52 Mbit/s;14.17 Mbit/s;0.0 %;10.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/10/15 13:40;13.57 Mbit/s;16.07 Mbit/s;1.22 ms;2.41 ms;14.97 Mbit/s;16.0 Mbit/s;0.67 %;15.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/10/15 12:40;17.79 Mbit/s;12.6 Mbit/s;1.63 ms;3.94 ms;19.41 Mbit/s;13.07 Mbit/s;1.37 %;18.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
