dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:26;18.82 Mbit/s;12.51 Mbit/s;< 1 ms;1.31 ms;20.22 Mbit/s;11.64 Mbit/s;0.0 %;6.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:26;15.02 Mbit/s;13.37 Mbit/s;< 1 ms;< 1 ms;16.16 Mbit/s;14.25 Mbit/s;0.74 %;39.01 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 11:26;16.07 Mbit/s;13.34 Mbit/s;< 1 ms;1.04 ms;17.34 Mbit/s;14.05 Mbit/s;0.0 %;8.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:26;19.39 Mbit/s;13.77 Mbit/s;3.7 ms;1.3 ms;21.17 Mbit/s;12.72 Mbit/s;0.0 %;7.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:26;21.91 Mbit/s;13.08 Mbit/s;< 1 ms;1.01 ms;24.06 Mbit/s;13.99 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:26;22.73 Mbit/s;13.26 Mbit/s;< 1 ms;1.11 ms;25.04 Mbit/s;14.15 Mbit/s;0.0 %;6.98 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:26;24.96 Mbit/s;21.78 Mbit/s;< 1 ms;< 1 ms;26.98 Mbit/s;20.19 Mbit/s;0.0 %;6.27 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 05:26;20.55 Mbit/s;21.26 Mbit/s;< 1 ms;< 1 ms;22.63 Mbit/s;22.83 Mbit/s;0.0 %;6.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:26;21.68 Mbit/s;25.35 Mbit/s;< 1 ms;1.05 ms;23.84 Mbit/s;27.16 Mbit/s;0.0 %;6.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 02:26;20.53 Mbit/s;23.62 Mbit/s;< 1 ms;1.06 ms;22.22 Mbit/s;25.39 Mbit/s;0.0 %;7.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:26;20.85 Mbit/s;14.88 Mbit/s;< 1 ms;1.03 ms;22.91 Mbit/s;15.95 Mbit/s;0.0 %;6.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:26;17.47 Mbit/s;14.66 Mbit/s;< 1 ms;< 1 ms;19.02 Mbit/s;14.98 Mbit/s;0.0 %;6.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:26;21.22 Mbit/s;11.3 Mbit/s;< 1 ms;1.84 ms;23.1 Mbit/s;11.95 Mbit/s;0.0 %;6.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:26;20.17 Mbit/s;11.81 Mbit/s;2.19 ms;< 1 ms;21.83 Mbit/s;12.34 Mbit/s;0.0 %;7.42 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:26;17.0 Mbit/s;9.52 Mbit/s;< 1 ms;2.31 ms;18.44 Mbit/s;10.1 Mbit/s;0.0 %;6.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 20:26;20.42 Mbit/s;10.49 Mbit/s;< 1 ms;1.96 ms;22.14 Mbit/s;10.25 Mbit/s;0.0 %;6.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:26;21.2 Mbit/s;12.53 Mbit/s;6.97 ms;20.07 ms;22.67 Mbit/s;13.46 Mbit/s;0.0 %;10.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:26;4.38 Mbit/s;15.61 Mbit/s;< 1 ms;1.61 ms;4.68 Mbit/s;14.43 Mbit/s;0.0 %;9.26 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 17:26;21.61 Mbit/s;16.92 Mbit/s;2.06 ms;2.47 ms;23.36 Mbit/s;16.07 Mbit/s;0.0 %;13.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 16:26;18.31 Mbit/s;14.39 Mbit/s;5.36 ms;7.9 ms;19.92 Mbit/s;15.51 Mbit/s;0.0 %;8.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 15:26;21.84 Mbit/s;13.55 Mbit/s;1.63 ms;1.99 ms;23.75 Mbit/s;14.41 Mbit/s;0.0 %;8.05 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 14:26;17.0 Mbit/s;12.27 Mbit/s;1.69 ms;3.26 ms;18.4 Mbit/s;10.21 Mbit/s;0.0 %;8.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 13:26;21.46 Mbit/s;13.56 Mbit/s;< 1 ms;1.62 ms;22.66 Mbit/s;12.37 Mbit/s;0.67 %;7.46 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 12:26;14.9 Mbit/s;10.31 Mbit/s;1.75 ms;1.83 ms;16.13 Mbit/s;10.2 Mbit/s;0.0 %;9.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 11:26;16.15 Mbit/s;15.23 Mbit/s;< 1 ms;7.77 ms;17.75 Mbit/s;11.5 Mbit/s;0.0 %;8.69 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 10:26;19.34 Mbit/s;13.06 Mbit/s;< 1 ms;1.17 ms;21.13 Mbit/s;12.19 Mbit/s;0.0 %;8.08 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 09:26;14.91 Mbit/s;14.25 Mbit/s;1.21 ms;3.53 ms;16.23 Mbit/s;13.68 Mbit/s;0.0 %;7.13 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 08:26;23.87 Mbit/s;13.87 Mbit/s;< 1 ms;1.34 ms;26.2 Mbit/s;14.81 Mbit/s;0.0 %;7.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:26;18.34 Mbit/s;18.5 Mbit/s;< 1 ms;1.04 ms;20.13 Mbit/s;19.84 Mbit/s;0.0 %;7.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 06:26;23.03 Mbit/s;24.35 Mbit/s;< 1 ms;< 1 ms;25.44 Mbit/s;26.13 Mbit/s;0.0 %;6.35 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:26;23.79 Mbit/s;18.05 Mbit/s;< 1 ms;1.23 ms;26.2 Mbit/s;19.39 Mbit/s;0.0 %;6.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:26;22.81 Mbit/s;23.97 Mbit/s;5.12 ms;< 1 ms;25.13 Mbit/s;25.73 Mbit/s;0.0 %;7.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 03:26;21.57 Mbit/s;20.85 Mbit/s;< 1 ms;< 1 ms;23.3 Mbit/s;22.41 Mbit/s;0.0 %;5.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:26;20.86 Mbit/s;18.88 Mbit/s;1.32 ms;1.28 ms;22.93 Mbit/s;20.3 Mbit/s;0.0 %;23.23 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 01:26;20.88 Mbit/s;16.15 Mbit/s;< 1 ms;4.41 ms;22.86 Mbit/s;16.01 Mbit/s;0.0 %;7.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 00:26;23.07 Mbit/s;16.53 Mbit/s;< 1 ms;1.26 ms;25.15 Mbit/s;13.73 Mbit/s;0.0 %;7.58 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 23:26;20.55 Mbit/s;13.11 Mbit/s;< 1 ms;5.66 ms;22.36 Mbit/s;14.02 Mbit/s;0.0 %;6.85 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 22:27;19.92 Mbit/s;15.15 Mbit/s;< 1 ms;1.44 ms;21.7 Mbit/s;15.01 Mbit/s;0.0 %;7.0 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:26;19.54 Mbit/s;14.0 Mbit/s;< 1 ms;1.24 ms;20.34 Mbit/s;14.48 Mbit/s;0.0 %;10.05 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:26;18.13 Mbit/s;14.29 Mbit/s;< 1 ms;1.1 ms;19.5 Mbit/s;13.96 Mbit/s;0.0 %;9.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 19:26;18.31 Mbit/s;12.85 Mbit/s;< 1 ms;< 1 ms;19.7 Mbit/s;13.04 Mbit/s;0.0 %;8.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 18:26;24.45 Mbit/s;13.26 Mbit/s;< 1 ms;1.07 ms;26.31 Mbit/s;12.47 Mbit/s;0.0 %;6.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 17:26;23.11 Mbit/s;13.33 Mbit/s;< 1 ms;3.33 ms;24.77 Mbit/s;9.53 Mbit/s;0.0 %;6.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 16:26;22.81 Mbit/s;13.56 Mbit/s;< 1 ms;< 1 ms;24.88 Mbit/s;13.51 Mbit/s;0.0 %;6.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 15:26;23.37 Mbit/s;14.52 Mbit/s;< 1 ms;1.14 ms;25.2 Mbit/s;13.36 Mbit/s;0.0 %;6.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 11:26;9.19 Mbit/s;9.53 Mbit/s;1.12 ms;1.38 ms;9.16 Mbit/s;9.37 Mbit/s;0.0 %;9.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 10:26;8.32 Mbit/s;9.53 Mbit/s;1.11 ms;1.38 ms;8.67 Mbit/s;9.36 Mbit/s;0.0 %;6.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 08:26;9.75 Mbit/s;9.68 Mbit/s;< 1 ms;1.06 ms;9.43 Mbit/s;9.44 Mbit/s;0.0 %;6.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 07:26;9.73 Mbit/s;9.65 Mbit/s;< 1 ms;1.25 ms;9.44 Mbit/s;9.43 Mbit/s;0.0 %;6.46 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 06:26;9.19 Mbit/s;9.69 Mbit/s;< 1 ms;1.26 ms;9.29 Mbit/s;9.45 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 05:26;9.75 Mbit/s;9.68 Mbit/s;< 1 ms;1.34 ms;9.41 Mbit/s;9.45 Mbit/s;0.0 %;6.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 04:26;9.74 Mbit/s;9.7 Mbit/s;< 1 ms;1.11 ms;9.4 Mbit/s;9.45 Mbit/s;0.0 %;6.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 03:26;9.72 Mbit/s;9.67 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;9.46 Mbit/s;0.0 %;6.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 02:26;9.74 Mbit/s;9.7 Mbit/s;< 1 ms;1.42 ms;9.44 Mbit/s;9.46 Mbit/s;0.0 %;6.66 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 01:26;9.73 Mbit/s;9.69 Mbit/s;< 1 ms;1.1 ms;9.44 Mbit/s;9.46 Mbit/s;0.0 %;6.86 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 00:26;9.74 Mbit/s;9.7 Mbit/s;1.29 ms;1.29 ms;9.38 Mbit/s;9.46 Mbit/s;0.0 %;6.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 23:26;7.67 Mbit/s;9.6 Mbit/s;1.86 ms;1.16 ms;8.07 Mbit/s;9.32 Mbit/s;0.0 %;12.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 22:26;7.11 Mbit/s;8.17 Mbit/s;< 1 ms;4.04 ms;7.63 Mbit/s;8.47 Mbit/s;0.0 %;9.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 20:26;6.36 Mbit/s;9.44 Mbit/s;1.91 ms;1.63 ms;6.71 Mbit/s;9.17 Mbit/s;0.0 %;10.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
