dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:31;34.27 Mbit/s;44.11 Mbit/s;< 1 ms;< 1 ms;36.94 Mbit/s;43.93 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:31;36.8 Mbit/s;44.32 Mbit/s;< 1 ms;4.61 ms;37.64 Mbit/s;43.83 Mbit/s;0.0 %;4.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:31;35.42 Mbit/s;42.41 Mbit/s;< 1 ms;< 1 ms;38.21 Mbit/s;42.86 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:31;39.22 Mbit/s;43.95 Mbit/s;< 1 ms;< 1 ms;41.58 Mbit/s;43.74 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:31;43.56 Mbit/s;44.21 Mbit/s;< 1 ms;< 1 ms;43.36 Mbit/s;44.04 Mbit/s;0.0 %;4.14 ms;NIC.br nodo 2;;;;;
03/11/15 08:31;-;-;-;-;-;-;0.67 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:31;41.11 Mbit/s;44.26 Mbit/s;< 1 ms;< 1 ms;42.76 Mbit/s;43.57 Mbit/s;0.0 %;4.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:31;40.8 Mbit/s;43.36 Mbit/s;< 1 ms;< 1 ms;41.94 Mbit/s;43.57 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:31;41.17 Mbit/s;44.15 Mbit/s;< 1 ms;< 1 ms;41.75 Mbit/s;43.93 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:32;44.99 Mbit/s;44.16 Mbit/s;< 1 ms;< 1 ms;43.98 Mbit/s;44.06 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:31;44.79 Mbit/s;44.44 Mbit/s;< 1 ms;< 1 ms;43.66 Mbit/s;43.99 Mbit/s;0.67 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:31;-;-;-;-;-;-;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:31;44.88 Mbit/s;44.15 Mbit/s;2.24 ms;< 1 ms;43.97 Mbit/s;44.1 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 23:31;43.78 Mbit/s;44.06 Mbit/s;< 1 ms;4.13 ms;43.61 Mbit/s;43.9 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:31;43.1 Mbit/s;39.12 Mbit/s;< 1 ms;1.2 ms;43.45 Mbit/s;41.89 Mbit/s;0.0 %;4.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:31;43.98 Mbit/s;44.07 Mbit/s;< 1 ms;< 1 ms;43.76 Mbit/s;43.88 Mbit/s;0.67 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 20:31;44.5 Mbit/s;44.16 Mbit/s;< 1 ms;< 1 ms;43.83 Mbit/s;44.08 Mbit/s;0.67 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:31;44.36 Mbit/s;38.73 Mbit/s;< 1 ms;1.78 ms;43.89 Mbit/s;41.24 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:33;42.36 Mbit/s;43.78 Mbit/s;< 1 ms;< 1 ms;43.16 Mbit/s;43.82 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:31;42.99 Mbit/s;43.99 Mbit/s;< 1 ms;< 1 ms;42.42 Mbit/s;43.87 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:31;-;-;-;-;-;-;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 15:32;-;-;-;-;-;-;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 14:31;42.91 Mbit/s;44.16 Mbit/s;< 1 ms;1.14 ms;42.59 Mbit/s;43.77 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 13:31;41.68 Mbit/s;43.78 Mbit/s;< 1 ms;< 1 ms;42.5 Mbit/s;43.94 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 12:31;44.56 Mbit/s;44.09 Mbit/s;< 1 ms;< 1 ms;43.79 Mbit/s;44.02 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:31;39.18 Mbit/s;38.71 Mbit/s;< 1 ms;< 1 ms;41.43 Mbit/s;41.42 Mbit/s;1.37 %;4.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 10:31;42.96 Mbit/s;42.78 Mbit/s;< 1 ms;< 1 ms;42.96 Mbit/s;43.78 Mbit/s;0.0 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 09:31;41.46 Mbit/s;44.24 Mbit/s;< 1 ms;< 1 ms;41.95 Mbit/s;44.06 Mbit/s;0.67 %;4.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 08:31;41.38 Mbit/s;44.26 Mbit/s;< 1 ms;< 1 ms;42.74 Mbit/s;44.06 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 07:31;39.26 Mbit/s;44.27 Mbit/s;< 1 ms;< 1 ms;41.79 Mbit/s;42.96 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 06:31;43.92 Mbit/s;43.52 Mbit/s;< 1 ms;< 1 ms;43.56 Mbit/s;43.95 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 05:31;43.51 Mbit/s;44.19 Mbit/s;< 1 ms;< 1 ms;43.6 Mbit/s;43.96 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 04:31;43.55 Mbit/s;43.84 Mbit/s;< 1 ms;< 1 ms;43.19 Mbit/s;43.97 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 03:31;40.06 Mbit/s;44.21 Mbit/s;< 1 ms;< 1 ms;40.95 Mbit/s;43.83 Mbit/s;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 02:31;42.59 Mbit/s;44.15 Mbit/s;< 1 ms;1.21 ms;42.93 Mbit/s;44.07 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 01:31;44.1 Mbit/s;43.43 Mbit/s;< 1 ms;1.59 ms;43.71 Mbit/s;43.92 Mbit/s;0.0 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 00:31;43.3 Mbit/s;43.94 Mbit/s;< 1 ms;< 1 ms;42.9 Mbit/s;44.06 Mbit/s;1.36 %;4.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 23:31;43.52 Mbit/s;44.18 Mbit/s;< 1 ms;< 1 ms;43.58 Mbit/s;43.24 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 22:31;-;-;-;-;-;-;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 21:31;43.99 Mbit/s;43.84 Mbit/s;< 1 ms;< 1 ms;43.19 Mbit/s;43.95 Mbit/s;0.0 %;4.21 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 20:31;-;-;-;-;-;-;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 19:31;43.04 Mbit/s;44.15 Mbit/s;< 1 ms;< 1 ms;43.43 Mbit/s;43.97 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 18:31;44.6 Mbit/s;43.72 Mbit/s;< 1 ms;< 1 ms;43.63 Mbit/s;43.69 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 17:31;44.49 Mbit/s;40.02 Mbit/s;< 1 ms;< 1 ms;43.24 Mbit/s;42.66 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 16:31;28.1 Mbit/s;44.1 Mbit/s;< 1 ms;3.58 ms;30.7 Mbit/s;43.89 Mbit/s;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 15:31;41.17 Mbit/s;44.11 Mbit/s;< 1 ms;4.03 ms;42.35 Mbit/s;44.06 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 14:31;43.81 Mbit/s;44.17 Mbit/s;< 1 ms;< 1 ms;43.63 Mbit/s;43.94 Mbit/s;2.07 %;4.66 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 13:31;38.71 Mbit/s;44.65 Mbit/s;< 1 ms;< 1 ms;39.96 Mbit/s;43.95 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 12:31;-;-;-;-;-;-;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 11:31;32.22 Mbit/s;44.1 Mbit/s;< 1 ms;1.45 ms;35.24 Mbit/s;43.77 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 10:31;-;-;-;-;-;-;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 09:31;41.31 Mbit/s;44.11 Mbit/s;< 1 ms;< 1 ms;42.7 Mbit/s;44.05 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 08:31;44.08 Mbit/s;44.14 Mbit/s;< 1 ms;< 1 ms;43.67 Mbit/s;44.06 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 07:31;40.88 Mbit/s;44.11 Mbit/s;< 1 ms;< 1 ms;41.98 Mbit/s;44.08 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
