dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:48;60.75 Mbit/s;50.43 Mbit/s;< 1 ms;< 1 ms;58.79 Mbit/s;51.78 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:48;57.87 Mbit/s;47.16 Mbit/s;< 1 ms;< 1 ms;58.65 Mbit/s;50.08 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:48;52.84 Mbit/s;50.18 Mbit/s;< 1 ms;< 1 ms;57.5 Mbit/s;53.4 Mbit/s;0.0 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:48;62.39 Mbit/s;46.22 Mbit/s;< 1 ms;< 1 ms;62.39 Mbit/s;49.05 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:48;49.11 Mbit/s;44.07 Mbit/s;< 1 ms;< 1 ms;53.66 Mbit/s;46.37 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:48;60.97 Mbit/s;43.11 Mbit/s;< 1 ms;1.95 ms;62.17 Mbit/s;45.88 Mbit/s;0.0 %;6.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:48;43.52 Mbit/s;40.98 Mbit/s;< 1 ms;1.01 ms;47.59 Mbit/s;43.56 Mbit/s;0.0 %;13.11 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 06:48;61.95 Mbit/s;42.76 Mbit/s;< 1 ms;3.26 ms;59.93 Mbit/s;45.48 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:48;44.96 Mbit/s;42.41 Mbit/s;< 1 ms;1.59 ms;49.39 Mbit/s;45.12 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:48;55.39 Mbit/s;42.74 Mbit/s;< 1 ms;< 1 ms;58.94 Mbit/s;45.54 Mbit/s;0.0 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:48;50.9 Mbit/s;43.89 Mbit/s;< 1 ms;< 1 ms;55.69 Mbit/s;46.65 Mbit/s;0.0 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:48;60.16 Mbit/s;42.42 Mbit/s;< 1 ms;1.78 ms;61.73 Mbit/s;45.1 Mbit/s;0.0 %;4.68 ms;NIC.br nodo 2;;;;;
03/11/15 01:48;46.73 Mbit/s;45.77 Mbit/s;< 1 ms;< 1 ms;51.27 Mbit/s;48.6 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:48;62.41 Mbit/s;44.79 Mbit/s;< 1 ms;< 1 ms;62.61 Mbit/s;47.58 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:48;51.49 Mbit/s;44.7 Mbit/s;< 1 ms;< 1 ms;55.79 Mbit/s;47.81 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 22:48;58.32 Mbit/s;43.07 Mbit/s;< 1 ms;1.62 ms;58.87 Mbit/s;45.96 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:48;47.68 Mbit/s;42.5 Mbit/s;< 1 ms;1.38 ms;51.51 Mbit/s;44.92 Mbit/s;0.0 %;5.21 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:48;42.73 Mbit/s;42.55 Mbit/s;< 1 ms;1.75 ms;45.5 Mbit/s;45.28 Mbit/s;0.0 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:48;45.69 Mbit/s;45.92 Mbit/s;< 1 ms;< 1 ms;49.41 Mbit/s;49.01 Mbit/s;0.0 %;4.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:48;58.12 Mbit/s;53.34 Mbit/s;< 1 ms;< 1 ms;60.88 Mbit/s;56.97 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:48;50.14 Mbit/s;50.22 Mbit/s;< 1 ms;1.19 ms;55.1 Mbit/s;46.85 Mbit/s;0.0 %;5.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 16:48;56.43 Mbit/s;47.98 Mbit/s;1.52 ms;< 1 ms;59.43 Mbit/s;50.73 Mbit/s;0.0 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:48;52.31 Mbit/s;50.14 Mbit/s;< 1 ms;2.28 ms;57.15 Mbit/s;47.53 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 14:48;57.55 Mbit/s;49.38 Mbit/s;< 1 ms;< 1 ms;60.07 Mbit/s;52.14 Mbit/s;0.0 %;4.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 13:48;59.02 Mbit/s;45.66 Mbit/s;1.31 ms;1.43 ms;60.99 Mbit/s;48.71 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 12:48;41.05 Mbit/s;46.4 Mbit/s;< 1 ms;1.62 ms;44.91 Mbit/s;49.31 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 11:48;58.25 Mbit/s;50.89 Mbit/s;2.0 ms;1.24 ms;61.03 Mbit/s;48.69 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 10:48;61.06 Mbit/s;48.53 Mbit/s;< 1 ms;< 1 ms;62.04 Mbit/s;51.65 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 09:48;62.71 Mbit/s;46.1 Mbit/s;< 1 ms;< 1 ms;62.61 Mbit/s;48.95 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 07:48;63.62 Mbit/s;45.51 Mbit/s;< 1 ms;< 1 ms;63.01 Mbit/s;48.3 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 06:48;56.61 Mbit/s;44.28 Mbit/s;< 1 ms;< 1 ms;59.52 Mbit/s;44.86 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 05:49;55.77 Mbit/s;45.69 Mbit/s;< 1 ms;< 1 ms;58.96 Mbit/s;48.66 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 04:48;49.15 Mbit/s;46.97 Mbit/s;< 1 ms;< 1 ms;53.89 Mbit/s;50.12 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 03:48;42.0 Mbit/s;44.08 Mbit/s;< 1 ms;< 1 ms;45.81 Mbit/s;45.55 Mbit/s;0.0 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 02:48;48.63 Mbit/s;44.89 Mbit/s;< 1 ms;< 1 ms;53.46 Mbit/s;47.69 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
