dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:05;27.08 Mbit/s;27.54 Mbit/s;< 1 ms;< 1 ms;26.83 Mbit/s;26.84 Mbit/s;0.0 %;1.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:05;26.57 Mbit/s;27.09 Mbit/s;3.09 ms;1.65 ms;26.46 Mbit/s;26.7 Mbit/s;0.0 %;2.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:05;26.44 Mbit/s;27.6 Mbit/s;< 1 ms;8.22 ms;26.23 Mbit/s;26.6 Mbit/s;0.0 %;2.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:05;27.91 Mbit/s;27.74 Mbit/s;< 1 ms;4.63 ms;27.1 Mbit/s;25.53 Mbit/s;0.0 %;2.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:05;27.09 Mbit/s;27.67 Mbit/s;3.36 ms;3.95 ms;27.02 Mbit/s;27.35 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:05;27.96 Mbit/s;27.46 Mbit/s;< 1 ms;3.51 ms;27.27 Mbit/s;27.06 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 08:05;27.37 Mbit/s;27.54 Mbit/s;7.55 ms;6.97 ms;27.0 Mbit/s;26.41 Mbit/s;0.0 %;5.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:05;27.73 Mbit/s;27.63 Mbit/s;1.27 ms;< 1 ms;27.26 Mbit/s;27.38 Mbit/s;0.0 %;5.24 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:05;25.96 Mbit/s;27.45 Mbit/s;< 1 ms;< 1 ms;26.51 Mbit/s;27.29 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:05;27.45 Mbit/s;27.7 Mbit/s;5.23 ms;10.23 ms;26.66 Mbit/s;27.05 Mbit/s;0.0 %;2.87 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:05;27.63 Mbit/s;27.7 Mbit/s;< 1 ms;2.71 ms;27.25 Mbit/s;27.31 Mbit/s;0.0 %;2.78 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:05;27.55 Mbit/s;27.47 Mbit/s;2.67 ms;2.21 ms;27.25 Mbit/s;27.33 Mbit/s;0.0 %;4.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:05;27.29 Mbit/s;27.42 Mbit/s;< 1 ms;3.82 ms;26.86 Mbit/s;26.85 Mbit/s;0.0 %;3.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 01:05;27.45 Mbit/s;27.75 Mbit/s;< 1 ms;1.3 ms;26.89 Mbit/s;26.9 Mbit/s;0.0 %;1.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
