dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:58;34.6 Mbit/s;45.09 Mbit/s;2.17 ms;1.17 ms;37.96 Mbit/s;47.33 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:58;32.53 Mbit/s;40.46 Mbit/s;< 1 ms;1.58 ms;35.54 Mbit/s;42.77 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:58;37.34 Mbit/s;45.71 Mbit/s;1.58 ms;< 1 ms;32.76 Mbit/s;47.68 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:58;35.55 Mbit/s;46.85 Mbit/s;< 1 ms;4.32 ms;35.31 Mbit/s;49.09 Mbit/s;0.0 %;6.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:58;34.71 Mbit/s;48.31 Mbit/s;< 1 ms;1.25 ms;37.98 Mbit/s;51.64 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:58;30.17 Mbit/s;53.69 Mbit/s;< 1 ms;2.82 ms;31.67 Mbit/s;57.35 Mbit/s;0.0 %;11.55 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 07:58;36.22 Mbit/s;45.5 Mbit/s;< 1 ms;1.19 ms;39.85 Mbit/s;47.76 Mbit/s;0.0 %;3.88 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:58;19.21 Mbit/s;49.17 Mbit/s;1.1 ms;1.26 ms;20.61 Mbit/s;52.18 Mbit/s;0.0 %;16.29 ms;PTT Metro de Belo Horizonte;;;;;
03/11/15 05:58;35.54 Mbit/s;47.62 Mbit/s;< 1 ms;1.72 ms;39.09 Mbit/s;48.02 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:58;34.33 Mbit/s;44.06 Mbit/s;< 1 ms;1.22 ms;29.88 Mbit/s;46.72 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:58;34.31 Mbit/s;47.75 Mbit/s;< 1 ms;1.41 ms;37.63 Mbit/s;48.97 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:58;34.47 Mbit/s;41.59 Mbit/s;< 1 ms;1.47 ms;37.73 Mbit/s;44.23 Mbit/s;0.0 %;3.83 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:58;36.55 Mbit/s;48.51 Mbit/s;< 1 ms;1.73 ms;40.18 Mbit/s;51.64 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:58;41.16 Mbit/s;54.9 Mbit/s;< 1 ms;1.21 ms;45.11 Mbit/s;54.39 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:58;41.57 Mbit/s;52.03 Mbit/s;4.16 ms;1.39 ms;45.53 Mbit/s;55.4 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:58;38.63 Mbit/s;49.35 Mbit/s;< 1 ms;1.16 ms;42.31 Mbit/s;52.38 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:58;38.19 Mbit/s;49.21 Mbit/s;< 1 ms;1.21 ms;42.03 Mbit/s;51.32 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
