dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:41;29.56 Mbit/s;29.58 Mbit/s;< 1 ms;< 1 ms;28.74 Mbit/s;29.17 Mbit/s;0.67 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:41;29.03 Mbit/s;28.23 Mbit/s;< 1 ms;3.74 ms;27.96 Mbit/s;27.72 Mbit/s;0.0 %;4.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:41;27.34 Mbit/s;29.43 Mbit/s;< 1 ms;1.84 ms;28.31 Mbit/s;29.03 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:41;26.15 Mbit/s;28.48 Mbit/s;< 1 ms;< 1 ms;27.53 Mbit/s;29.03 Mbit/s;0.0 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:41;28.88 Mbit/s;27.42 Mbit/s;< 1 ms;< 1 ms;28.75 Mbit/s;27.69 Mbit/s;0.0 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:41;28.0 Mbit/s;29.48 Mbit/s;< 1 ms;< 1 ms;28.46 Mbit/s;29.0 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:41;27.4 Mbit/s;29.2 Mbit/s;< 1 ms;< 1 ms;28.07 Mbit/s;28.58 Mbit/s;0.0 %;5.06 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:41;24.71 Mbit/s;27.39 Mbit/s;< 1 ms;1.21 ms;26.24 Mbit/s;28.53 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:41;25.37 Mbit/s;28.24 Mbit/s;< 1 ms;< 1 ms;26.79 Mbit/s;27.29 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:41;29.17 Mbit/s;29.62 Mbit/s;< 1 ms;< 1 ms;28.8 Mbit/s;29.15 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:41;29.85 Mbit/s;29.75 Mbit/s;< 1 ms;< 1 ms;29.22 Mbit/s;29.28 Mbit/s;0.0 %;5.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:41;29.87 Mbit/s;29.03 Mbit/s;< 1 ms;< 1 ms;28.82 Mbit/s;28.88 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:41;28.7 Mbit/s;29.56 Mbit/s;< 1 ms;< 1 ms;28.87 Mbit/s;28.4 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:41;26.38 Mbit/s;28.27 Mbit/s;< 1 ms;< 1 ms;27.38 Mbit/s;28.08 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:41;29.71 Mbit/s;24.14 Mbit/s;< 1 ms;< 1 ms;28.67 Mbit/s;25.28 Mbit/s;0.0 %;4.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
