dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:08;17.09 Mbit/s;20.28 Mbit/s;< 1 ms;5.74 ms;17.4 Mbit/s;20.85 Mbit/s;0.0 %;114.33 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 13:08;20.2 Mbit/s;25.67 Mbit/s;< 1 ms;1.12 ms;21.06 Mbit/s;23.44 Mbit/s;0.67 %;3.91 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:08;19.55 Mbit/s;25.17 Mbit/s;2.14 ms;< 1 ms;20.95 Mbit/s;25.03 Mbit/s;0.67 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:08;23.06 Mbit/s;22.39 Mbit/s;< 1 ms;2.32 ms;23.44 Mbit/s;22.14 Mbit/s;0.67 %;6.44 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:08;22.49 Mbit/s;23.94 Mbit/s;< 1 ms;2.39 ms;23.56 Mbit/s;24.52 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:08;22.52 Mbit/s;23.98 Mbit/s;< 1 ms;4.22 ms;23.4 Mbit/s;24.58 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:08;22.61 Mbit/s;23.29 Mbit/s;< 1 ms;< 1 ms;23.67 Mbit/s;24.03 Mbit/s;0.0 %;3.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:08;23.91 Mbit/s;22.06 Mbit/s;< 1 ms;< 1 ms;24.33 Mbit/s;23.55 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:08;24.68 Mbit/s;24.09 Mbit/s;< 1 ms;< 1 ms;24.66 Mbit/s;24.63 Mbit/s;0.0 %;3.95 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:09;24.94 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;25.03 Mbit/s;25.06 Mbit/s;0.0 %;3.86 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:08;20.26 Mbit/s;25.8 Mbit/s;< 1 ms;< 1 ms;22.28 Mbit/s;24.87 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 02:08;24.8 Mbit/s;25.75 Mbit/s;< 1 ms;< 1 ms;24.98 Mbit/s;25.44 Mbit/s;0.0 %;3.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 01:08;25.24 Mbit/s;24.9 Mbit/s;< 1 ms;< 1 ms;25.1 Mbit/s;24.72 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:08;25.79 Mbit/s;24.54 Mbit/s;< 1 ms;< 1 ms;25.13 Mbit/s;25.14 Mbit/s;0.0 %;3.82 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:08;25.16 Mbit/s;22.68 Mbit/s;< 1 ms;< 1 ms;24.54 Mbit/s;23.32 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:08;23.32 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;24.1 Mbit/s;25.02 Mbit/s;0.0 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:08;23.1 Mbit/s;24.06 Mbit/s;< 1 ms;1.35 ms;23.17 Mbit/s;24.26 Mbit/s;0.67 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:08;22.82 Mbit/s;25.42 Mbit/s;1.55 ms;< 1 ms;23.31 Mbit/s;23.04 Mbit/s;0.0 %;3.9 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:08;20.21 Mbit/s;22.86 Mbit/s;< 1 ms;4.54 ms;21.13 Mbit/s;23.29 Mbit/s;0.0 %;5.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:08;14.68 Mbit/s;20.35 Mbit/s;< 1 ms;17.23 ms;15.99 Mbit/s;17.58 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 17:08;17.93 Mbit/s;21.97 Mbit/s;< 1 ms;< 1 ms;18.46 Mbit/s;22.17 Mbit/s;0.67 %;5.18 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 16:08;15.11 Mbit/s;24.45 Mbit/s;32.71 ms;< 1 ms;16.44 Mbit/s;22.44 Mbit/s;1.44 %;60.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 15:08;18.61 Mbit/s;21.81 Mbit/s;< 1 ms;2.17 ms;19.72 Mbit/s;22.99 Mbit/s;1.36 %;8.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:08;20.88 Mbit/s;21.94 Mbit/s;< 1 ms;2.43 ms;21.26 Mbit/s;22.53 Mbit/s;0.67 %;14.07 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/11/15 13:08;19.74 Mbit/s;23.11 Mbit/s;< 1 ms;< 1 ms;21.32 Mbit/s;23.53 Mbit/s;0.0 %;5.91 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
