dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:39;45.17 Mbit/s;46.8 Mbit/s;2.7 ms;2.02 ms;47.12 Mbit/s;49.03 Mbit/s;0.0 %;16.61 ms;PTT Metro de Belo Horizonte;;;;;
03/11/15 12:39;49.72 Mbit/s;44.47 Mbit/s;< 1 ms;< 1 ms;49.41 Mbit/s;47.13 Mbit/s;0.0 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:39;49.58 Mbit/s;45.45 Mbit/s;< 1 ms;< 1 ms;49.28 Mbit/s;47.68 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:39;47.12 Mbit/s;48.71 Mbit/s;< 1 ms;< 1 ms;48.32 Mbit/s;50.16 Mbit/s;0.0 %;2.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:39;49.42 Mbit/s;44.98 Mbit/s;< 1 ms;< 1 ms;49.84 Mbit/s;47.2 Mbit/s;0.0 %;2.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:39;51.32 Mbit/s;45.39 Mbit/s;< 1 ms;< 1 ms;50.46 Mbit/s;48.06 Mbit/s;0.0 %;2.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:39;48.53 Mbit/s;46.73 Mbit/s;< 1 ms;< 1 ms;49.43 Mbit/s;48.79 Mbit/s;0.0 %;2.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:39;50.08 Mbit/s;44.52 Mbit/s;< 1 ms;< 1 ms;49.77 Mbit/s;47.17 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:39;51.58 Mbit/s;45.02 Mbit/s;< 1 ms;< 1 ms;50.7 Mbit/s;47.7 Mbit/s;0.0 %;2.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:39;51.19 Mbit/s;46.41 Mbit/s;< 1 ms;< 1 ms;49.53 Mbit/s;48.6 Mbit/s;0.0 %;2.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:39;51.84 Mbit/s;46.33 Mbit/s;< 1 ms;< 1 ms;50.76 Mbit/s;48.12 Mbit/s;0.0 %;2.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:39;51.82 Mbit/s;46.25 Mbit/s;< 1 ms;< 1 ms;50.59 Mbit/s;48.67 Mbit/s;0.0 %;2.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:39;52.03 Mbit/s;46.75 Mbit/s;< 1 ms;< 1 ms;49.74 Mbit/s;48.94 Mbit/s;0.0 %;2.27 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:39;50.85 Mbit/s;46.85 Mbit/s;< 1 ms;< 1 ms;49.81 Mbit/s;49.02 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:39;45.07 Mbit/s;44.75 Mbit/s;< 1 ms;< 1 ms;46.53 Mbit/s;47.51 Mbit/s;0.0 %;2.9 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:39;41.19 Mbit/s;37.7 Mbit/s;< 1 ms;< 1 ms;44.17 Mbit/s;39.78 Mbit/s;0.0 %;2.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 21:39;48.35 Mbit/s;46.12 Mbit/s;< 1 ms;< 1 ms;49.16 Mbit/s;48.53 Mbit/s;0.0 %;2.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:39;31.04 Mbit/s;41.01 Mbit/s;2.36 ms;3.09 ms;33.82 Mbit/s;38.96 Mbit/s;0.0 %;15.59 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 19:39;45.07 Mbit/s;46.83 Mbit/s;< 1 ms;1.35 ms;46.85 Mbit/s;49.17 Mbit/s;0.0 %;2.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 18:39;48.8 Mbit/s;47.95 Mbit/s;< 1 ms;< 1 ms;49.18 Mbit/s;49.38 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:39;47.56 Mbit/s;47.0 Mbit/s;< 1 ms;< 1 ms;48.53 Mbit/s;48.83 Mbit/s;0.0 %;2.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:39;48.8 Mbit/s;45.59 Mbit/s;< 1 ms;< 1 ms;49.2 Mbit/s;47.77 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 14:39;48.44 Mbit/s;40.52 Mbit/s;< 1 ms;< 1 ms;48.89 Mbit/s;40.9 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 13:39;50.12 Mbit/s;44.27 Mbit/s;< 1 ms;3.13 ms;49.43 Mbit/s;46.7 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 12:39;50.35 Mbit/s;45.51 Mbit/s;< 1 ms;< 1 ms;49.87 Mbit/s;48.08 Mbit/s;0.0 %;2.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 10:39;48.81 Mbit/s;45.23 Mbit/s;< 1 ms;< 1 ms;49.54 Mbit/s;47.96 Mbit/s;0.0 %;2.86 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 09:39;44.5 Mbit/s;45.94 Mbit/s;< 1 ms;< 1 ms;46.92 Mbit/s;47.94 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 08:39;50.47 Mbit/s;45.2 Mbit/s;< 1 ms;< 1 ms;50.19 Mbit/s;47.8 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:39;52.02 Mbit/s;44.94 Mbit/s;< 1 ms;< 1 ms;50.44 Mbit/s;47.55 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 06:39;51.83 Mbit/s;42.72 Mbit/s;< 1 ms;< 1 ms;50.71 Mbit/s;45.46 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:39;52.0 Mbit/s;45.24 Mbit/s;< 1 ms;< 1 ms;49.26 Mbit/s;47.85 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 04:39;51.87 Mbit/s;46.3 Mbit/s;< 1 ms;< 1 ms;50.26 Mbit/s;48.51 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:39;52.03 Mbit/s;46.27 Mbit/s;< 1 ms;< 1 ms;50.66 Mbit/s;48.58 Mbit/s;0.0 %;2.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:39;51.94 Mbit/s;46.34 Mbit/s;< 1 ms;< 1 ms;50.61 Mbit/s;48.54 Mbit/s;0.0 %;2.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 01:39;52.0 Mbit/s;47.0 Mbit/s;< 1 ms;< 1 ms;50.74 Mbit/s;46.64 Mbit/s;0.0 %;2.32 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 00:39;43.55 Mbit/s;44.81 Mbit/s;< 1 ms;< 1 ms;46.11 Mbit/s;47.13 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 23:39;45.56 Mbit/s;45.01 Mbit/s;< 1 ms;< 1 ms;47.44 Mbit/s;47.32 Mbit/s;0.0 %;2.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 22:39;41.1 Mbit/s;44.54 Mbit/s;< 1 ms;< 1 ms;43.98 Mbit/s;47.39 Mbit/s;0.0 %;2.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 21:39;39.69 Mbit/s;35.96 Mbit/s;2.54 ms;4.45 ms;42.86 Mbit/s;37.82 Mbit/s;0.0 %;9.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:39;48.07 Mbit/s;46.17 Mbit/s;< 1 ms;< 1 ms;48.94 Mbit/s;48.46 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 19:39;48.65 Mbit/s;45.75 Mbit/s;< 1 ms;< 1 ms;48.77 Mbit/s;47.98 Mbit/s;0.0 %;2.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 18:39;51.62 Mbit/s;46.51 Mbit/s;< 1 ms;< 1 ms;50.39 Mbit/s;48.87 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 17:39;49.8 Mbit/s;46.05 Mbit/s;< 1 ms;< 1 ms;49.59 Mbit/s;48.4 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 16:39;49.41 Mbit/s;45.06 Mbit/s;< 1 ms;< 1 ms;49.38 Mbit/s;47.7 Mbit/s;0.0 %;2.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 15:39;47.22 Mbit/s;45.72 Mbit/s;< 1 ms;1.22 ms;48.68 Mbit/s;48.11 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 14:39;42.88 Mbit/s;45.55 Mbit/s;< 1 ms;< 1 ms;46.4 Mbit/s;45.87 Mbit/s;0.0 %;2.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 13:39;44.69 Mbit/s;46.32 Mbit/s;< 1 ms;< 1 ms;47.45 Mbit/s;48.46 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
