dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:18;41.21 Mbit/s;46.2 Mbit/s;< 1 ms;< 1 ms;43.44 Mbit/s;45.12 Mbit/s;0.0 %;2.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:18;42.3 Mbit/s;36.28 Mbit/s;< 1 ms;2.49 ms;44.84 Mbit/s;37.44 Mbit/s;0.0 %;2.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:18;43.93 Mbit/s;45.6 Mbit/s;1.29 ms;2.19 ms;45.55 Mbit/s;46.98 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:18;46.75 Mbit/s;47.27 Mbit/s;< 1 ms;4.04 ms;47.11 Mbit/s;48.27 Mbit/s;0.0 %;3.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:18;44.8 Mbit/s;46.45 Mbit/s;< 1 ms;< 1 ms;46.11 Mbit/s;47.47 Mbit/s;0.0 %;2.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:18;43.28 Mbit/s;41.7 Mbit/s;< 1 ms;< 1 ms;44.97 Mbit/s;44.67 Mbit/s;0.0 %;3.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:18;48.3 Mbit/s;44.66 Mbit/s;< 1 ms;3.95 ms;47.75 Mbit/s;46.2 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:18;49.02 Mbit/s;47.62 Mbit/s;< 1 ms;< 1 ms;48.09 Mbit/s;47.43 Mbit/s;0.0 %;3.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:18;49.39 Mbit/s;45.52 Mbit/s;< 1 ms;< 1 ms;48.19 Mbit/s;47.43 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:18;47.94 Mbit/s;39.7 Mbit/s;< 1 ms;< 1 ms;47.76 Mbit/s;41.91 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:18;49.46 Mbit/s;44.17 Mbit/s;< 1 ms;< 1 ms;48.4 Mbit/s;46.82 Mbit/s;0.0 %;2.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:18;49.66 Mbit/s;45.63 Mbit/s;< 1 ms;< 1 ms;48.31 Mbit/s;47.51 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:18;46.83 Mbit/s;42.34 Mbit/s;< 1 ms;< 1 ms;47.53 Mbit/s;45.12 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:18;40.06 Mbit/s;36.31 Mbit/s;< 1 ms;< 1 ms;42.98 Mbit/s;38.98 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 00:18;44.31 Mbit/s;40.72 Mbit/s;< 1 ms;< 1 ms;45.98 Mbit/s;43.43 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:18;44.56 Mbit/s;42.05 Mbit/s;2.82 ms;< 1 ms;45.73 Mbit/s;45.11 Mbit/s;1.36 %;3.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:18;45.8 Mbit/s;45.92 Mbit/s;< 1 ms;1.75 ms;46.44 Mbit/s;47.61 Mbit/s;0.0 %;2.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:18;42.58 Mbit/s;41.3 Mbit/s;< 1 ms;< 1 ms;44.67 Mbit/s;44.05 Mbit/s;0.0 %;2.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 20:18;46.39 Mbit/s;42.68 Mbit/s;< 1 ms;< 1 ms;47.06 Mbit/s;44.98 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 19:18;46.35 Mbit/s;46.9 Mbit/s;1.95 ms;< 1 ms;46.86 Mbit/s;47.4 Mbit/s;0.0 %;2.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 18:18;48.16 Mbit/s;46.8 Mbit/s;< 1 ms;< 1 ms;46.93 Mbit/s;47.9 Mbit/s;0.0 %;2.83 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:18;45.74 Mbit/s;47.95 Mbit/s;< 1 ms;2.78 ms;46.56 Mbit/s;47.6 Mbit/s;0.0 %;3.0 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 16:18;46.65 Mbit/s;43.69 Mbit/s;< 1 ms;8.0 ms;47.06 Mbit/s;45.84 Mbit/s;0.0 %;3.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 15:18;41.55 Mbit/s;46.07 Mbit/s;< 1 ms;< 1 ms;44.53 Mbit/s;45.28 Mbit/s;0.0 %;3.48 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:18;41.21 Mbit/s;44.93 Mbit/s;< 1 ms;3.71 ms;43.54 Mbit/s;47.1 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 13:18;41.36 Mbit/s;43.33 Mbit/s;< 1 ms;< 1 ms;43.75 Mbit/s;44.11 Mbit/s;0.67 %;3.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 12:18;40.01 Mbit/s;46.38 Mbit/s;< 1 ms;< 1 ms;42.49 Mbit/s;47.79 Mbit/s;0.0 %;3.06 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:18;44.34 Mbit/s;45.91 Mbit/s;< 1 ms;< 1 ms;46.1 Mbit/s;47.02 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 10:18;35.12 Mbit/s;44.7 Mbit/s;< 1 ms;< 1 ms;37.92 Mbit/s;46.38 Mbit/s;0.0 %;3.03 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 09:18;43.73 Mbit/s;43.03 Mbit/s;< 1 ms;< 1 ms;45.7 Mbit/s;45.4 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 08:18;46.6 Mbit/s;44.91 Mbit/s;< 1 ms;< 1 ms;47.23 Mbit/s;47.24 Mbit/s;0.0 %;2.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:18;45.65 Mbit/s;48.11 Mbit/s;< 1 ms;2.73 ms;47.07 Mbit/s;47.95 Mbit/s;0.0 %;3.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 06:18;48.88 Mbit/s;47.39 Mbit/s;< 1 ms;1.02 ms;48.43 Mbit/s;44.56 Mbit/s;0.0 %;3.04 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 05:18;49.76 Mbit/s;43.17 Mbit/s;< 1 ms;1.72 ms;48.42 Mbit/s;45.67 Mbit/s;0.0 %;2.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:18;45.57 Mbit/s;47.5 Mbit/s;< 1 ms;1.5 ms;46.69 Mbit/s;48.22 Mbit/s;0.0 %;3.11 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 03:18;43.98 Mbit/s;45.39 Mbit/s;< 1 ms;1.14 ms;46.13 Mbit/s;45.41 Mbit/s;0.0 %;3.06 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 02:18;44.12 Mbit/s;45.5 Mbit/s;< 1 ms;1.34 ms;46.15 Mbit/s;47.05 Mbit/s;0.0 %;2.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 01:18;48.32 Mbit/s;42.69 Mbit/s;< 1 ms;< 1 ms;48.1 Mbit/s;44.92 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 00:18;48.63 Mbit/s;46.98 Mbit/s;< 1 ms;< 1 ms;48.08 Mbit/s;45.13 Mbit/s;0.0 %;2.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 23:18;44.65 Mbit/s;47.91 Mbit/s;< 1 ms;< 1 ms;45.6 Mbit/s;48.21 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 22:18;46.21 Mbit/s;45.92 Mbit/s;< 1 ms;< 1 ms;47.26 Mbit/s;47.04 Mbit/s;0.0 %;2.92 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 21:18;45.67 Mbit/s;45.44 Mbit/s;< 1 ms;< 1 ms;46.99 Mbit/s;47.13 Mbit/s;0.0 %;2.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 20:18;45.5 Mbit/s;48.14 Mbit/s;< 1 ms;3.0 ms;46.53 Mbit/s;47.61 Mbit/s;0.0 %;2.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 19:18;43.24 Mbit/s;46.35 Mbit/s;< 1 ms;< 1 ms;45.61 Mbit/s;46.97 Mbit/s;0.0 %;2.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 18:18;45.12 Mbit/s;43.96 Mbit/s;< 1 ms;< 1 ms;46.71 Mbit/s;46.32 Mbit/s;0.0 %;2.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 17:18;42.84 Mbit/s;43.78 Mbit/s;< 1 ms;< 1 ms;45.27 Mbit/s;44.77 Mbit/s;0.0 %;2.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 16:18;45.47 Mbit/s;44.31 Mbit/s;< 1 ms;< 1 ms;46.61 Mbit/s;46.71 Mbit/s;0.0 %;2.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 15:18;36.11 Mbit/s;31.49 Mbit/s;< 1 ms;3.67 ms;39.68 Mbit/s;33.62 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 14:18;45.48 Mbit/s;45.79 Mbit/s;2.13 ms;2.35 ms;46.89 Mbit/s;46.46 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 13:18;46.74 Mbit/s;46.12 Mbit/s;< 1 ms;1.28 ms;47.25 Mbit/s;46.91 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 12:18;43.33 Mbit/s;45.65 Mbit/s;< 1 ms;1.52 ms;45.44 Mbit/s;47.58 Mbit/s;0.0 %;5.21 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 11:18;43.4 Mbit/s;45.76 Mbit/s;1.18 ms;< 1 ms;44.87 Mbit/s;47.25 Mbit/s;0.0 %;2.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 10:18;43.82 Mbit/s;45.28 Mbit/s;< 1 ms;< 1 ms;45.53 Mbit/s;46.77 Mbit/s;0.0 %;3.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 09:18;46.25 Mbit/s;42.88 Mbit/s;< 1 ms;< 1 ms;47.14 Mbit/s;43.32 Mbit/s;0.0 %;2.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 08:18;46.4 Mbit/s;47.5 Mbit/s;< 1 ms;1.1 ms;47.45 Mbit/s;48.14 Mbit/s;0.0 %;2.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 07:18;49.67 Mbit/s;47.31 Mbit/s;< 1 ms;< 1 ms;48.55 Mbit/s;48.03 Mbit/s;0.0 %;2.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 06:18;48.82 Mbit/s;46.34 Mbit/s;< 1 ms;1.2 ms;48.06 Mbit/s;47.4 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 05:18;49.63 Mbit/s;40.84 Mbit/s;< 1 ms;< 1 ms;48.56 Mbit/s;43.25 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 04:18;46.98 Mbit/s;48.43 Mbit/s;< 1 ms;< 1 ms;47.34 Mbit/s;48.54 Mbit/s;0.0 %;2.91 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 03:18;48.24 Mbit/s;46.55 Mbit/s;< 1 ms;< 1 ms;48.17 Mbit/s;47.89 Mbit/s;0.0 %;2.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 02:19;44.73 Mbit/s;45.21 Mbit/s;< 1 ms;1.34 ms;46.54 Mbit/s;45.12 Mbit/s;0.0 %;2.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 01:18;45.53 Mbit/s;42.44 Mbit/s;4.85 ms;< 1 ms;46.74 Mbit/s;44.59 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 00:18;45.85 Mbit/s;47.63 Mbit/s;< 1 ms;< 1 ms;46.48 Mbit/s;48.03 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 23:18;46.15 Mbit/s;42.84 Mbit/s;< 1 ms;< 1 ms;46.1 Mbit/s;45.81 Mbit/s;0.0 %;2.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 22:18;46.13 Mbit/s;47.12 Mbit/s;< 1 ms;< 1 ms;46.58 Mbit/s;43.69 Mbit/s;0.0 %;2.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 21:18;42.56 Mbit/s;45.32 Mbit/s;2.73 ms;4.33 ms;44.46 Mbit/s;45.9 Mbit/s;0.0 %;3.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 20:18;41.78 Mbit/s;47.46 Mbit/s;< 1 ms;< 1 ms;44.12 Mbit/s;48.33 Mbit/s;0.0 %;2.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 19:18;43.45 Mbit/s;45.79 Mbit/s;< 1 ms;< 1 ms;45.25 Mbit/s;47.44 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 18:18;44.18 Mbit/s;43.98 Mbit/s;< 1 ms;< 1 ms;45.95 Mbit/s;46.01 Mbit/s;0.0 %;3.42 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
