dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:14;8.86 Mbit/s;8.75 Mbit/s;42.36 ms;29.33 ms;9.85 Mbit/s;7.59 Mbit/s;0.67 %;450.48 ms;PTT Metro de Campinas;;;;;
03/11/15 13:14;27.1 Mbit/s;31.67 Mbit/s;< 1 ms;< 1 ms;29.1 Mbit/s;34.01 Mbit/s;0.0 %;8.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:14;28.41 Mbit/s;36.13 Mbit/s;5.85 ms;8.01 ms;30.71 Mbit/s;36.62 Mbit/s;0.0 %;7.39 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:14;31.25 Mbit/s;29.97 Mbit/s;< 1 ms;1.6 ms;31.38 Mbit/s;30.39 Mbit/s;0.0 %;9.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:14;36.4 Mbit/s;36.31 Mbit/s;1.07 ms;1.96 ms;29.44 Mbit/s;36.54 Mbit/s;0.0 %;10.53 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 09:14;36.81 Mbit/s;30.0 Mbit/s;< 1 ms;< 1 ms;35.01 Mbit/s;31.15 Mbit/s;0.0 %;6.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:14;34.01 Mbit/s;34.95 Mbit/s;< 1 ms;< 1 ms;32.94 Mbit/s;34.55 Mbit/s;0.0 %;6.21 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:14;32.15 Mbit/s;29.73 Mbit/s;< 1 ms;< 1 ms;30.09 Mbit/s;31.15 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:14;25.48 Mbit/s;36.7 Mbit/s;< 1 ms;< 1 ms;25.91 Mbit/s;36.49 Mbit/s;0.0 %;7.4 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:14;32.94 Mbit/s;34.17 Mbit/s;< 1 ms;5.87 ms;34.27 Mbit/s;35.4 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 04:14;28.96 Mbit/s;35.17 Mbit/s;< 1 ms;< 1 ms;28.37 Mbit/s;36.64 Mbit/s;0.0 %;5.87 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:14;37.16 Mbit/s;37.59 Mbit/s;1.75 ms;5.13 ms;36.97 Mbit/s;37.66 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 02:14;35.35 Mbit/s;37.69 Mbit/s;1.91 ms;1.41 ms;36.47 Mbit/s;37.8 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:14;38.55 Mbit/s;37.32 Mbit/s;< 1 ms;1.21 ms;37.75 Mbit/s;37.34 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:14;35.65 Mbit/s;37.98 Mbit/s;< 1 ms;< 1 ms;8.46 Mbit/s;37.72 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:14;32.78 Mbit/s;37.33 Mbit/s;< 1 ms;< 1 ms;32.46 Mbit/s;36.69 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 22:14;31.31 Mbit/s;34.42 Mbit/s;< 1 ms;< 1 ms;31.53 Mbit/s;35.85 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:14;33.62 Mbit/s;32.54 Mbit/s;2.54 ms;1.61 ms;31.96 Mbit/s;33.84 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:14;27.03 Mbit/s;31.26 Mbit/s;6.56 ms;2.93 ms;28.28 Mbit/s;33.15 Mbit/s;0.67 %;6.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:14;29.53 Mbit/s;32.27 Mbit/s;< 1 ms;4.31 ms;28.8 Mbit/s;33.17 Mbit/s;0.0 %;6.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 18:14;37.04 Mbit/s;32.84 Mbit/s;< 1 ms;4.04 ms;34.52 Mbit/s;34.19 Mbit/s;0.0 %;6.09 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:14;26.77 Mbit/s;36.25 Mbit/s;< 1 ms;< 1 ms;28.69 Mbit/s;36.72 Mbit/s;0.0 %;8.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 16:14;23.27 Mbit/s;35.08 Mbit/s;< 1 ms;< 1 ms;24.95 Mbit/s;35.66 Mbit/s;0.0 %;12.92 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/11/15 15:14;30.44 Mbit/s;35.52 Mbit/s;< 1 ms;< 1 ms;32.23 Mbit/s;36.29 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 14:14;27.72 Mbit/s;34.66 Mbit/s;< 1 ms;< 1 ms;27.84 Mbit/s;34.73 Mbit/s;0.0 %;8.42 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 13:14;29.3 Mbit/s;28.92 Mbit/s;2.46 ms;< 1 ms;31.41 Mbit/s;30.92 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:14;31.18 Mbit/s;22.21 Mbit/s;< 1 ms;< 1 ms;31.65 Mbit/s;23.84 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 11:14;27.47 Mbit/s;35.86 Mbit/s;< 1 ms;2.47 ms;27.36 Mbit/s;36.82 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 10:14;36.24 Mbit/s;34.67 Mbit/s;2.19 ms;< 1 ms;35.01 Mbit/s;34.75 Mbit/s;0.0 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 09:14;33.69 Mbit/s;34.7 Mbit/s;< 1 ms;5.12 ms;34.91 Mbit/s;36.46 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 07:14;38.52 Mbit/s;35.11 Mbit/s;< 1 ms;< 1 ms;35.8 Mbit/s;36.81 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 06:14;36.72 Mbit/s;36.61 Mbit/s;2.56 ms;< 1 ms;37.31 Mbit/s;37.1 Mbit/s;0.0 %;6.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 05:14;36.45 Mbit/s;36.69 Mbit/s;< 1 ms;< 1 ms;34.51 Mbit/s;37.03 Mbit/s;0.67 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 04:14;37.98 Mbit/s;37.62 Mbit/s;< 1 ms;< 1 ms;37.2 Mbit/s;37.48 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 03:14;34.13 Mbit/s;37.33 Mbit/s;< 1 ms;< 1 ms;35.54 Mbit/s;37.54 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 02:14;37.77 Mbit/s;37.0 Mbit/s;< 1 ms;< 1 ms;37.39 Mbit/s;37.8 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 01:14;38.16 Mbit/s;38.43 Mbit/s;< 1 ms;< 1 ms;37.85 Mbit/s;37.84 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 00:14;31.01 Mbit/s;36.79 Mbit/s;< 1 ms;4.48 ms;33.87 Mbit/s;36.95 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 23:14;33.06 Mbit/s;35.53 Mbit/s;< 1 ms;< 1 ms;34.87 Mbit/s;37.17 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 21:15;26.86 Mbit/s;37.06 Mbit/s;< 1 ms;< 1 ms;28.57 Mbit/s;36.06 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 20:14;33.44 Mbit/s;36.59 Mbit/s;< 1 ms;3.02 ms;32.55 Mbit/s;35.8 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 19:14;34.95 Mbit/s;36.55 Mbit/s;< 1 ms;< 1 ms;34.26 Mbit/s;37.33 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 18:14;34.3 Mbit/s;31.84 Mbit/s;< 1 ms;< 1 ms;33.91 Mbit/s;34.12 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 17:14;35.85 Mbit/s;36.06 Mbit/s;< 1 ms;< 1 ms;36.47 Mbit/s;36.91 Mbit/s;0.0 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 16:14;27.06 Mbit/s;38.37 Mbit/s;< 1 ms;21.31 ms;29.57 Mbit/s;37.68 Mbit/s;0.0 %;11.93 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/11/15 15:14;35.38 Mbit/s;29.96 Mbit/s;6.8 ms;5.27 ms;35.99 Mbit/s;31.81 Mbit/s;0.0 %;7.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 14:14;31.55 Mbit/s;32.5 Mbit/s;< 1 ms;< 1 ms;31.83 Mbit/s;33.67 Mbit/s;0.0 %;8.35 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
