dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:18;24.17 Mbit/s;23.85 Mbit/s;< 1 ms;< 1 ms;23.95 Mbit/s;24.56 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:18;25.68 Mbit/s;25.25 Mbit/s;< 1 ms;< 1 ms;25.18 Mbit/s;25.02 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:18;24.54 Mbit/s;24.09 Mbit/s;< 1 ms;< 1 ms;24.68 Mbit/s;24.65 Mbit/s;0.0 %;3.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:18;26.07 Mbit/s;25.26 Mbit/s;< 1 ms;< 1 ms;25.29 Mbit/s;24.53 Mbit/s;0.0 %;3.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:18;25.99 Mbit/s;25.52 Mbit/s;< 1 ms;< 1 ms;25.1 Mbit/s;25.21 Mbit/s;0.0 %;3.86 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:18;25.14 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;25.25 Mbit/s;25.17 Mbit/s;0.0 %;6.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:18;25.09 Mbit/s;25.38 Mbit/s;< 1 ms;< 1 ms;24.55 Mbit/s;25.09 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:18;25.97 Mbit/s;24.56 Mbit/s;< 1 ms;1.25 ms;25.31 Mbit/s;25.15 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:18;25.78 Mbit/s;24.39 Mbit/s;< 1 ms;< 1 ms;25.29 Mbit/s;25.04 Mbit/s;0.0 %;3.96 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:18;26.01 Mbit/s;25.47 Mbit/s;< 1 ms;1.04 ms;25.21 Mbit/s;25.24 Mbit/s;0.0 %;3.95 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:18;25.96 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;25.35 Mbit/s;25.14 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:18;25.53 Mbit/s;25.4 Mbit/s;< 1 ms;< 1 ms;25.14 Mbit/s;25.36 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:18;12.68 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;13.95 Mbit/s;25.33 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:18;25.92 Mbit/s;24.64 Mbit/s;< 1 ms;< 1 ms;25.21 Mbit/s;24.05 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:18;10.66 Mbit/s;25.21 Mbit/s;< 1 ms;< 1 ms;11.69 Mbit/s;25.15 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:18;9.24 Mbit/s;25.32 Mbit/s;< 1 ms;< 1 ms;10.03 Mbit/s;25.3 Mbit/s;0.0 %;3.99 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:18;24.16 Mbit/s;24.56 Mbit/s;< 1 ms;< 1 ms;24.14 Mbit/s;25.13 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 21:18;25.94 Mbit/s;25.24 Mbit/s;< 1 ms;< 1 ms;25.13 Mbit/s;25.35 Mbit/s;0.0 %;3.88 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:18;24.13 Mbit/s;24.8 Mbit/s;< 1 ms;< 1 ms;24.01 Mbit/s;24.99 Mbit/s;2.8 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:18;24.74 Mbit/s;23.64 Mbit/s;< 1 ms;< 1 ms;24.85 Mbit/s;24.49 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:18;10.89 Mbit/s;25.32 Mbit/s;< 1 ms;< 1 ms;10.89 Mbit/s;24.24 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 17:18;24.72 Mbit/s;24.82 Mbit/s;< 1 ms;< 1 ms;24.64 Mbit/s;24.76 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:18;23.87 Mbit/s;25.0 Mbit/s;< 1 ms;< 1 ms;24.18 Mbit/s;24.67 Mbit/s;0.0 %;3.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 14:18;25.98 Mbit/s;24.11 Mbit/s;< 1 ms;< 1 ms;25.19 Mbit/s;24.94 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 13:18;17.5 Mbit/s;24.81 Mbit/s;< 1 ms;< 1 ms;18.79 Mbit/s;25.16 Mbit/s;2.07 %;4.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:18;22.6 Mbit/s;25.4 Mbit/s;< 1 ms;< 1 ms;23.91 Mbit/s;24.97 Mbit/s;0.67 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 11:18;24.62 Mbit/s;24.08 Mbit/s;< 1 ms;< 1 ms;24.66 Mbit/s;24.86 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 10:18;25.49 Mbit/s;25.35 Mbit/s;< 1 ms;< 1 ms;24.95 Mbit/s;25.3 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 09:18;25.83 Mbit/s;25.47 Mbit/s;< 1 ms;< 1 ms;25.29 Mbit/s;25.38 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 08:18;26.0 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;25.28 Mbit/s;25.37 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 07:18;26.01 Mbit/s;25.47 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;25.39 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 06:18;25.83 Mbit/s;25.35 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;25.21 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 05:18;9.77 Mbit/s;25.51 Mbit/s;< 1 ms;< 1 ms;10.73 Mbit/s;25.37 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
