dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
30/10/15 06:07;39.54 Mbit/s;38.83 Mbit/s;< 1 ms;< 1 ms;38.98 Mbit/s;38.48 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 05:07;39.42 Mbit/s;38.5 Mbit/s;< 1 ms;< 1 ms;38.86 Mbit/s;38.66 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 04:07;39.59 Mbit/s;39.19 Mbit/s;< 1 ms;< 1 ms;38.94 Mbit/s;39.05 Mbit/s;0.0 %;3.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 03:07;39.48 Mbit/s;37.92 Mbit/s;< 1 ms;< 1 ms;38.88 Mbit/s;38.01 Mbit/s;0.0 %;2.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 02:07;39.41 Mbit/s;38.51 Mbit/s;< 1 ms;< 1 ms;38.93 Mbit/s;38.56 Mbit/s;0.0 %;2.93 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 01:07;34.37 Mbit/s;38.35 Mbit/s;< 1 ms;< 1 ms;36.66 Mbit/s;38.72 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 00:07;38.47 Mbit/s;38.3 Mbit/s;< 1 ms;< 1 ms;38.45 Mbit/s;38.24 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 23:07;38.51 Mbit/s;37.2 Mbit/s;< 1 ms;< 1 ms;38.63 Mbit/s;35.35 Mbit/s;0.67 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/10/15 22:07;37.52 Mbit/s;38.46 Mbit/s;< 1 ms;< 1 ms;37.89 Mbit/s;38.79 Mbit/s;0.0 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 21:07;36.52 Mbit/s;1.66 Mbit/s;< 1 ms;< 1 ms;37.66 Mbit/s;1.78 Mbit/s;0.0 %;2.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 20:07;35.94 Mbit/s;38.08 Mbit/s;< 1 ms;< 1 ms;36.92 Mbit/s;38.2 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 19:07;37.08 Mbit/s;37.75 Mbit/s;< 1 ms;1.91 ms;37.72 Mbit/s;37.88 Mbit/s;0.0 %;2.8 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 18:07;37.41 Mbit/s;37.77 Mbit/s;< 1 ms;< 1 ms;37.82 Mbit/s;37.48 Mbit/s;0.0 %;3.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 17:07;37.01 Mbit/s;37.56 Mbit/s;< 1 ms;< 1 ms;37.82 Mbit/s;37.45 Mbit/s;0.0 %;2.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 16:07;31.17 Mbit/s;37.01 Mbit/s;< 1 ms;< 1 ms;33.66 Mbit/s;37.25 Mbit/s;0.67 %;3.47 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 15:07;34.42 Mbit/s;37.1 Mbit/s;< 1 ms;5.93 ms;35.91 Mbit/s;37.26 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 14:07;36.39 Mbit/s;36.16 Mbit/s;< 1 ms;< 1 ms;37.68 Mbit/s;37.16 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 13:07;33.92 Mbit/s;37.03 Mbit/s;< 1 ms;< 1 ms;35.09 Mbit/s;37.7 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 12:07;35.88 Mbit/s;37.88 Mbit/s;< 1 ms;< 1 ms;36.98 Mbit/s;38.49 Mbit/s;0.0 %;2.86 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 11:07;35.49 Mbit/s;37.23 Mbit/s;< 1 ms;< 1 ms;37.38 Mbit/s;36.42 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 10:07;38.68 Mbit/s;38.14 Mbit/s;< 1 ms;< 1 ms;38.52 Mbit/s;38.59 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 09:07;37.13 Mbit/s;37.74 Mbit/s;< 1 ms;< 1 ms;37.98 Mbit/s;35.14 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
