dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:55;37.47 Mbit/s;37.54 Mbit/s;< 1 ms;1.17 ms;36.38 Mbit/s;36.88 Mbit/s;0.0 %;2.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:55;29.06 Mbit/s;31.59 Mbit/s;1.28 ms;3.36 ms;31.5 Mbit/s;33.68 Mbit/s;0.0 %;3.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:55;35.43 Mbit/s;37.1 Mbit/s;7.98 ms;2.63 ms;35.81 Mbit/s;35.78 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:55;36.86 Mbit/s;37.43 Mbit/s;< 1 ms;5.47 ms;36.21 Mbit/s;37.07 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:55;35.45 Mbit/s;37.07 Mbit/s;< 1 ms;< 1 ms;35.41 Mbit/s;34.99 Mbit/s;0.0 %;1.69 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:55;37.73 Mbit/s;35.45 Mbit/s;< 1 ms;< 1 ms;36.51 Mbit/s;32.74 Mbit/s;0.0 %;1.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:55;37.31 Mbit/s;34.88 Mbit/s;< 1 ms;< 1 ms;36.53 Mbit/s;33.97 Mbit/s;0.0 %;1.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:55;37.01 Mbit/s;35.85 Mbit/s;< 1 ms;< 1 ms;36.75 Mbit/s;35.1 Mbit/s;0.0 %;1.74 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:55;25.83 Mbit/s;35.52 Mbit/s;< 1 ms;2.06 ms;28.02 Mbit/s;34.87 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:55;32.96 Mbit/s;34.52 Mbit/s;< 1 ms;< 1 ms;34.22 Mbit/s;33.91 Mbit/s;0.0 %;1.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:56;37.0 Mbit/s;37.39 Mbit/s;< 1 ms;< 1 ms;36.63 Mbit/s;36.17 Mbit/s;0.0 %;1.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:55;36.67 Mbit/s;37.55 Mbit/s;< 1 ms;< 1 ms;36.64 Mbit/s;34.5 Mbit/s;0.0 %;1.74 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:55;37.7 Mbit/s;37.27 Mbit/s;< 1 ms;< 1 ms;36.94 Mbit/s;36.25 Mbit/s;0.0 %;1.81 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:55;35.97 Mbit/s;34.92 Mbit/s;< 1 ms;< 1 ms;35.52 Mbit/s;36.17 Mbit/s;0.0 %;1.74 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:55;36.85 Mbit/s;36.12 Mbit/s;< 1 ms;< 1 ms;36.3 Mbit/s;35.65 Mbit/s;0.0 %;1.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 22:55;35.92 Mbit/s;34.34 Mbit/s;< 1 ms;< 1 ms;36.13 Mbit/s;33.58 Mbit/s;0.0 %;1.67 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:55;33.96 Mbit/s;36.61 Mbit/s;< 1 ms;< 1 ms;35.48 Mbit/s;36.87 Mbit/s;0.0 %;1.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 20:55;33.62 Mbit/s;36.16 Mbit/s;< 1 ms;< 1 ms;35.07 Mbit/s;34.43 Mbit/s;0.0 %;1.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:55;30.16 Mbit/s;37.2 Mbit/s;6.34 ms;< 1 ms;32.2 Mbit/s;34.33 Mbit/s;0.0 %;9.91 ms;PTT Metro de Campinas;;;;;
02/11/15 18:55;37.04 Mbit/s;36.78 Mbit/s;1.4 ms;< 1 ms;36.38 Mbit/s;35.24 Mbit/s;0.0 %;1.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:55;32.8 Mbit/s;36.87 Mbit/s;1.16 ms;1.1 ms;34.24 Mbit/s;36.63 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:55;32.5 Mbit/s;37.35 Mbit/s;1.66 ms;1.25 ms;33.46 Mbit/s;36.31 Mbit/s;0.0 %;3.22 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 15:55;35.48 Mbit/s;37.49 Mbit/s;2.65 ms;3.25 ms;35.66 Mbit/s;35.89 Mbit/s;0.0 %;2.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 14:55;35.73 Mbit/s;37.2 Mbit/s;< 1 ms;< 1 ms;35.8 Mbit/s;35.98 Mbit/s;0.0 %;1.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 13:55;34.58 Mbit/s;37.11 Mbit/s;< 1 ms;< 1 ms;34.78 Mbit/s;36.22 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 12:55;35.22 Mbit/s;37.13 Mbit/s;< 1 ms;2.27 ms;35.68 Mbit/s;36.48 Mbit/s;0.0 %;2.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 11:55;35.12 Mbit/s;35.81 Mbit/s;1.54 ms;2.44 ms;35.36 Mbit/s;33.52 Mbit/s;0.0 %;2.78 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 10:55;37.17 Mbit/s;34.02 Mbit/s;< 1 ms;< 1 ms;36.47 Mbit/s;35.06 Mbit/s;0.0 %;3.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 09:55;33.92 Mbit/s;34.55 Mbit/s;< 1 ms;< 1 ms;35.24 Mbit/s;36.07 Mbit/s;0.0 %;1.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 08:55;36.19 Mbit/s;36.3 Mbit/s;< 1 ms;< 1 ms;36.56 Mbit/s;36.84 Mbit/s;0.0 %;1.64 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 07:55;35.18 Mbit/s;37.06 Mbit/s;8.15 ms;< 1 ms;35.57 Mbit/s;36.37 Mbit/s;0.0 %;1.91 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 06:55;36.72 Mbit/s;37.33 Mbit/s;< 1 ms;< 1 ms;36.31 Mbit/s;34.7 Mbit/s;0.0 %;1.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:55;37.38 Mbit/s;37.05 Mbit/s;< 1 ms;< 1 ms;36.99 Mbit/s;36.83 Mbit/s;0.0 %;1.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:55;38.04 Mbit/s;37.31 Mbit/s;< 1 ms;< 1 ms;37.11 Mbit/s;37.12 Mbit/s;0.0 %;1.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:55;37.91 Mbit/s;37.34 Mbit/s;< 1 ms;< 1 ms;36.86 Mbit/s;36.13 Mbit/s;0.0 %;1.69 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
