dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:23;-;32.44 Mbit/s;4.11 ms;< 1 ms;-;-;0.0 %;6.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:23;37.17 Mbit/s;37.77 Mbit/s;< 1 ms;< 1 ms;36.36 Mbit/s;35.85 Mbit/s;0.0 %;6.75 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:23;34.29 Mbit/s;36.0 Mbit/s;< 1 ms;1.41 ms;35.87 Mbit/s;36.83 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:23;38.02 Mbit/s;35.6 Mbit/s;< 1 ms;< 1 ms;38.22 Mbit/s;35.19 Mbit/s;0.0 %;8.78 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:23;38.27 Mbit/s;38.63 Mbit/s;< 1 ms;< 1 ms;37.8 Mbit/s;38.91 Mbit/s;0.0 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:23;33.13 Mbit/s;39.56 Mbit/s;< 1 ms;< 1 ms;33.39 Mbit/s;37.94 Mbit/s;0.0 %;20.17 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 07:23;38.8 Mbit/s;36.81 Mbit/s;< 1 ms;< 1 ms;36.22 Mbit/s;37.26 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:23;38.4 Mbit/s;36.98 Mbit/s;6.05 ms;< 1 ms;37.75 Mbit/s;37.89 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:23;39.94 Mbit/s;37.76 Mbit/s;< 1 ms;< 1 ms;39.05 Mbit/s;38.55 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:23;40.03 Mbit/s;39.58 Mbit/s;< 1 ms;< 1 ms;39.05 Mbit/s;38.99 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
