dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 10:34;39.24 Mbit/s;36.32 Mbit/s;< 1 ms;< 1 ms;38.81 Mbit/s;37.83 Mbit/s;0.0 %;5.93 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:34;33.74 Mbit/s;38.01 Mbit/s;< 1 ms;4.47 ms;36.01 Mbit/s;38.67 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:33;39.9 Mbit/s;33.4 Mbit/s;< 1 ms;< 1 ms;36.73 Mbit/s;34.22 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:33;35.57 Mbit/s;37.28 Mbit/s;< 1 ms;< 1 ms;37.2 Mbit/s;37.67 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:33;37.58 Mbit/s;37.44 Mbit/s;< 1 ms;< 1 ms;37.1 Mbit/s;37.93 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:33;38.07 Mbit/s;39.44 Mbit/s;< 1 ms;< 1 ms;38.1 Mbit/s;38.46 Mbit/s;0.0 %;5.62 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:33;38.76 Mbit/s;39.26 Mbit/s;< 1 ms;< 1 ms;38.37 Mbit/s;39.03 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:33;40.03 Mbit/s;39.33 Mbit/s;< 1 ms;< 1 ms;39.02 Mbit/s;39.02 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 02:33;40.02 Mbit/s;37.94 Mbit/s;< 1 ms;< 1 ms;38.98 Mbit/s;38.68 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 01:33;40.06 Mbit/s;39.17 Mbit/s;< 1 ms;1.79 ms;38.99 Mbit/s;38.83 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 00:33;40.02 Mbit/s;39.23 Mbit/s;< 1 ms;< 1 ms;38.93 Mbit/s;38.9 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 23:33;39.26 Mbit/s;39.21 Mbit/s;< 1 ms;< 1 ms;38.7 Mbit/s;39.03 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:33;39.95 Mbit/s;39.23 Mbit/s;< 1 ms;< 1 ms;38.96 Mbit/s;38.75 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 21:33;40.04 Mbit/s;39.26 Mbit/s;< 1 ms;< 1 ms;38.97 Mbit/s;38.8 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 20:33;39.69 Mbit/s;39.22 Mbit/s;< 1 ms;< 1 ms;38.79 Mbit/s;39.04 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 19:33;27.06 Mbit/s;38.05 Mbit/s;< 1 ms;< 1 ms;28.96 Mbit/s;38.06 Mbit/s;0.67 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:33;37.55 Mbit/s;39.02 Mbit/s;< 1 ms;< 1 ms;37.93 Mbit/s;38.93 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:33;37.16 Mbit/s;39.2 Mbit/s;2.78 ms;< 1 ms;37.96 Mbit/s;39.01 Mbit/s;0.0 %;5.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 15:33;38.12 Mbit/s;39.22 Mbit/s;< 1 ms;< 1 ms;37.62 Mbit/s;38.26 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 14:33;40.0 Mbit/s;39.37 Mbit/s;< 1 ms;< 1 ms;38.98 Mbit/s;38.62 Mbit/s;0.0 %;5.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
