dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
25/10/15 11:55;38.67 Mbit/s;38.44 Mbit/s;< 1 ms;< 1 ms;37.56 Mbit/s;37.33 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/10/15 10:55;34.78 Mbit/s;38.41 Mbit/s;1.51 ms;< 1 ms;36.39 Mbit/s;37.04 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 09:55;39.01 Mbit/s;38.36 Mbit/s;< 1 ms;< 1 ms;38.05 Mbit/s;38.05 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/10/15 07:55;38.74 Mbit/s;38.53 Mbit/s;< 1 ms;< 1 ms;38.0 Mbit/s;37.65 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/10/15 06:55;38.98 Mbit/s;38.43 Mbit/s;< 1 ms;< 1 ms;38.06 Mbit/s;38.11 Mbit/s;0.0 %;6.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 05:55;39.0 Mbit/s;36.77 Mbit/s;< 1 ms;< 1 ms;36.77 Mbit/s;37.79 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/10/15 04:55;37.5 Mbit/s;38.62 Mbit/s;< 1 ms;< 1 ms;37.58 Mbit/s;37.63 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/10/15 03:55;39.02 Mbit/s;38.7 Mbit/s;3.29 ms;< 1 ms;37.78 Mbit/s;37.06 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 02:55;38.34 Mbit/s;38.33 Mbit/s;< 1 ms;< 1 ms;37.69 Mbit/s;34.84 Mbit/s;0.0 %;253.98 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/10/15 01:55;38.99 Mbit/s;38.52 Mbit/s;< 1 ms;< 1 ms;38.06 Mbit/s;38.08 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/10/15 00:55;35.8 Mbit/s;38.54 Mbit/s;< 1 ms;< 1 ms;36.14 Mbit/s;38.14 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 23:55;39.07 Mbit/s;37.1 Mbit/s;< 1 ms;< 1 ms;37.39 Mbit/s;37.68 Mbit/s;0.0 %;4.47 ms;NIC.br nodo 2;;;;;
24/10/15 22:55;38.47 Mbit/s;35.85 Mbit/s;< 1 ms;< 1 ms;37.71 Mbit/s;34.79 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 21:55;35.64 Mbit/s;38.49 Mbit/s;< 1 ms;< 1 ms;36.46 Mbit/s;37.58 Mbit/s;0.0 %;4.48 ms;NIC.br nodo 2;;;;;
24/10/15 20:55;37.31 Mbit/s;35.64 Mbit/s;< 1 ms;< 1 ms;36.35 Mbit/s;36.89 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/10/15 19:55;39.03 Mbit/s;38.54 Mbit/s;< 1 ms;< 1 ms;37.62 Mbit/s;37.69 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/10/15 18:55;37.59 Mbit/s;38.65 Mbit/s;< 1 ms;< 1 ms;37.5 Mbit/s;36.31 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 17:55;38.72 Mbit/s;37.03 Mbit/s;< 1 ms;< 1 ms;37.33 Mbit/s;36.9 Mbit/s;0.0 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/10/15 16:55;38.98 Mbit/s;38.42 Mbit/s;< 1 ms;< 1 ms;37.83 Mbit/s;38.07 Mbit/s;0.0 %;6.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/10/15 15:55;37.9 Mbit/s;38.23 Mbit/s;< 1 ms;< 1 ms;36.2 Mbit/s;35.11 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 14:55;33.03 Mbit/s;37.96 Mbit/s;5.09 ms;< 1 ms;32.62 Mbit/s;37.31 Mbit/s;0.0 %;7.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 13:55;38.81 Mbit/s;38.53 Mbit/s;< 1 ms;2.78 ms;37.96 Mbit/s;37.02 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/10/15 12:55;38.83 Mbit/s;35.49 Mbit/s;< 1 ms;< 1 ms;36.56 Mbit/s;34.14 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/10/15 11:55;38.97 Mbit/s;36.74 Mbit/s;1.75 ms;< 1 ms;37.4 Mbit/s;37.12 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 10:55;37.42 Mbit/s;38.58 Mbit/s;6.75 ms;< 1 ms;37.61 Mbit/s;38.11 Mbit/s;0.0 %;7.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 09:55;36.12 Mbit/s;38.45 Mbit/s;< 1 ms;< 1 ms;33.63 Mbit/s;37.9 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/10/15 08:55;39.01 Mbit/s;38.23 Mbit/s;< 1 ms;< 1 ms;38.05 Mbit/s;37.7 Mbit/s;0.0 %;4.56 ms;NIC.br nodo 2;;;;;
24/10/15 07:55;35.38 Mbit/s;37.36 Mbit/s;< 1 ms;< 1 ms;36.77 Mbit/s;37.42 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/10/15 06:55;39.0 Mbit/s;35.48 Mbit/s;< 1 ms;< 1 ms;36.88 Mbit/s;37.07 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/10/15 05:55;38.72 Mbit/s;38.52 Mbit/s;< 1 ms;< 1 ms;38.0 Mbit/s;38.16 Mbit/s;0.0 %;5.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 04:55;39.0 Mbit/s;38.52 Mbit/s;< 1 ms;< 1 ms;34.75 Mbit/s;38.12 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/10/15 03:55;34.64 Mbit/s;37.66 Mbit/s;< 1 ms;< 1 ms;36.47 Mbit/s;37.75 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/10/15 02:55;38.59 Mbit/s;38.21 Mbit/s;< 1 ms;< 1 ms;37.73 Mbit/s;37.71 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 01:55;39.02 Mbit/s;38.4 Mbit/s;< 1 ms;< 1 ms;37.98 Mbit/s;38.06 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/10/15 01:02;39.0 Mbit/s;38.6 Mbit/s;< 1 ms;< 1 ms;37.94 Mbit/s;38.09 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 00:55;37.57 Mbit/s;38.54 Mbit/s;< 1 ms;< 1 ms;36.94 Mbit/s;38.03 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/10/15 23:55;38.82 Mbit/s;38.5 Mbit/s;< 1 ms;< 1 ms;38.06 Mbit/s;38.04 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/10/15 22:55;37.3 Mbit/s;38.42 Mbit/s;< 1 ms;< 1 ms;37.54 Mbit/s;37.43 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
