dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:04;48.66 Mbit/s;44.58 Mbit/s;< 1 ms;< 1 ms;47.76 Mbit/s;46.64 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 13:04;48.26 Mbit/s;39.88 Mbit/s;< 1 ms;< 1 ms;36.2 Mbit/s;42.54 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:04;43.98 Mbit/s;45.15 Mbit/s;< 1 ms;< 1 ms;46.77 Mbit/s;47.54 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:04;37.96 Mbit/s;46.53 Mbit/s;< 1 ms;1.48 ms;39.01 Mbit/s;47.66 Mbit/s;0.0 %;5.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:04;51.41 Mbit/s;43.84 Mbit/s;< 1 ms;< 1 ms;50.56 Mbit/s;46.65 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:04;25.64 Mbit/s;48.6 Mbit/s;< 1 ms;< 1 ms;27.58 Mbit/s;49.39 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 08:04;45.87 Mbit/s;45.22 Mbit/s;< 1 ms;< 1 ms;46.61 Mbit/s;47.93 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:04;42.7 Mbit/s;39.54 Mbit/s;< 1 ms;1.13 ms;44.88 Mbit/s;41.69 Mbit/s;0.0 %;5.8 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:04;51.0 Mbit/s;44.56 Mbit/s;< 1 ms;< 1 ms;48.83 Mbit/s;47.38 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 05:04;48.86 Mbit/s;42.48 Mbit/s;< 1 ms;< 1 ms;49.71 Mbit/s;45.07 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 04:05;51.39 Mbit/s;42.75 Mbit/s;< 1 ms;< 1 ms;50.35 Mbit/s;45.42 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:04;50.64 Mbit/s;42.99 Mbit/s;< 1 ms;< 1 ms;50.3 Mbit/s;45.81 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:04;51.31 Mbit/s;43.55 Mbit/s;< 1 ms;1.17 ms;50.64 Mbit/s;46.36 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:04;51.59 Mbit/s;43.58 Mbit/s;1.89 ms;< 1 ms;50.63 Mbit/s;46.38 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:04;50.73 Mbit/s;43.18 Mbit/s;< 1 ms;1.14 ms;49.88 Mbit/s;46.01 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:04;50.65 Mbit/s;46.03 Mbit/s;< 1 ms;< 1 ms;50.26 Mbit/s;48.57 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:04;52.05 Mbit/s;44.13 Mbit/s;< 1 ms;< 1 ms;50.58 Mbit/s;46.96 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:04;47.2 Mbit/s;48.0 Mbit/s;< 1 ms;< 1 ms;48.72 Mbit/s;49.69 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 19:04;47.8 Mbit/s;41.91 Mbit/s;< 1 ms;< 1 ms;48.76 Mbit/s;45.06 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 18:04;47.35 Mbit/s;47.59 Mbit/s;< 1 ms;< 1 ms;48.88 Mbit/s;49.65 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 17:04;51.6 Mbit/s;43.71 Mbit/s;< 1 ms;< 1 ms;50.18 Mbit/s;46.78 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:04;51.19 Mbit/s;42.71 Mbit/s;< 1 ms;< 1 ms;50.35 Mbit/s;45.56 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 15:04;51.52 Mbit/s;37.2 Mbit/s;< 1 ms;< 1 ms;50.41 Mbit/s;39.6 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 14:04;47.58 Mbit/s;45.89 Mbit/s;< 1 ms;< 1 ms;47.21 Mbit/s;47.8 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 13:04;40.26 Mbit/s;44.44 Mbit/s;< 1 ms;< 1 ms;43.78 Mbit/s;47.27 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 12:04;50.05 Mbit/s;45.55 Mbit/s;< 1 ms;< 1 ms;50.08 Mbit/s;44.57 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:04;48.68 Mbit/s;40.16 Mbit/s;< 1 ms;< 1 ms;49.37 Mbit/s;42.21 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 10:04;46.32 Mbit/s;45.55 Mbit/s;< 1 ms;1.44 ms;46.81 Mbit/s;47.99 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 09:04;48.06 Mbit/s;44.5 Mbit/s;< 1 ms;1.84 ms;49.3 Mbit/s;46.81 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:04;50.81 Mbit/s;40.12 Mbit/s;< 1 ms;3.62 ms;50.49 Mbit/s;42.75 Mbit/s;0.0 %;4.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 06:04;50.25 Mbit/s;45.71 Mbit/s;1.21 ms;< 1 ms;50.02 Mbit/s;48.03 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:04;51.41 Mbit/s;46.58 Mbit/s;< 1 ms;1.32 ms;49.82 Mbit/s;48.59 Mbit/s;0.0 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:04;51.23 Mbit/s;46.16 Mbit/s;2.24 ms;1.7 ms;49.38 Mbit/s;48.67 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:04;51.13 Mbit/s;36.8 Mbit/s;< 1 ms;2.9 ms;50.43 Mbit/s;39.15 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:04;50.77 Mbit/s;43.74 Mbit/s;< 1 ms;< 1 ms;49.61 Mbit/s;46.61 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 01:04;52.06 Mbit/s;42.27 Mbit/s;< 1 ms;1.64 ms;50.77 Mbit/s;44.97 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 00:04;49.84 Mbit/s;43.41 Mbit/s;< 1 ms;4.91 ms;48.52 Mbit/s;46.29 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 23:04;51.53 Mbit/s;42.44 Mbit/s;< 1 ms;1.3 ms;50.02 Mbit/s;43.62 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 22:04;51.85 Mbit/s;43.16 Mbit/s;< 1 ms;1.45 ms;50.59 Mbit/s;46.0 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:04;52.01 Mbit/s;43.29 Mbit/s;1.01 ms;< 1 ms;48.92 Mbit/s;46.16 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:04;51.83 Mbit/s;42.58 Mbit/s;< 1 ms;< 1 ms;49.42 Mbit/s;45.3 Mbit/s;0.0 %;5.06 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 19:04;48.12 Mbit/s;42.26 Mbit/s;< 1 ms;1.21 ms;49.5 Mbit/s;44.9 Mbit/s;0.0 %;4.86 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 18:04;51.62 Mbit/s;43.52 Mbit/s;< 1 ms;< 1 ms;50.73 Mbit/s;46.3 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
