dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:45;8.94 Mbit/s;15.74 Mbit/s;< 1 ms;< 1 ms;9.8 Mbit/s;16.46 Mbit/s;0.0 %;4.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:45;7.13 Mbit/s;17.12 Mbit/s;< 1 ms;< 1 ms;7.72 Mbit/s;16.63 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:45;18.64 Mbit/s;17.26 Mbit/s;< 1 ms;2.34 ms;18.26 Mbit/s;16.92 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:45;8.53 Mbit/s;16.76 Mbit/s;< 1 ms;< 1 ms;5.76 Mbit/s;17.11 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:45;11.39 Mbit/s;17.36 Mbit/s;< 1 ms;< 1 ms;10.98 Mbit/s;16.85 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:45;10.11 Mbit/s;16.18 Mbit/s;3.57 ms;< 1 ms;9.65 Mbit/s;17.0 Mbit/s;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:45;9.47 Mbit/s;17.6 Mbit/s;< 1 ms;< 1 ms;9.15 Mbit/s;17.12 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:45;9.34 Mbit/s;15.89 Mbit/s;< 1 ms;< 1 ms;10.26 Mbit/s;16.15 Mbit/s;0.0 %;4.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:45;9.39 Mbit/s;15.15 Mbit/s;< 1 ms;< 1 ms;9.84 Mbit/s;15.86 Mbit/s;0.0 %;4.05 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:45;9.39 Mbit/s;14.29 Mbit/s;< 1 ms;< 1 ms;9.75 Mbit/s;15.0 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:45;9.72 Mbit/s;17.1 Mbit/s;< 1 ms;< 1 ms;10.69 Mbit/s;17.63 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:45;9.84 Mbit/s;16.23 Mbit/s;< 1 ms;< 1 ms;10.84 Mbit/s;17.05 Mbit/s;0.0 %;4.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:45;9.6 Mbit/s;14.68 Mbit/s;< 1 ms;< 1 ms;9.94 Mbit/s;15.69 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:45;9.3 Mbit/s;14.69 Mbit/s;< 1 ms;< 1 ms;9.59 Mbit/s;15.47 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:45;7.13 Mbit/s;12.45 Mbit/s;< 1 ms;< 1 ms;7.51 Mbit/s;13.13 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 22:45;9.66 Mbit/s;15.1 Mbit/s;< 1 ms;< 1 ms;10.25 Mbit/s;13.95 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 21:45;8.21 Mbit/s;13.68 Mbit/s;< 1 ms;< 1 ms;8.45 Mbit/s;13.87 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:45;632.91 kbit/s;6.26 Mbit/s;< 1 ms;< 1 ms;689.45 kbit/s;6.67 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:45;9.14 Mbit/s;14.41 Mbit/s;< 1 ms;< 1 ms;9.74 Mbit/s;15.27 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 18:45;9.52 Mbit/s;13.51 Mbit/s;< 1 ms;4.81 ms;10.13 Mbit/s;14.36 Mbit/s;0.0 %;4.04 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:45;11.84 Mbit/s;18.87 Mbit/s;8.41 ms;< 1 ms;12.42 Mbit/s;18.64 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 16:45;15.78 Mbit/s;17.06 Mbit/s;< 1 ms;2.11 ms;17.16 Mbit/s;17.8 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:45;17.99 Mbit/s;21.02 Mbit/s;< 1 ms;< 1 ms;19.41 Mbit/s;20.56 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 14:45;9.65 Mbit/s;16.04 Mbit/s;< 1 ms;1.23 ms;10.6 Mbit/s;16.77 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 13:45;17.3 Mbit/s;17.29 Mbit/s;< 1 ms;< 1 ms;12.45 Mbit/s;18.1 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 12:45;7.16 Mbit/s;17.92 Mbit/s;< 1 ms;< 1 ms;-;4.48 Mbit/s;0.0 %;18.26 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 11:45;9.33 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;9.3 Mbit/s;24.89 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 10:45;12.08 Mbit/s;31.99 Mbit/s;< 1 ms;< 1 ms;10.16 Mbit/s;33.99 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 09:45;13.18 Mbit/s;34.11 Mbit/s;< 1 ms;< 1 ms;13.94 Mbit/s;35.96 Mbit/s;0.0 %;4.07 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 08:45;9.98 Mbit/s;25.2 Mbit/s;< 1 ms;1.57 ms;10.39 Mbit/s;27.32 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 07:45;9.45 Mbit/s;29.39 Mbit/s;< 1 ms;< 1 ms;9.73 Mbit/s;31.31 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 06:46;6.7 Mbit/s;16.61 Mbit/s;< 1 ms;< 1 ms;4.29 Mbit/s;17.83 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 05:45;4.8 Mbit/s;19.52 Mbit/s;< 1 ms;< 1 ms;5.17 Mbit/s;21.08 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 04:45;5.98 Mbit/s;14.18 Mbit/s;< 1 ms;< 1 ms;5.84 Mbit/s;15.15 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 03:45;6.55 Mbit/s;15.5 Mbit/s;< 1 ms;< 1 ms;6.88 Mbit/s;16.65 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 01:45;8.02 Mbit/s;19.85 Mbit/s;< 1 ms;< 1 ms;7.79 Mbit/s;21.11 Mbit/s;0.0 %;4.7 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 00:45;8.9 Mbit/s;23.84 Mbit/s;< 1 ms;< 1 ms;8.83 Mbit/s;25.28 Mbit/s;0.0 %;4.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 23:45;11.01 Mbit/s;29.68 Mbit/s;< 1 ms;< 1 ms;9.94 Mbit/s;26.76 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
