dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:11;50.81 Mbit/s;42.39 Mbit/s;< 1 ms;< 1 ms;49.7 Mbit/s;45.1 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 13:11;50.85 Mbit/s;43.47 Mbit/s;< 1 ms;< 1 ms;49.28 Mbit/s;46.24 Mbit/s;0.0 %;2.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:11;48.47 Mbit/s;47.3 Mbit/s;4.32 ms;< 1 ms;48.52 Mbit/s;48.53 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:11;50.81 Mbit/s;42.48 Mbit/s;< 1 ms;< 1 ms;49.32 Mbit/s;45.18 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:11;50.77 Mbit/s;43.46 Mbit/s;< 1 ms;< 1 ms;49.5 Mbit/s;46.08 Mbit/s;0.0 %;2.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:11;50.95 Mbit/s;43.46 Mbit/s;< 1 ms;2.38 ms;49.42 Mbit/s;45.94 Mbit/s;0.0 %;2.03 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:11;50.97 Mbit/s;42.79 Mbit/s;< 1 ms;< 1 ms;49.6 Mbit/s;44.99 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:11;49.66 Mbit/s;41.46 Mbit/s;< 1 ms;< 1 ms;49.11 Mbit/s;41.74 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:11;49.68 Mbit/s;42.72 Mbit/s;< 1 ms;< 1 ms;48.93 Mbit/s;45.34 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:12;51.03 Mbit/s;42.91 Mbit/s;< 1 ms;< 1 ms;49.3 Mbit/s;45.69 Mbit/s;0.0 %;2.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:11;49.77 Mbit/s;43.04 Mbit/s;< 1 ms;1.07 ms;48.82 Mbit/s;45.73 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:11;50.99 Mbit/s;43.05 Mbit/s;< 1 ms;< 1 ms;49.58 Mbit/s;45.73 Mbit/s;0.0 %;2.24 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:11;51.02 Mbit/s;42.92 Mbit/s;< 1 ms;< 1 ms;49.81 Mbit/s;45.64 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 00:11;50.13 Mbit/s;42.88 Mbit/s;< 1 ms;< 1 ms;49.25 Mbit/s;45.53 Mbit/s;0.0 %;2.07 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:11;48.05 Mbit/s;42.67 Mbit/s;< 1 ms;< 1 ms;48.8 Mbit/s;44.78 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:11;50.65 Mbit/s;43.08 Mbit/s;< 1 ms;< 1 ms;49.23 Mbit/s;45.74 Mbit/s;0.0 %;2.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:11;46.91 Mbit/s;46.79 Mbit/s;< 1 ms;< 1 ms;47.54 Mbit/s;48.6 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 19:11;45.43 Mbit/s;45.34 Mbit/s;< 1 ms;< 1 ms;45.99 Mbit/s;47.5 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 18:11;46.96 Mbit/s;44.52 Mbit/s;< 1 ms;< 1 ms;47.82 Mbit/s;42.41 Mbit/s;0.0 %;2.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 17:11;49.88 Mbit/s;41.89 Mbit/s;< 1 ms;< 1 ms;49.15 Mbit/s;44.5 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:11;50.69 Mbit/s;42.83 Mbit/s;< 1 ms;< 1 ms;49.34 Mbit/s;45.32 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 15:11;45.23 Mbit/s;43.2 Mbit/s;< 1 ms;< 1 ms;47.38 Mbit/s;45.77 Mbit/s;0.0 %;2.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 14:11;50.99 Mbit/s;42.66 Mbit/s;< 1 ms;< 1 ms;49.69 Mbit/s;45.31 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 13:11;50.53 Mbit/s;43.28 Mbit/s;< 1 ms;1.25 ms;49.18 Mbit/s;45.87 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 12:11;50.93 Mbit/s;43.37 Mbit/s;< 1 ms;< 1 ms;49.33 Mbit/s;45.91 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 11:11;49.56 Mbit/s;36.44 Mbit/s;< 1 ms;< 1 ms;49.4 Mbit/s;38.13 Mbit/s;0.0 %;2.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 10:11;51.03 Mbit/s;43.33 Mbit/s;< 1 ms;< 1 ms;49.32 Mbit/s;46.07 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 09:11;51.05 Mbit/s;43.52 Mbit/s;< 1 ms;< 1 ms;49.82 Mbit/s;45.92 Mbit/s;0.0 %;2.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 08:11;51.06 Mbit/s;43.03 Mbit/s;< 1 ms;1.58 ms;49.81 Mbit/s;45.71 Mbit/s;0.0 %;2.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 07:11;49.22 Mbit/s;42.96 Mbit/s;< 1 ms;< 1 ms;48.99 Mbit/s;45.62 Mbit/s;0.0 %;2.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 06:11;51.03 Mbit/s;42.99 Mbit/s;< 1 ms;< 1 ms;49.82 Mbit/s;44.99 Mbit/s;0.0 %;2.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 04:11;51.04 Mbit/s;43.19 Mbit/s;< 1 ms;1.59 ms;49.29 Mbit/s;45.83 Mbit/s;0.0 %;2.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 03:11;50.35 Mbit/s;43.02 Mbit/s;4.37 ms;< 1 ms;49.61 Mbit/s;45.4 Mbit/s;0.0 %;2.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 02:11;51.04 Mbit/s;43.24 Mbit/s;< 1 ms;< 1 ms;49.61 Mbit/s;45.88 Mbit/s;0.0 %;2.05 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 01:11;48.12 Mbit/s;42.59 Mbit/s;< 1 ms;< 1 ms;48.29 Mbit/s;45.26 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 00:11;50.64 Mbit/s;43.22 Mbit/s;< 1 ms;< 1 ms;49.48 Mbit/s;45.7 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 23:11;50.96 Mbit/s;43.62 Mbit/s;< 1 ms;2.02 ms;49.52 Mbit/s;46.27 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 22:11;51.03 Mbit/s;43.02 Mbit/s;< 1 ms;< 1 ms;49.67 Mbit/s;45.67 Mbit/s;0.0 %;2.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:11;50.61 Mbit/s;43.21 Mbit/s;< 1 ms;< 1 ms;49.73 Mbit/s;45.8 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 20:11;51.07 Mbit/s;43.33 Mbit/s;< 1 ms;< 1 ms;49.81 Mbit/s;45.93 Mbit/s;0.0 %;2.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 19:11;49.3 Mbit/s;43.27 Mbit/s;< 1 ms;< 1 ms;49.09 Mbit/s;45.68 Mbit/s;0.0 %;2.21 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 18:11;51.01 Mbit/s;43.13 Mbit/s;< 1 ms;< 1 ms;49.82 Mbit/s;45.79 Mbit/s;0.0 %;2.57 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 17:11;50.98 Mbit/s;43.34 Mbit/s;< 1 ms;< 1 ms;49.49 Mbit/s;45.92 Mbit/s;0.0 %;2.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 16:11;51.03 Mbit/s;43.09 Mbit/s;< 1 ms;< 1 ms;49.59 Mbit/s;45.55 Mbit/s;0.0 %;2.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 15:11;50.31 Mbit/s;42.56 Mbit/s;< 1 ms;< 1 ms;49.32 Mbit/s;45.24 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 14:11;50.47 Mbit/s;43.42 Mbit/s;< 1 ms;< 1 ms;49.31 Mbit/s;46.09 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 13:11;49.58 Mbit/s;43.32 Mbit/s;< 1 ms;< 1 ms;49.28 Mbit/s;45.95 Mbit/s;0.0 %;2.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 12:11;50.94 Mbit/s;42.37 Mbit/s;< 1 ms;< 1 ms;49.47 Mbit/s;45.14 Mbit/s;0.0 %;2.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 11:11;48.3 Mbit/s;42.65 Mbit/s;< 1 ms;< 1 ms;48.47 Mbit/s;45.68 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 10:11;51.06 Mbit/s;43.01 Mbit/s;< 1 ms;1.31 ms;49.63 Mbit/s;45.45 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 09:11;50.31 Mbit/s;43.04 Mbit/s;< 1 ms;< 1 ms;49.44 Mbit/s;45.72 Mbit/s;0.0 %;2.51 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 08:11;51.07 Mbit/s;42.87 Mbit/s;< 1 ms;< 1 ms;49.83 Mbit/s;45.51 Mbit/s;0.0 %;2.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 07:11;49.87 Mbit/s;42.66 Mbit/s;< 1 ms;< 1 ms;49.29 Mbit/s;45.39 Mbit/s;0.0 %;2.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 06:11;50.99 Mbit/s;43.23 Mbit/s;< 1 ms;< 1 ms;49.82 Mbit/s;45.9 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 05:11;51.12 Mbit/s;42.53 Mbit/s;< 1 ms;< 1 ms;49.82 Mbit/s;45.11 Mbit/s;0.0 %;2.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 04:11;50.98 Mbit/s;42.77 Mbit/s;< 1 ms;< 1 ms;49.22 Mbit/s;45.47 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 03:11;49.35 Mbit/s;43.32 Mbit/s;< 1 ms;< 1 ms;49.0 Mbit/s;46.02 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 02:11;51.07 Mbit/s;42.8 Mbit/s;< 1 ms;< 1 ms;49.81 Mbit/s;45.49 Mbit/s;0.0 %;2.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 01:11;50.8 Mbit/s;42.28 Mbit/s;< 1 ms;< 1 ms;49.76 Mbit/s;44.82 Mbit/s;0.0 %;2.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 00:11;46.46 Mbit/s;47.86 Mbit/s;< 1 ms;< 1 ms;48.29 Mbit/s;49.0 Mbit/s;0.0 %;2.06 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 23:11;49.42 Mbit/s;41.11 Mbit/s;1.02 ms;< 1 ms;48.49 Mbit/s;42.62 Mbit/s;0.0 %;2.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 22:11;49.76 Mbit/s;42.76 Mbit/s;< 1 ms;< 1 ms;48.9 Mbit/s;45.57 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 21:11;48.61 Mbit/s;42.3 Mbit/s;< 1 ms;< 1 ms;48.38 Mbit/s;44.91 Mbit/s;0.0 %;2.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 20:11;50.48 Mbit/s;48.03 Mbit/s;< 1 ms;< 1 ms;49.67 Mbit/s;49.0 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 19:11;49.43 Mbit/s;43.15 Mbit/s;< 1 ms;< 1 ms;49.06 Mbit/s;45.83 Mbit/s;0.0 %;2.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 18:11;47.94 Mbit/s;41.31 Mbit/s;< 1 ms;< 1 ms;48.05 Mbit/s;43.87 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 17:11;48.67 Mbit/s;42.13 Mbit/s;< 1 ms;2.13 ms;48.11 Mbit/s;44.79 Mbit/s;0.0 %;2.06 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
