dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 12:13;44.77 Mbit/s;44.15 Mbit/s;< 1 ms;< 1 ms;48.67 Mbit/s;46.98 Mbit/s;0.0 %;4.86 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 09:13;42.33 Mbit/s;45.33 Mbit/s;< 1 ms;< 1 ms;45.31 Mbit/s;48.17 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:13;46.43 Mbit/s;42.24 Mbit/s;< 1 ms;< 1 ms;50.84 Mbit/s;42.7 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:13;48.73 Mbit/s;43.97 Mbit/s;< 1 ms;< 1 ms;53.0 Mbit/s;46.95 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:13;52.06 Mbit/s;43.26 Mbit/s;< 1 ms;< 1 ms;56.96 Mbit/s;45.91 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 21:13;47.03 Mbit/s;42.95 Mbit/s;< 1 ms;< 1 ms;51.21 Mbit/s;45.75 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:13;43.9 Mbit/s;43.83 Mbit/s;< 1 ms;< 1 ms;48.06 Mbit/s;46.62 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 15:13;49.14 Mbit/s;44.39 Mbit/s;< 1 ms;< 1 ms;53.69 Mbit/s;47.23 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 12:13;48.2 Mbit/s;44.7 Mbit/s;< 1 ms;< 1 ms;52.72 Mbit/s;45.35 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 09:13;44.12 Mbit/s;45.34 Mbit/s;< 1 ms;< 1 ms;46.83 Mbit/s;48.21 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 06:13;46.75 Mbit/s;42.78 Mbit/s;< 1 ms;< 1 ms;51.45 Mbit/s;45.46 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 03:13;53.48 Mbit/s;43.49 Mbit/s;< 1 ms;< 1 ms;58.89 Mbit/s;46.23 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 00:13;48.62 Mbit/s;43.88 Mbit/s;< 1 ms;< 1 ms;48.7 Mbit/s;46.73 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:13;54.24 Mbit/s;43.99 Mbit/s;< 1 ms;< 1 ms;59.45 Mbit/s;47.0 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 18:13;46.47 Mbit/s;42.72 Mbit/s;< 1 ms;< 1 ms;50.05 Mbit/s;45.34 Mbit/s;0.0 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 15:13;47.74 Mbit/s;44.41 Mbit/s;1.22 ms;< 1 ms;51.54 Mbit/s;47.22 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 12:13;48.62 Mbit/s;45.62 Mbit/s;< 1 ms;< 1 ms;53.36 Mbit/s;48.58 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 09:13;45.11 Mbit/s;43.27 Mbit/s;< 1 ms;< 1 ms;49.54 Mbit/s;46.14 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 06:13;56.63 Mbit/s;42.09 Mbit/s;< 1 ms;< 1 ms;62.21 Mbit/s;44.92 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
