dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:42;24.77 Mbit/s;24.31 Mbit/s;< 1 ms;3.09 ms;24.38 Mbit/s;24.33 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:42;23.65 Mbit/s;24.35 Mbit/s;< 1 ms;< 1 ms;23.94 Mbit/s;24.07 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:42;24.9 Mbit/s;23.29 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;23.74 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:42;24.81 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;24.08 Mbit/s;24.19 Mbit/s;0.0 %;4.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:42;24.88 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.29 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:42;24.87 Mbit/s;24.44 Mbit/s;< 1 ms;< 1 ms;24.38 Mbit/s;24.34 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:42;24.07 Mbit/s;24.59 Mbit/s;< 1 ms;1.53 ms;24.1 Mbit/s;24.26 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:42;24.92 Mbit/s;24.26 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;23.93 Mbit/s;0.0 %;4.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 05:42;25.07 Mbit/s;24.43 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;24.25 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:42;24.77 Mbit/s;24.53 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;24.37 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:42;24.6 Mbit/s;24.51 Mbit/s;< 1 ms;1.29 ms;23.94 Mbit/s;24.28 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:42;24.92 Mbit/s;24.51 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.18 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:42;24.86 Mbit/s;24.29 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;24.31 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:42;24.96 Mbit/s;24.41 Mbit/s;< 1 ms;< 1 ms;24.41 Mbit/s;24.36 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:42;24.98 Mbit/s;24.4 Mbit/s;< 1 ms;1.13 ms;24.41 Mbit/s;24.36 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
