dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:42;11.0 Mbit/s;8.27 Mbit/s;< 1 ms;< 1 ms;11.68 Mbit/s;8.88 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:42;9.69 Mbit/s;11.1 Mbit/s;< 1 ms;< 1 ms;8.35 Mbit/s;8.96 Mbit/s;0.67 %;4.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:42;7.67 Mbit/s;9.67 Mbit/s;< 1 ms;< 1 ms;8.34 Mbit/s;10.16 Mbit/s;0.0 %;5.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:42;8.17 Mbit/s;7.78 Mbit/s;2.11 ms;8.23 ms;7.84 Mbit/s;8.09 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:42;2.03 Mbit/s;2.16 Mbit/s;7.57 ms;< 1 ms;143.13 kbit/s;2.32 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:42;86.35 kbit/s;476.41 kbit/s;< 1 ms;6.97 ms;88.15 kbit/s;459.81 kbit/s;0.0 %;5.06 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:42;8.55 Mbit/s;4.96 Mbit/s;< 1 ms;< 1 ms;9.38 Mbit/s;5.33 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:42;10.48 Mbit/s;8.81 Mbit/s;< 1 ms;< 1 ms;11.0 Mbit/s;9.28 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:42;9.87 Mbit/s;8.84 Mbit/s;< 1 ms;< 1 ms;10.22 Mbit/s;9.06 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:42;11.1 Mbit/s;9.58 Mbit/s;< 1 ms;< 1 ms;11.23 Mbit/s;10.19 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:42;14.7 Mbit/s;10.96 Mbit/s;< 1 ms;< 1 ms;11.87 Mbit/s;11.52 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
