dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
13/08/15 21:38;-;2.41 Mbit/s;3.33 ms;25.32 ms;-;-;0.0 %;5.94 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/08/15 20:38;10.2 Mbit/s;5.62 Mbit/s;22.85 ms;1.49 ms;11.15 Mbit/s;5.99 Mbit/s;0.0 %;23.82 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/08/15 19:38;10.01 Mbit/s;6.84 Mbit/s;4.5 ms;1.33 ms;10.9 Mbit/s;7.23 Mbit/s;0.0 %;8.69 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/08/15 18:38;3.0 Mbit/s;1.48 Mbit/s;6.55 ms;29.5 ms;3.26 Mbit/s;1.09 Mbit/s;1.37 %;28.56 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/08/15 16:38;6.44 Mbit/s;6.27 Mbit/s;< 1 ms;5.31 ms;7.01 Mbit/s;6.72 Mbit/s;0.68 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/08/15 15:38;10.48 Mbit/s;6.63 Mbit/s;< 1 ms;4.1 ms;11.49 Mbit/s;6.46 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/08/15 14:38;9.0 Mbit/s;7.18 Mbit/s;8.26 ms;6.98 ms;9.86 Mbit/s;7.58 Mbit/s;0.0 %;10.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/08/15 13:38;9.25 Mbit/s;6.82 Mbit/s;< 1 ms;5.04 ms;10.08 Mbit/s;7.18 Mbit/s;0.0 %;3.22 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/08/15 12:38;6.31 Mbit/s;707.34 kbit/s;7.61 ms;7.98 ms;6.92 Mbit/s;748.32 kbit/s;18.7 %;919.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/08/15 11:38;6.22 Mbit/s;2.85 Mbit/s;11.17 ms;22.46 ms;6.82 Mbit/s;3.03 Mbit/s;1.37 %;5.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/08/15 10:38;4.47 Mbit/s;2.74 Mbit/s;3.93 ms;3.13 ms;4.91 Mbit/s;2.8 Mbit/s;0.0 %;10.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/08/15 09:38;9.35 Mbit/s;5.12 Mbit/s;< 1 ms;3.6 ms;10.28 Mbit/s;5.47 Mbit/s;1.37 %;7.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
13/08/15 08:38;7.46 Mbit/s;6.89 Mbit/s;1.69 ms;41.84 ms;8.2 Mbit/s;7.32 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/08/15 07:38;2.63 Mbit/s;3.64 Mbit/s;1.87 ms;8.7 ms;2.88 Mbit/s;674.34 kbit/s;0.68 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/08/15 06:38;10.33 Mbit/s;7.05 Mbit/s;< 1 ms;< 1 ms;11.19 Mbit/s;7.29 Mbit/s;2.82 %;2.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/08/15 05:38;16.59 Mbit/s;8.7 Mbit/s;< 1 ms;< 1 ms;18.25 Mbit/s;9.36 Mbit/s;0.0 %;2.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/08/15 04:38;16.77 Mbit/s;9.25 Mbit/s;< 1 ms;< 1 ms;18.28 Mbit/s;9.92 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/08/15 03:38;15.46 Mbit/s;8.32 Mbit/s;< 1 ms;< 1 ms;16.86 Mbit/s;8.94 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/08/15 02:38;16.13 Mbit/s;9.89 Mbit/s;< 1 ms;< 1 ms;17.77 Mbit/s;10.54 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
13/08/15 01:38;16.34 Mbit/s;8.5 Mbit/s;1.47 ms;< 1 ms;17.98 Mbit/s;9.13 Mbit/s;0.0 %;2.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/08/15 00:38;17.9 Mbit/s;8.09 Mbit/s;< 1 ms;< 1 ms;19.66 Mbit/s;8.7 Mbit/s;0.0 %;2.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/08/15 23:38;15.79 Mbit/s;9.15 Mbit/s;< 1 ms;< 1 ms;17.4 Mbit/s;9.83 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/08/15 22:38;6.62 Mbit/s;4.16 Mbit/s;3.44 ms;3.9 ms;7.25 Mbit/s;4.42 Mbit/s;0.0 %;14.11 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/08/15 21:38;1.18 Mbit/s;1.31 Mbit/s;28.08 ms;31.55 ms;1.28 Mbit/s;1.33 Mbit/s;10.0 %;177.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/08/15 20:38;-;-;-;-;-;-;1.37 %;141.46 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/08/15 19:38;1.69 Mbit/s;1.85 Mbit/s;13.28 ms;32.38 ms;1.72 Mbit/s;1.89 Mbit/s;1.37 %;22.32 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
12/08/15 18:38;7.25 Mbit/s;5.85 Mbit/s;< 1 ms;11.89 ms;7.92 Mbit/s;6.2 Mbit/s;0.68 %;5.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/08/15 17:38;3.7 Mbit/s;2.77 Mbit/s;2.27 ms;1.05 ms;4.04 Mbit/s;2.84 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/08/15 16:38;2.99 Mbit/s;4.69 Mbit/s;2.5 ms;17.25 ms;3.26 Mbit/s;4.31 Mbit/s;9.02 %;184.0 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/08/15 15:38;-;5.82 Mbit/s;10.45 ms;2.5 ms;-;-;0.0 %;28.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/08/15 14:38;5.21 Mbit/s;5.97 Mbit/s;< 1 ms;4.52 ms;5.7 Mbit/s;6.28 Mbit/s;0.0 %;2.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/08/15 13:38;9.46 Mbit/s;7.63 Mbit/s;3.4 ms;4.51 ms;10.15 Mbit/s;8.05 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/08/15 12:38;5.73 Mbit/s;5.32 Mbit/s;3.28 ms;1.23 ms;6.01 Mbit/s;374.97 kbit/s;0.0 %;3.4 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/08/15 11:38;2.86 Mbit/s;1.8 Mbit/s;31.13 ms;1.96 ms;3.13 Mbit/s;1.04 Mbit/s;0.0 %;47.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
12/08/15 10:38;3.55 Mbit/s;1.93 Mbit/s;3.94 ms;53.81 ms;3.83 Mbit/s;1.57 Mbit/s;0.68 %;42.09 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/08/15 09:38;1.35 Mbit/s;369.32 kbit/s;8.81 ms;31.27 ms;962.62 kbit/s;238.25 kbit/s;2.08 %;86.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/08/15 08:38;1.39 Mbit/s;540.7 kbit/s;7.18 ms;29.45 ms;1.26 Mbit/s;548.88 kbit/s;0.0 %;36.84 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/08/15 07:38;2.84 Mbit/s;2.62 Mbit/s;19.92 ms;6.37 ms;3.12 Mbit/s;2.81 Mbit/s;1.37 %;127.91 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
12/08/15 06:38;9.29 Mbit/s;6.6 Mbit/s;1.15 ms;4.87 ms;10.06 Mbit/s;7.01 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
12/08/15 05:38;16.22 Mbit/s;8.87 Mbit/s;< 1 ms;< 1 ms;17.88 Mbit/s;9.53 Mbit/s;0.0 %;2.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
12/08/15 04:38;16.69 Mbit/s;9.62 Mbit/s;< 1 ms;< 1 ms;18.36 Mbit/s;10.34 Mbit/s;0.0 %;2.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
12/08/15 03:38;16.11 Mbit/s;8.04 Mbit/s;< 1 ms;< 1 ms;17.67 Mbit/s;8.65 Mbit/s;0.0 %;2.39 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
12/08/15 02:38;16.11 Mbit/s;7.77 Mbit/s;< 1 ms;< 1 ms;17.7 Mbit/s;8.35 Mbit/s;0.0 %;2.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
12/08/15 01:38;16.27 Mbit/s;8.18 Mbit/s;< 1 ms;1.05 ms;17.77 Mbit/s;8.79 Mbit/s;0.0 %;2.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
12/08/15 00:38;16.72 Mbit/s;8.67 Mbit/s;< 1 ms;< 1 ms;18.33 Mbit/s;9.32 Mbit/s;0.0 %;2.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/08/15 23:38;16.79 Mbit/s;7.98 Mbit/s;< 1 ms;< 1 ms;17.68 Mbit/s;8.2 Mbit/s;0.0 %;2.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/08/15 22:38;6.36 Mbit/s;5.57 Mbit/s;1.28 ms;1.36 ms;6.94 Mbit/s;3.67 Mbit/s;1.37 %;35.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/08/15 20:38;12.17 Mbit/s;7.95 Mbit/s;< 1 ms;1.99 ms;13.32 Mbit/s;8.51 Mbit/s;0.0 %;2.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/08/15 19:38;7.19 Mbit/s;7.53 Mbit/s;1.12 ms;5.37 ms;7.87 Mbit/s;5.25 Mbit/s;0.0 %;8.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
11/08/15 18:38;8.33 Mbit/s;4.36 Mbit/s;< 1 ms;1.26 ms;5.46 Mbit/s;4.62 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/08/15 17:38;11.79 Mbit/s;5.07 Mbit/s;< 1 ms;4.87 ms;12.66 Mbit/s;5.51 Mbit/s;0.0 %;3.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/08/15 16:38;9.81 Mbit/s;6.04 Mbit/s;6.5 ms;2.13 ms;10.77 Mbit/s;5.23 Mbit/s;0.0 %;5.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/08/15 15:38;8.32 Mbit/s;4.2 Mbit/s;3.63 ms;8.56 ms;9.12 Mbit/s;4.47 Mbit/s;0.0 %;25.81 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
11/08/15 14:38;10.04 Mbit/s;6.73 Mbit/s;2.57 ms;5.92 ms;11.02 Mbit/s;7.18 Mbit/s;0.0 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/08/15 13:38;4.21 Mbit/s;4.25 Mbit/s;< 1 ms;7.09 ms;4.59 Mbit/s;3.85 Mbit/s;0.0 %;5.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/08/15 12:38;5.99 Mbit/s;3.69 Mbit/s;7.84 ms;3.98 ms;2.63 Mbit/s;3.8 Mbit/s;0.68 %;14.37 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/08/15 11:38;842.47 kbit/s;864.07 kbit/s;22.82 ms;49.27 ms;916.36 kbit/s;578.34 kbit/s;2.82 %;171.4 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/08/15 10:39;7.58 Mbit/s;5.89 Mbit/s;1.46 ms;6.95 ms;8.31 Mbit/s;6.32 Mbit/s;0.0 %;12.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/08/15 09:38;1.97 Mbit/s;4.41 Mbit/s;5.88 ms;12.73 ms;2.15 Mbit/s;4.7 Mbit/s;0.68 %;31.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
11/08/15 08:38;-;6.34 Mbit/s;3.3 ms;3.15 ms;-;-;0.0 %;6.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/08/15 07:38;10.04 Mbit/s;6.74 Mbit/s;< 1 ms;3.76 ms;10.86 Mbit/s;7.24 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/08/15 06:38;9.57 Mbit/s;8.53 Mbit/s;1.47 ms;3.26 ms;10.46 Mbit/s;6.51 Mbit/s;1.37 %;3.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
11/08/15 05:38;15.98 Mbit/s;11.42 Mbit/s;< 1 ms;< 1 ms;17.62 Mbit/s;12.27 Mbit/s;0.0 %;2.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/08/15 04:38;15.3 Mbit/s;11.46 Mbit/s;< 1 ms;< 1 ms;16.82 Mbit/s;12.33 Mbit/s;0.0 %;2.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/08/15 03:38;17.65 Mbit/s;11.33 Mbit/s;< 1 ms;< 1 ms;19.53 Mbit/s;12.2 Mbit/s;0.0 %;2.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/08/15 02:38;16.96 Mbit/s;9.78 Mbit/s;< 1 ms;< 1 ms;18.16 Mbit/s;10.55 Mbit/s;0.0 %;2.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
