dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:37;7.15 Mbit/s;14.98 Mbit/s;< 1 ms;1.22 ms;5.9 Mbit/s;14.27 Mbit/s;1.36 %;13.24 ms;PTT Metro de Curitiba;;;;;
03/11/15 12:37;5.99 Mbit/s;17.47 Mbit/s;< 1 ms;1.81 ms;6.11 Mbit/s;18.25 Mbit/s;1.36 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:37;21.65 Mbit/s;20.45 Mbit/s;3.77 ms;2.69 ms;18.5 Mbit/s;18.81 Mbit/s;0.0 %;19.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:37;22.33 Mbit/s;21.3 Mbit/s;2.91 ms;6.41 ms;20.28 Mbit/s;21.29 Mbit/s;1.36 %;16.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:37;20.08 Mbit/s;19.32 Mbit/s;< 1 ms;< 1 ms;21.73 Mbit/s;20.53 Mbit/s;0.68 %;6.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:37;7.66 Mbit/s;14.41 Mbit/s;< 1 ms;1.06 ms;8.34 Mbit/s;14.89 Mbit/s;0.68 %;8.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:37;13.1 Mbit/s;21.5 Mbit/s;3.66 ms;1.58 ms;14.13 Mbit/s;20.23 Mbit/s;0.0 %;13.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:37;23.35 Mbit/s;22.56 Mbit/s;6.57 ms;< 1 ms;23.62 Mbit/s;23.34 Mbit/s;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 05:37;22.26 Mbit/s;22.23 Mbit/s;< 1 ms;< 1 ms;23.97 Mbit/s;23.56 Mbit/s;0.0 %;4.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:37;23.4 Mbit/s;22.14 Mbit/s;< 1 ms;< 1 ms;24.2 Mbit/s;23.41 Mbit/s;0.0 %;3.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
