dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:25;1.67 Mbit/s;2.73 Mbit/s;28.97 ms;1.7 ms;1.82 Mbit/s;2.74 Mbit/s;1.36 %;53.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:25;3.29 Mbit/s;3.28 Mbit/s;9.13 ms;< 1 ms;3.21 Mbit/s;3.5 Mbit/s;1.37 %;12.39 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:25;10.67 Mbit/s;7.39 Mbit/s;< 1 ms;1.14 ms;7.58 Mbit/s;7.94 Mbit/s;0.0 %;5.89 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:25;11.94 Mbit/s;18.7 Mbit/s;6.47 ms;1.94 ms;11.08 Mbit/s;19.83 Mbit/s;0.68 %;7.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:25;6.14 Mbit/s;4.28 Mbit/s;1.6 ms;< 1 ms;2.61 Mbit/s;4.56 Mbit/s;1.36 %;8.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:25;5.86 Mbit/s;12.77 Mbit/s;1.01 ms;< 1 ms;6.21 Mbit/s;13.33 Mbit/s;0.68 %;6.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:25;7.93 Mbit/s;13.11 Mbit/s;1.22 ms;1.07 ms;7.33 Mbit/s;13.82 Mbit/s;0.0 %;6.58 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:25;6.01 Mbit/s;7.35 Mbit/s;2.28 ms;6.98 ms;6.14 Mbit/s;7.85 Mbit/s;0.0 %;8.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:25;6.17 Mbit/s;10.74 Mbit/s;< 1 ms;< 1 ms;6.48 Mbit/s;11.69 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:25;6.04 Mbit/s;12.39 Mbit/s;1.3 ms;< 1 ms;6.19 Mbit/s;13.22 Mbit/s;0.0 %;5.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:25;6.78 Mbit/s;10.67 Mbit/s;1.8 ms;< 1 ms;6.51 Mbit/s;11.41 Mbit/s;0.0 %;6.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:25;6.15 Mbit/s;12.38 Mbit/s;3.45 ms;2.45 ms;6.08 Mbit/s;12.63 Mbit/s;0.0 %;6.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:25;4.76 Mbit/s;10.64 Mbit/s;1.44 ms;< 1 ms;4.27 Mbit/s;11.34 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:25;4.96 Mbit/s;11.1 Mbit/s;< 1 ms;1.1 ms;5.16 Mbit/s;11.52 Mbit/s;0.0 %;6.75 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:25;3.04 Mbit/s;8.56 Mbit/s;7.14 ms;2.82 ms;1.3 Mbit/s;9.12 Mbit/s;0.0 %;7.06 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:25;4.68 Mbit/s;11.9 Mbit/s;1.87 ms;1.07 ms;3.86 Mbit/s;11.91 Mbit/s;0.0 %;6.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:25;3.8 Mbit/s;7.89 Mbit/s;1.01 ms;< 1 ms;4.12 Mbit/s;8.42 Mbit/s;0.0 %;44.9 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
