dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:55;692.93 kbit/s;642.65 kbit/s;8.46 ms;1.65 ms;747.05 kbit/s;683.52 kbit/s;1.37 %;53.29 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 12:55;8.97 Mbit/s;8.67 Mbit/s;2.46 ms;< 1 ms;6.12 Mbit/s;8.88 Mbit/s;2.07 %;8.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:55;13.64 Mbit/s;14.87 Mbit/s;10.72 ms;1.12 ms;13.79 Mbit/s;15.8 Mbit/s;1.36 %;24.27 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:55;19.73 Mbit/s;23.07 Mbit/s;1.24 ms;< 1 ms;18.19 Mbit/s;23.74 Mbit/s;0.0 %;6.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:55;-;5.75 Mbit/s;6.91 ms;1.56 ms;-;-;1.36 %;37.23 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:55;16.28 Mbit/s;21.44 Mbit/s;1.28 ms;1.15 ms;12.68 Mbit/s;22.3 Mbit/s;0.68 %;13.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:55;12.27 Mbit/s;23.13 Mbit/s;< 1 ms;< 1 ms;13.65 Mbit/s;23.84 Mbit/s;0.68 %;13.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:55;10.65 Mbit/s;11.81 Mbit/s;4.59 ms;1.08 ms;11.64 Mbit/s;12.51 Mbit/s;0.0 %;13.03 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:55;22.38 Mbit/s;24.27 Mbit/s;< 1 ms;< 1 ms;23.23 Mbit/s;24.23 Mbit/s;0.0 %;3.96 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:55;20.5 Mbit/s;23.23 Mbit/s;< 1 ms;1.84 ms;19.82 Mbit/s;23.9 Mbit/s;0.0 %;18.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:55;21.13 Mbit/s;23.87 Mbit/s;< 1 ms;< 1 ms;21.59 Mbit/s;23.0 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:55;21.31 Mbit/s;17.45 Mbit/s;< 1 ms;< 1 ms;16.78 Mbit/s;17.68 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:55;21.1 Mbit/s;21.13 Mbit/s;< 1 ms;3.51 ms;20.75 Mbit/s;21.31 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:55;20.94 Mbit/s;23.76 Mbit/s;< 1 ms;< 1 ms;21.05 Mbit/s;23.85 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
