dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
06/08/15 11:21;51.76 Mbit/s;36.45 Mbit/s;< 1 ms;4.83 ms;55.27 Mbit/s;35.32 Mbit/s;0.0 %;3.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/08/15 10:21;57.58 Mbit/s;45.75 Mbit/s;< 1 ms;2.33 ms;59.14 Mbit/s;45.45 Mbit/s;0.0 %;3.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
06/08/15 09:21;51.23 Mbit/s;42.15 Mbit/s;< 1 ms;5.31 ms;55.29 Mbit/s;26.06 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/08/15 08:21;55.08 Mbit/s;41.88 Mbit/s;< 1 ms;< 1 ms;57.74 Mbit/s;44.57 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/08/15 07:21;58.92 Mbit/s;53.25 Mbit/s;< 1 ms;3.47 ms;60.6 Mbit/s;51.55 Mbit/s;0.0 %;2.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/08/15 05:21;60.8 Mbit/s;51.15 Mbit/s;< 1 ms;3.68 ms;61.08 Mbit/s;51.99 Mbit/s;0.0 %;2.79 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
06/08/15 04:21;58.38 Mbit/s;51.52 Mbit/s;< 1 ms;< 1 ms;60.25 Mbit/s;52.65 Mbit/s;0.0 %;2.67 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
06/08/15 03:21;59.62 Mbit/s;53.38 Mbit/s;< 1 ms;< 1 ms;60.82 Mbit/s;54.11 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
06/08/15 02:21;55.43 Mbit/s;49.08 Mbit/s;< 1 ms;< 1 ms;58.66 Mbit/s;48.17 Mbit/s;0.0 %;3.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
06/08/15 01:21;40.26 Mbit/s;40.48 Mbit/s;< 1 ms;< 1 ms;44.22 Mbit/s;42.17 Mbit/s;0.0 %;6.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
06/08/15 00:21;26.81 Mbit/s;26.01 Mbit/s;< 1 ms;1.32 ms;29.44 Mbit/s;6.82 Mbit/s;0.0 %;5.26 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/08/15 23:21;44.11 Mbit/s;21.04 Mbit/s;< 1 ms;1.55 ms;48.21 Mbit/s;22.39 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/08/15 22:21;42.11 Mbit/s;31.19 Mbit/s;2.04 ms;2.61 ms;46.38 Mbit/s;31.18 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/08/15 21:21;26.59 Mbit/s;19.23 Mbit/s;1.03 ms;1.01 ms;29.14 Mbit/s;17.58 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/08/15 20:21;35.78 Mbit/s;39.07 Mbit/s;< 1 ms;< 1 ms;39.24 Mbit/s;22.2 Mbit/s;0.0 %;10.55 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/08/15 19:21;40.79 Mbit/s;32.43 Mbit/s;< 1 ms;< 1 ms;44.35 Mbit/s;20.44 Mbit/s;0.0 %;7.04 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/08/15 18:21;37.52 Mbit/s;28.17 Mbit/s;11.53 ms;3.2 ms;41.06 Mbit/s;25.37 Mbit/s;0.0 %;17.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/08/15 17:21;23.04 Mbit/s;24.54 Mbit/s;6.29 ms;7.64 ms;25.03 Mbit/s;18.21 Mbit/s;0.68 %;37.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/08/15 16:21;13.27 Mbit/s;41.45 Mbit/s;3.78 ms;6.36 ms;14.47 Mbit/s;43.12 Mbit/s;1.37 %;56.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/08/15 15:21;29.22 Mbit/s;36.97 Mbit/s;2.84 ms;2.19 ms;32.14 Mbit/s;23.36 Mbit/s;0.68 %;43.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/08/15 14:21;18.12 Mbit/s;23.81 Mbit/s;3.78 ms;1.3 ms;19.93 Mbit/s;25.2 Mbit/s;0.0 %;49.63 ms;PTT Metro de Goiania;;;;;
05/08/15 12:21;22.21 Mbit/s;27.81 Mbit/s;1.67 ms;4.17 ms;24.41 Mbit/s;16.29 Mbit/s;0.0 %;29.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/08/15 11:21;56.51 Mbit/s;34.9 Mbit/s;1.07 ms;6.15 ms;59.0 Mbit/s;33.33 Mbit/s;0.0 %;9.93 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/08/15 10:21;59.77 Mbit/s;50.55 Mbit/s;< 1 ms;1.86 ms;60.73 Mbit/s;52.62 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/08/15 09:21;60.13 Mbit/s;49.57 Mbit/s;< 1 ms;< 1 ms;60.91 Mbit/s;50.24 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
05/08/15 08:21;59.41 Mbit/s;48.22 Mbit/s;< 1 ms;1.5 ms;60.79 Mbit/s;48.93 Mbit/s;0.0 %;2.9 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/08/15 07:21;59.26 Mbit/s;49.15 Mbit/s;< 1 ms;< 1 ms;60.48 Mbit/s;51.43 Mbit/s;0.0 %;3.62 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/08/15 06:21;57.91 Mbit/s;50.39 Mbit/s;< 1 ms;< 1 ms;60.52 Mbit/s;51.56 Mbit/s;0.0 %;2.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/08/15 05:21;61.04 Mbit/s;51.12 Mbit/s;< 1 ms;< 1 ms;61.62 Mbit/s;53.39 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
05/08/15 04:21;55.0 Mbit/s;52.65 Mbit/s;< 1 ms;< 1 ms;58.41 Mbit/s;54.28 Mbit/s;0.0 %;2.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/08/15 03:21;57.47 Mbit/s;51.54 Mbit/s;< 1 ms;1.79 ms;59.83 Mbit/s;53.08 Mbit/s;0.0 %;2.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/08/15 02:21;56.8 Mbit/s;50.42 Mbit/s;< 1 ms;< 1 ms;59.85 Mbit/s;50.52 Mbit/s;0.0 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
05/08/15 01:21;34.92 Mbit/s;27.43 Mbit/s;26.34 ms;8.44 ms;38.46 Mbit/s;11.82 Mbit/s;2.07 %;74.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
05/08/15 00:21;15.7 Mbit/s;16.62 Mbit/s;11.49 ms;9.66 ms;17.3 Mbit/s;10.19 Mbit/s;0.0 %;17.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
