dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:16;22.23 Mbit/s;18.7 Mbit/s;< 1 ms;1.07 ms;23.17 Mbit/s;18.51 Mbit/s;0.0 %;3.49 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 12:16;21.17 Mbit/s;15.88 Mbit/s;< 1 ms;< 1 ms;21.7 Mbit/s;16.36 Mbit/s;0.68 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 11:16;22.25 Mbit/s;20.4 Mbit/s;< 1 ms;1.24 ms;22.3 Mbit/s;18.48 Mbit/s;2.07 %;3.69 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 10:16;22.37 Mbit/s;20.2 Mbit/s;< 1 ms;1.43 ms;23.02 Mbit/s;21.54 Mbit/s;2.07 %;3.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 09:16;23.04 Mbit/s;21.09 Mbit/s;3.1 ms;< 1 ms;23.99 Mbit/s;22.34 Mbit/s;1.36 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 08:16;23.17 Mbit/s;22.23 Mbit/s;< 1 ms;1.45 ms;22.77 Mbit/s;23.06 Mbit/s;0.68 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:16;23.22 Mbit/s;21.68 Mbit/s;6.76 ms;1.01 ms;23.51 Mbit/s;22.65 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:16;23.68 Mbit/s;21.55 Mbit/s;1.29 ms;1.03 ms;23.45 Mbit/s;21.47 Mbit/s;0.0 %;3.33 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 05:16;23.48 Mbit/s;21.61 Mbit/s;< 1 ms;1.21 ms;24.0 Mbit/s;22.35 Mbit/s;0.0 %;3.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 04:16;23.49 Mbit/s;22.84 Mbit/s;< 1 ms;< 1 ms;23.44 Mbit/s;23.28 Mbit/s;0.0 %;2.88 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:16;23.27 Mbit/s;21.96 Mbit/s;< 1 ms;1.58 ms;23.63 Mbit/s;22.78 Mbit/s;0.0 %;2.99 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:16;22.03 Mbit/s;23.19 Mbit/s;< 1 ms;8.66 ms;23.23 Mbit/s;22.44 Mbit/s;0.0 %;3.0 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 01:16;23.76 Mbit/s;22.86 Mbit/s;< 1 ms;6.45 ms;23.9 Mbit/s;22.7 Mbit/s;0.0 %;3.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:16;23.65 Mbit/s;21.99 Mbit/s;< 1 ms;1.26 ms;24.13 Mbit/s;22.95 Mbit/s;0.0 %;3.14 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 23:16;23.04 Mbit/s;22.28 Mbit/s;1.31 ms;< 1 ms;23.49 Mbit/s;22.98 Mbit/s;0.0 %;3.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
