dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:10;24.97 Mbit/s;24.62 Mbit/s;< 1 ms;1.34 ms;24.02 Mbit/s;24.13 Mbit/s;1.36 %;5.6 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 13:10;24.88 Mbit/s;24.53 Mbit/s;< 1 ms;1.27 ms;24.31 Mbit/s;24.35 Mbit/s;0.68 %;6.33 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:10;25.02 Mbit/s;24.71 Mbit/s;< 1 ms;1.13 ms;24.0 Mbit/s;23.7 Mbit/s;0.0 %;5.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:10;24.82 Mbit/s;24.77 Mbit/s;< 1 ms;3.48 ms;24.14 Mbit/s;23.73 Mbit/s;1.36 %;5.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:10;24.83 Mbit/s;24.68 Mbit/s;< 1 ms;< 1 ms;24.15 Mbit/s;24.38 Mbit/s;1.36 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:10;24.19 Mbit/s;24.78 Mbit/s;2.71 ms;1.2 ms;24.01 Mbit/s;23.77 Mbit/s;1.36 %;4.98 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:10;24.82 Mbit/s;24.84 Mbit/s;1.11 ms;1.85 ms;24.24 Mbit/s;24.22 Mbit/s;0.68 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:10;24.88 Mbit/s;24.64 Mbit/s;< 1 ms;1.02 ms;23.9 Mbit/s;23.82 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:10;24.78 Mbit/s;24.7 Mbit/s;< 1 ms;< 1 ms;24.05 Mbit/s;24.02 Mbit/s;2.8 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:10;24.93 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;24.3 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:10;24.86 Mbit/s;24.62 Mbit/s;< 1 ms;2.25 ms;24.36 Mbit/s;24.3 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:10;24.9 Mbit/s;24.73 Mbit/s;< 1 ms;< 1 ms;24.26 Mbit/s;24.08 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:10;24.85 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;24.26 Mbit/s;0.0 %;4.21 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:10;24.82 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;24.3 Mbit/s;24.36 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
