dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:02;22.41 Mbit/s;17.62 Mbit/s;< 1 ms;< 1 ms;23.59 Mbit/s;15.0 Mbit/s;0.0 %;4.04 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:02;20.49 Mbit/s;14.72 Mbit/s;1.33 ms;1.26 ms;22.17 Mbit/s;15.82 Mbit/s;1.36 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:02;21.81 Mbit/s;17.13 Mbit/s;< 1 ms;< 1 ms;22.18 Mbit/s;16.83 Mbit/s;0.0 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 04:02;22.89 Mbit/s;20.32 Mbit/s;< 1 ms;< 1 ms;22.54 Mbit/s;20.92 Mbit/s;0.0 %;3.64 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:02;22.88 Mbit/s;18.62 Mbit/s;< 1 ms;< 1 ms;22.92 Mbit/s;18.0 Mbit/s;0.0 %;3.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 22:02;21.31 Mbit/s;18.05 Mbit/s;< 1 ms;< 1 ms;22.68 Mbit/s;19.24 Mbit/s;0.0 %;3.6 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 19:02;20.79 Mbit/s;17.93 Mbit/s;< 1 ms;< 1 ms;21.64 Mbit/s;18.66 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:02;12.65 Mbit/s;9.16 Mbit/s;< 1 ms;< 1 ms;10.77 Mbit/s;8.93 Mbit/s;0.0 %;3.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 13:02;22.94 Mbit/s;18.06 Mbit/s;6.8 ms;< 1 ms;23.09 Mbit/s;18.88 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 10:02;21.8 Mbit/s;17.39 Mbit/s;< 1 ms;< 1 ms;21.87 Mbit/s;18.38 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 07:02;21.49 Mbit/s;19.88 Mbit/s;2.96 ms;< 1 ms;23.33 Mbit/s;21.16 Mbit/s;0.0 %;3.5 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:02;22.62 Mbit/s;20.61 Mbit/s;< 1 ms;< 1 ms;23.38 Mbit/s;21.56 Mbit/s;0.0 %;3.52 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 01:02;23.4 Mbit/s;20.14 Mbit/s;< 1 ms;3.02 ms;23.86 Mbit/s;20.82 Mbit/s;0.0 %;5.06 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 19:02;22.6 Mbit/s;17.04 Mbit/s;1.56 ms;< 1 ms;22.18 Mbit/s;17.48 Mbit/s;0.0 %;3.67 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 16:02;21.05 Mbit/s;16.82 Mbit/s;< 1 ms;< 1 ms;22.64 Mbit/s;17.9 Mbit/s;0.0 %;3.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 13:02;21.36 Mbit/s;14.61 Mbit/s;< 1 ms;< 1 ms;21.82 Mbit/s;15.66 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 10:02;20.84 Mbit/s;16.76 Mbit/s;< 1 ms;< 1 ms;17.47 Mbit/s;15.54 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 07:02;22.68 Mbit/s;18.73 Mbit/s;< 1 ms;< 1 ms;23.25 Mbit/s;18.71 Mbit/s;0.0 %;3.5 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 04:02;19.21 Mbit/s;13.0 Mbit/s;< 1 ms;< 1 ms;19.99 Mbit/s;13.5 Mbit/s;0.0 %;5.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 01:02;23.03 Mbit/s;17.81 Mbit/s;< 1 ms;< 1 ms;21.58 Mbit/s;19.03 Mbit/s;0.0 %;3.48 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 22:02;22.19 Mbit/s;13.69 Mbit/s;< 1 ms;< 1 ms;23.77 Mbit/s;14.43 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 19:02;21.78 Mbit/s;15.53 Mbit/s;< 1 ms;1.3 ms;21.29 Mbit/s;15.93 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 16:02;20.41 Mbit/s;14.35 Mbit/s;11.73 ms;< 1 ms;19.94 Mbit/s;15.19 Mbit/s;0.0 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 13:02;22.41 Mbit/s;14.09 Mbit/s;< 1 ms;< 1 ms;23.03 Mbit/s;14.29 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 10:02;20.28 Mbit/s;16.9 Mbit/s;< 1 ms;< 1 ms;18.97 Mbit/s;16.65 Mbit/s;0.0 %;3.91 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 07:02;22.51 Mbit/s;19.44 Mbit/s;< 1 ms;6.14 ms;23.42 Mbit/s;20.25 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 04:02;23.55 Mbit/s;20.02 Mbit/s;< 1 ms;< 1 ms;24.51 Mbit/s;21.09 Mbit/s;0.0 %;3.67 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 01:02;23.46 Mbit/s;19.52 Mbit/s;< 1 ms;< 1 ms;23.35 Mbit/s;18.29 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 22:02;22.19 Mbit/s;14.36 Mbit/s;6.55 ms;< 1 ms;20.98 Mbit/s;14.73 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 19:02;21.08 Mbit/s;14.32 Mbit/s;1.66 ms;< 1 ms;17.2 Mbit/s;15.04 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 13:02;21.1 Mbit/s;12.37 Mbit/s;< 1 ms;< 1 ms;21.21 Mbit/s;11.62 Mbit/s;2.78 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 10:02;20.92 Mbit/s;12.44 Mbit/s;< 1 ms;< 1 ms;20.57 Mbit/s;13.17 Mbit/s;1.36 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 07:02;22.47 Mbit/s;15.95 Mbit/s;1.2 ms;< 1 ms;22.99 Mbit/s;16.09 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/10/15 04:02;23.14 Mbit/s;19.2 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;19.9 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 01:02;23.24 Mbit/s;16.4 Mbit/s;< 1 ms;4.08 ms;24.45 Mbit/s;16.51 Mbit/s;0.0 %;3.53 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 22:02;23.07 Mbit/s;18.81 Mbit/s;6.41 ms;< 1 ms;23.69 Mbit/s;19.27 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/10/15 19:02;22.86 Mbit/s;17.95 Mbit/s;< 1 ms;< 1 ms;23.15 Mbit/s;18.76 Mbit/s;0.68 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 16:02;19.58 Mbit/s;14.49 Mbit/s;1.04 ms;< 1 ms;20.86 Mbit/s;14.87 Mbit/s;2.05 %;8.34 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 13:02;19.79 Mbit/s;13.05 Mbit/s;< 1 ms;1.0 ms;20.76 Mbit/s;12.84 Mbit/s;1.36 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 10:02;21.38 Mbit/s;15.99 Mbit/s;< 1 ms;1.38 ms;19.81 Mbit/s;16.65 Mbit/s;1.36 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 07:02;22.37 Mbit/s;18.71 Mbit/s;< 1 ms;< 1 ms;22.88 Mbit/s;19.22 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 04:02;23.63 Mbit/s;19.63 Mbit/s;< 1 ms;< 1 ms;24.12 Mbit/s;20.92 Mbit/s;0.0 %;3.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 01:02;22.74 Mbit/s;18.53 Mbit/s;< 1 ms;< 1 ms;22.86 Mbit/s;18.26 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/10/15 22:02;21.26 Mbit/s;15.32 Mbit/s;< 1 ms;2.17 ms;22.47 Mbit/s;14.48 Mbit/s;1.36 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/10/15 19:02;20.99 Mbit/s;15.75 Mbit/s;< 1 ms;2.55 ms;21.9 Mbit/s;15.94 Mbit/s;1.36 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/10/15 16:02;22.1 Mbit/s;15.33 Mbit/s;< 1 ms;1.12 ms;22.14 Mbit/s;16.34 Mbit/s;1.36 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/10/15 13:02;21.48 Mbit/s;14.55 Mbit/s;< 1 ms;< 1 ms;21.27 Mbit/s;14.3 Mbit/s;0.68 %;4.59 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
