dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:20;1.56 Mbit/s;999.9 kbit/s;11.59 ms;9.48 ms;1.18 Mbit/s;1.06 Mbit/s;0.68 %;76.11 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:20;457.04 kbit/s;419.0 kbit/s;13.81 ms;9.16 ms;443.35 kbit/s;450.35 kbit/s;1.36 %;419.4 ms;PTT Metro de Curitiba;;;;;
03/11/15 11:20;1.19 Mbit/s;2.73 Mbit/s;13.35 ms;16.18 ms;1.2 Mbit/s;812.59 kbit/s;0.0 %;83.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:20;10.16 Mbit/s;3.55 Mbit/s;9.39 ms;9.1 ms;7.04 Mbit/s;3.84 Mbit/s;2.05 %;60.76 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:20;19.66 Mbit/s;19.51 Mbit/s;< 1 ms;1.98 ms;16.14 Mbit/s;20.27 Mbit/s;1.36 %;5.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:20;8.34 Mbit/s;13.14 Mbit/s;< 1 ms;4.75 ms;7.27 Mbit/s;10.18 Mbit/s;0.0 %;8.21 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:20;8.62 Mbit/s;5.4 Mbit/s;11.77 ms;4.37 ms;9.24 Mbit/s;5.79 Mbit/s;0.68 %;13.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:20;21.85 Mbit/s;21.6 Mbit/s;< 1 ms;21.92 ms;22.48 Mbit/s;16.37 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:20;21.05 Mbit/s;19.75 Mbit/s;< 1 ms;< 1 ms;21.44 Mbit/s;19.89 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:20;21.84 Mbit/s;19.89 Mbit/s;1.26 ms;1.39 ms;22.52 Mbit/s;21.19 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:20;16.2 Mbit/s;13.73 Mbit/s;4.64 ms;1.46 ms;10.25 Mbit/s;12.69 Mbit/s;0.0 %;17.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
