dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:15;10.96 Mbit/s;11.48 Mbit/s;23.65 ms;19.73 ms;12.45 Mbit/s;11.38 Mbit/s;2.07 %;123.21 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:15;3.93 Mbit/s;6.15 Mbit/s;< 1 ms;8.52 ms;4.22 Mbit/s;5.77 Mbit/s;2.07 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:15;16.6 Mbit/s;5.89 Mbit/s;5.18 ms;17.59 ms;15.7 Mbit/s;5.99 Mbit/s;2.8 %;13.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:15;8.94 Mbit/s;13.56 Mbit/s;4.55 ms;15.59 ms;4.54 Mbit/s;14.35 Mbit/s;0.0 %;159.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:15;15.73 Mbit/s;19.0 Mbit/s;< 1 ms;2.92 ms;3.7 Mbit/s;20.04 Mbit/s;0.0 %;17.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:15;12.13 Mbit/s;25.38 Mbit/s;12.71 ms;1.87 ms;13.14 Mbit/s;25.27 Mbit/s;0.0 %;22.53 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 07:15;12.68 Mbit/s;18.95 Mbit/s;1.72 ms;10.79 ms;13.5 Mbit/s;19.3 Mbit/s;0.0 %;27.26 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:16;13.84 Mbit/s;20.38 Mbit/s;3.38 ms;10.92 ms;15.11 Mbit/s;20.21 Mbit/s;0.0 %;18.79 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 05:15;15.2 Mbit/s;26.31 Mbit/s;< 1 ms;3.89 ms;16.66 Mbit/s;27.32 Mbit/s;0.0 %;3.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:15;20.59 Mbit/s;25.19 Mbit/s;< 1 ms;2.77 ms;22.48 Mbit/s;26.6 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
