dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:21;37.1 Mbit/s;28.44 Mbit/s;< 1 ms;< 1 ms;38.83 Mbit/s;26.13 Mbit/s;2.07 %;7.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:21;43.56 Mbit/s;21.93 Mbit/s;< 1 ms;< 1 ms;42.07 Mbit/s;22.29 Mbit/s;1.36 %;5.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:21;44.51 Mbit/s;44.49 Mbit/s;1.93 ms;< 1 ms;42.99 Mbit/s;40.14 Mbit/s;0.0 %;6.24 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:21;20.85 Mbit/s;42.09 Mbit/s;2.74 ms;< 1 ms;22.83 Mbit/s;42.73 Mbit/s;1.36 %;20.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:21;44.85 Mbit/s;42.15 Mbit/s;< 1 ms;< 1 ms;43.08 Mbit/s;43.2 Mbit/s;1.37 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:21;44.73 Mbit/s;44.66 Mbit/s;1.23 ms;< 1 ms;40.97 Mbit/s;43.23 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:21;44.81 Mbit/s;43.24 Mbit/s;< 1 ms;< 1 ms;43.09 Mbit/s;43.5 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:21;44.88 Mbit/s;43.55 Mbit/s;< 1 ms;1.23 ms;41.93 Mbit/s;43.78 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:21;44.25 Mbit/s;43.25 Mbit/s;< 1 ms;< 1 ms;43.21 Mbit/s;43.16 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 04:21;44.85 Mbit/s;37.44 Mbit/s;1.28 ms;< 1 ms;42.21 Mbit/s;38.05 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:21;44.4 Mbit/s;43.1 Mbit/s;< 1 ms;4.51 ms;41.56 Mbit/s;43.59 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:21;44.78 Mbit/s;41.79 Mbit/s;< 1 ms;3.06 ms;42.86 Mbit/s;39.32 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:21;12.75 Mbit/s;43.85 Mbit/s;< 1 ms;1.34 ms;13.82 Mbit/s;42.96 Mbit/s;0.0 %;5.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 00:21;44.77 Mbit/s;34.04 Mbit/s;4.34 ms;< 1 ms;42.52 Mbit/s;35.83 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 23:21;42.83 Mbit/s;44.5 Mbit/s;< 1 ms;1.21 ms;41.33 Mbit/s;43.75 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:21;44.79 Mbit/s;43.35 Mbit/s;8.94 ms;< 1 ms;35.79 Mbit/s;43.74 Mbit/s;0.0 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 21:21;44.01 Mbit/s;44.26 Mbit/s;< 1 ms;2.17 ms;41.77 Mbit/s;43.8 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
