dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:59;209.57 kbit/s;412.27 kbit/s;8.66 ms;5.73 ms;222.55 kbit/s;444.54 kbit/s;0.0 %;117.38 ms;PTT Metro de Curitiba;;;;;
03/11/15 12:59;590.78 kbit/s;486.87 kbit/s;9.64 ms;3.87 ms;474.76 kbit/s;516.56 kbit/s;1.36 %;107.77 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:59;1.27 Mbit/s;5.17 Mbit/s;13.36 ms;4.17 ms;932.95 kbit/s;5.3 Mbit/s;1.37 %;879.37 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 10:59;894.07 kbit/s;1.91 Mbit/s;14.55 ms;6.86 ms;898.91 kbit/s;2.06 Mbit/s;2.78 %;70.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:59;-;-;-;10.8 ms;-;-;18.92 %;408.93 ms;PTT Metro de Curitiba;;;;;
03/11/15 08:59;1.83 Mbit/s;7.06 Mbit/s;4.94 ms;4.71 ms;963.49 kbit/s;7.61 Mbit/s;1.36 %;19.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 07:59;1.32 Mbit/s;4.95 Mbit/s;5.37 ms;5.16 ms;1.43 Mbit/s;5.27 Mbit/s;0.68 %;19.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:59;2.75 Mbit/s;7.94 Mbit/s;3.02 ms;7.63 ms;1.86 Mbit/s;8.44 Mbit/s;0.0 %;15.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:59;2.66 Mbit/s;8.23 Mbit/s;3.9 ms;4.48 ms;2.87 Mbit/s;8.8 Mbit/s;0.0 %;17.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:59;1.91 Mbit/s;6.12 Mbit/s;3.99 ms;3.41 ms;2.08 Mbit/s;6.53 Mbit/s;0.0 %;17.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:59;1.19 Mbit/s;2.11 Mbit/s;23.24 ms;5.62 ms;931.2 kbit/s;2.25 Mbit/s;0.0 %;99.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 02:59;1.66 Mbit/s;5.63 Mbit/s;10.72 ms;4.83 ms;1.78 Mbit/s;6.01 Mbit/s;0.0 %;19.95 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 00:59;516.01 kbit/s;894.65 kbit/s;19.93 ms;5.53 ms;297.6 kbit/s;956.39 kbit/s;0.0 %;148.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:59;2.03 Mbit/s;9.67 Mbit/s;5.08 ms;4.96 ms;2.21 Mbit/s;10.37 Mbit/s;0.0 %;18.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:59;1.24 Mbit/s;1.41 Mbit/s;13.81 ms;3.05 ms;798.55 kbit/s;1.5 Mbit/s;0.0 %;48.61 ms;PTT Metro de Curitiba;;;;;
02/11/15 21:59;2.39 Mbit/s;4.23 Mbit/s;6.14 ms;3.49 ms;1.57 Mbit/s;4.52 Mbit/s;0.0 %;14.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 20:59;992.01 kbit/s;471.14 kbit/s;16.3 ms;4.58 ms;476.51 kbit/s;496.62 kbit/s;0.68 %;144.23 ms;PTT Metro de Curitiba;;;;;
02/11/15 19:59;1.7 Mbit/s;2.83 Mbit/s;11.22 ms;2.8 ms;1.17 Mbit/s;3.03 Mbit/s;0.68 %;16.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 18:59;1.2 Mbit/s;2.81 Mbit/s;8.67 ms;3.71 ms;1.32 Mbit/s;3.0 Mbit/s;0.0 %;16.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:59;3.4 Mbit/s;2.71 Mbit/s;5.8 ms;7.44 ms;2.6 Mbit/s;2.94 Mbit/s;0.0 %;425.43 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 17:00;108.47 kbit/s;603.67 kbit/s;25.55 ms;4.75 ms;65.45 kbit/s;640.27 kbit/s;0.68 %;692.0 ms;PTT Metro de Curitiba;;;;;
02/11/15 15:59;-;-;-;8.96 ms;-;-;0.0 %;4994.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 14:59;252.74 kbit/s;312.68 kbit/s;13.64 ms;8.61 ms;219.05 kbit/s;334.12 kbit/s;0.68 %;132.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 13:59;-;1.0 Mbit/s;12.23 ms;3.14 ms;-;-;3.5 %;68.11 ms;PTT Metro de Curitiba;;;;;
